"Men                                               "|"edu packimporto #1                                "|Mid Atlantic|1999|1|7702.3550|2855.43|15735.10|4586.13
"Music                                             "|"exportischolar #1                                 "|Mid Atlantic|1999|2|7365.1058|2862.84|3746.83|4756.00
"Shoes                                             "|"amalgedu pack #1                                  "|NY Metro|1999|7|7013.1458|2543.72|4859.64|8957.52
"Men                                               "|"amalgimporto #1                                   "|NY Metro|1999|7|6951.9250|2759.95|4699.60|8311.15
"Music                                             "|"edu packscholar #1                                "|Mid Atlantic|1999|1|8003.0958|3817.58|15032.95|4740.46
"Children                                          "|"exportiexporti #1                                 "|Mid Atlantic|1999|2|7725.3242|3548.75|3889.16|5145.36
"Men                                               "|"edu packimporto #1                                "|NY Metro|1999|7|7657.9783|3489.15|3555.20|11273.75
"Music                                             "|"edu packscholar #1                                "|North Midwest|1999|5|7935.0192|3788.27|4783.23|4717.90
"Music                                             "|"exportischolar #1                                 "|North Midwest|1999|2|7725.8775|3621.47|6319.82|4205.89
"Men                                               "|"edu packimporto #1                                "|NY Metro|1999|6|7657.9783|3555.20|4890.94|3489.15
"Children                                          "|"amalgexporti #1                                   "|North Midwest|1999|4|6588.0517|2542.30|3609.09|3219.98
"Men                                               "|"importoimporto #1                                 "|Mid Atlantic|1999|2|7357.8142|3323.24|4358.89|4926.22
"Children                                          "|"exportiexporti #1                                 "|NY Metro|1999|3|7692.4725|3665.09|4232.64|4206.09
"Men                                               "|"importoimporto #1                                 "|North Midwest|1999|5|7580.2642|3595.76|4971.00|3726.76
"Children                                          "|"importoexporti #1                                 "|NY Metro|1999|4|6878.2625|2896.51|5840.07|3426.78
"Shoes                                             "|"importoedu pack #1                                "|North Midwest|1999|4|7487.3667|3514.14|3686.27|4683.61
"Women                                             "|"amalgamalg #1                                     "|Mid Atlantic|1999|2|7066.7283|3113.12|3808.26|4355.36
"Men                                               "|"amalgimporto #1                                   "|North Midwest|1999|1|6853.4625|2917.39|12139.91|4158.23
"Shoes                                             "|"amalgedu pack #1                                  "|North Midwest|1999|6|7161.7633|3233.38|3675.93|6067.30
"Music                                             "|"edu packscholar #1                                "|Mid Atlantic|1999|7|8003.0958|4077.68|4415.43|11149.74
