catalog|6039|0.5851|1|1
catalog|12485|0.6388|2|2
catalog|9699|0.6438|3|3
catalog|121|0.6538|4|4
catalog|8009|0.6562|5|29
catalog|16349|0.6632|6|5
catalog|13559|0.6986|7|6
catalog|3001|0.7000|8|7
catalog|3031|0.7070|9|8
catalog|16781|0.7176|10|30
catalog|2473|0.7191|11|9
catalog|9871|0.7195|12|10
store|10569|0.7812|1|1
store|5721|0.8100|2|2
store|14487|0.8369|3|3
store|31|0.8607|4|4
store|7809|0.8817|5|5
store|5283|0.8829|6|6
store|9191|0.9111|7|7
store|4487|0.9180|8|8
store|5737|0.9462|9|9
store|2963|0.9494|10|10
web|15179|0.6000|1|1
web|103|0.6129|2|2
web|17409|0.6538|3|3
web|7499|0.7500|4|16
web|11209|0.7528|5|15
web|11003|0.7948|6|4
web|15991|0.8085|7|5
web|14091|0.8202|8|6
web|17151|0.8358|9|7
web|2863|0.8552|10|8
web|9589|0.8888|11|9
web|15043|0.8888|11|9
