5|2000-01-25|193.18||193.18|93.88
5|2000-01-29||162.45|193.18|162.45
5|2000-01-31||184.53|193.18|184.53
5|2000-02-23||189.68|193.18|189.68
11|2000-03-05|151.26||151.26|94.43
14|2000-01-10|135.98||135.98|73.88
14|2000-02-02|188.37||188.37|180.78
14|2000-03-28|457.10||457.10|350.32
14|2000-03-31|462.73||462.73|350.32
14|2000-04-05||355.44|462.73|355.44
14|2000-04-15|558.42||558.42|355.44
14|2000-04-27||359.23|558.42|359.23
14|2000-05-03||425.47|558.42|425.47
14|2000-05-10|558.81||558.81|425.47
14|2000-05-21||429.00|558.81|429.00
14|2000-05-26|696.78||696.78|429.00
14|2000-05-29||435.93|696.78|435.93
14|2000-06-05||542.21|696.78|542.21
14|2000-06-20||585.38|696.78|585.38
14|2000-07-03|719.18||719.18|585.38
14|2000-07-07||637.37|719.18|637.37
14|2000-07-18||650.61|719.18|650.61
14|2000-07-25|861.03||861.03|650.61
14|2000-08-10||656.63|861.03|656.63
14|2000-08-14||694.06|861.03|694.06
14|2000-08-21||727.24|861.03|727.24
14|2000-08-26||730.02|861.03|730.02
14|2000-08-28||795.44|861.03|795.44
19|2000-01-02|171.64|57.07|171.64|57.07
20|2000-01-09|37.64||37.64|27.80
25|2000-01-28|145.80||145.80|37.63
25|2000-02-09||40.98|145.80|40.98
25|2000-02-11||139.21|145.80|139.21
25|2000-02-21||143.19|145.80|143.19
35|2000-01-14||40.94|95.44|40.94
37|2000-01-02|106.22|43.81|106.22|43.81
37|2000-01-04||106.03|106.22|106.03
37|2000-01-05|136.71||136.71|106.03
37|2000-01-06||111.82|136.71|111.82
37|2000-01-24||134.51|136.71|134.51
37|2000-02-04|176.29||176.29|145.13
37|2000-04-07|367.78||367.78|297.37
37|2000-04-10||336.23|367.78|336.23
37|2000-05-04|446.26||446.26|336.23
37|2000-05-09||432.99|446.26|432.99
37|2000-05-13|507.85||507.85|432.99
37|2000-05-23||452.76|507.85|452.76
37|2000-06-21||488.08|507.85|488.08
41|2000-01-21||72.70|115.36|72.70
47|2000-01-19||95.71|113.23|95.71
47|2000-02-17|146.76||146.76|146.27
53|2000-01-08|38.38||38.38|7.50
53|2000-01-09|61.72||61.72|7.50
53|2000-01-15||31.20|61.72|31.20
61|2000-01-02|64.44|7.73|64.44|7.73
61|2000-01-07|79.56|33.81|79.56|33.81
61|2000-02-17|257.98||257.98|189.63
61|2000-03-01||240.65|257.98|240.65
65|2000-01-03|71.96||71.96|66.75
68|2000-01-19|14.25||14.25|8.24
68|2000-01-21||10.47|14.25|10.47
71|2000-01-02|35.36|2.26|35.36|2.26
71|2000-01-11||6.59|35.36|6.59
86|2000-01-19|83.91||83.91|2.39
98|2000-01-18|20.64||20.64|20.14
98|2000-03-29|233.74||233.74|219.29
98|2000-04-23|462.63|284.52|462.63|284.52
98|2000-05-01||413.39|462.63|413.39
98|2000-05-06||438.37|462.63|438.37
101|2000-01-05||46.59|61.30|46.59
101|2000-01-20|102.93||102.93|46.59
101|2000-01-27||97.95|102.93|97.95
101|2000-02-07|147.16||147.16|97.95
101|2000-05-12|418.18||418.18|413.65
101|2000-06-19|576.37||576.37|569.14
110|2000-01-16||2.66|91.38|2.66
110|2000-01-21||80.55|91.38|80.55
113|2000-05-09|144.86||144.86|143.70
113|2000-10-02|786.98|785.26|786.98|785.26
115|2000-01-02|97.81|3.00|97.81|3.00
115|2000-01-08||6.92|97.81|6.92
115|2000-01-19||9.41|97.81|9.41
115|2000-02-01||16.84|97.81|16.84
115|2000-02-07|102.40||102.40|16.84
115|2000-03-08||38.01|102.40|38.01
115|2000-03-17||38.01|102.40|38.01
115|2000-03-26|201.54||201.54|38.01
115|2000-04-20|317.90||317.90|38.01
115|2000-04-24||79.93|317.90|79.93
115|2000-05-02|327.91|87.13|327.91|87.13
115|2000-05-12|453.42||453.42|87.13
115|2000-05-15||205.46|453.42|205.46
115|2000-06-13||256.69|453.42|256.69
115|2000-06-14||281.75|453.42|281.75
115|2000-06-20|552.48||552.48|281.75
115|2000-06-30||300.32|552.48|300.32
115|2000-07-02||331.62|552.48|331.62
115|2000-07-05||357.32|552.48|357.32
115|2000-07-08||404.35|552.48|404.35
115|2000-08-01||439.02|552.48|439.02
