channel|id|sales|returns_|profit
NULL|NULL|1168124.83|33703.07|-420580.14
catalog channel|NULL|376292.63|26451.74|-97775.55
catalog channel|catalog_pageAAAAAAAAAAABAAAA|14170.22|0.00|6534.03
catalog channel|catalog_pageAAAAAAAAACABAAAA|0.00|4.66|-121.69
catalog channel|catalog_pageAAAAAAAAAGCBAAAA|997.05|0.00|124.80
catalog channel|catalog_pageAAAAAAAAAHABAAAA|11046.64|0.00|4204.64
catalog channel|catalog_pageAAAAAAAAAHCBAAAA|757.68|0.00|-69.30
catalog channel|catalog_pageAAAAAAAAAICBAAAA|6662.56|0.00|-2581.70
catalog channel|catalog_pageAAAAAAAAAKPAAAAA|13935.17|0.00|-1993.03
catalog channel|catalog_pageAAAAAAAAALPAAAAA|162.98|0.00|-4965.96
catalog channel|catalog_pageAAAAAAAAAOPAAAAA|2336.77|0.00|158.20
catalog channel|catalog_pageAAAAAAAAAPPAAAAA|4488.34|0.00|281.22
catalog channel|catalog_pageAAAAAAAABDCBAAAA|1885.50|0.00|-6977.70
catalog channel|catalog_pageAAAAAAAABKPAAAAA|3983.18|0.00|569.72
catalog channel|catalog_pageAAAAAAAABLPAAAAA|5711.42|0.00|1580.59
catalog channel|catalog_pageAAAAAAAABNPAAAAA|669.99|0.00|336.03
catalog channel|catalog_pageAAAAAAAABOPAAAAA|9223.24|0.00|-64.31
catalog channel|catalog_pageAAAAAAAACDABAAAA|143.40|0.00|-3442.20
catalog channel|catalog_pageAAAAAAAACDCBAAAA|6874.20|0.00|1439.25
catalog channel|catalog_pageAAAAAAAACHABAAAA|3750.97|0.00|-3332.06
catalog channel|catalog_pageAAAAAAAACHCBAAAA|9009.36|0.00|2298.24
catalog channel|catalog_pageAAAAAAAACKPAAAAA|876.77|0.00|-754.34
catalog channel|catalog_pageAAAAAAAACLPAAAAA|10540.98|0.00|1636.89
catalog channel|catalog_pageAAAAAAAACMPAAAAA|1739.00|0.00|-1796.34
catalog channel|catalog_pageAAAAAAAACOPAAAAA|1431.92|0.00|-212.24
catalog channel|catalog_pageAAAAAAAACPPAAAAA|714.34|6197.04|-1958.81
catalog channel|catalog_pageAAAAAAAADBABAAAA|1461.60|0.00|548.20
catalog channel|catalog_pageAAAAAAAADDCBAAAA|1335.04|0.00|-3640.56
catalog channel|catalog_pageAAAAAAAADKPAAAAA|580.58|0.00|-62.40
catalog channel|catalog_pageAAAAAAAADLPAAAAA|2082.15|0.00|-1416.45
catalog channel|catalog_pageAAAAAAAADOPAAAAA|502.32|0.00|-767.52
catalog channel|catalog_pageAAAAAAAADPPAAAAA|319.62|0.00|45.36
catalog channel|catalog_pageAAAAAAAAEBABAAAA|1900.80|0.00|-1839.24
catalog channel|catalog_pageAAAAAAAAEDABAAAA|2170.94|0.00|-332.92
catalog channel|catalog_pageAAAAAAAAEECBAAAA|909.48|0.00|-262.68
catalog channel|catalog_pageAAAAAAAAEFCBAAAA|7546.00|0.00|2570.54
catalog channel|catalog_pageAAAAAAAAEIPAAAAA|0.00|40.74|-792.92
catalog channel|catalog_pageAAAAAAAAEMPAAAAA|6979.39|0.00|3314.49
catalog channel|catalog_pageAAAAAAAAEPPAAAAA|8341.08|0.00|2298.78
catalog channel|catalog_pageAAAAAAAAFAABAAAA|0.00|267.05|-270.17
