nation|o_year|sum_profit
ALGERIA|1998|97864.568200
ALGERIA|1997|368231.669500
ALGERIA|1996|196525.804600
ALGERIA|1995|341438.688500
ALGERIA|1994|677444.016000
ALGERIA|1993|458756.915700
ALGERIA|1992|549243.951100
ARGENTINA|1998|80448.768000
ARGENTINA|1997|186279.161800
ARGENTINA|1996|154041.882200
ARGENTINA|1995|113143.311900
ARGENTINA|1994|169680.423900
ARGENTINA|1993|116513.814100
ARGENTINA|1992|202404.760800
BRAZIL|1998|75952.594600
BRAZIL|1997|190548.110400
BRAZIL|1996|219059.069200
BRAZIL|1995|186435.202300
BRAZIL|1994|96835.187000
BRAZIL|1993|186365.410900
BRAZIL|1992|152546.443900
CANADA|1998|101030.333600
CANADA|1997|101197.344100
CANADA|1996|257697.135500
CANADA|1995|91474.882000
CANADA|1994|249182.754800
CANADA|1993|185737.837900
CANADA|1992|143371.746500
CHINA|1998|508364.544400
CHINA|1997|650235.164600
CHINA|1996|911366.069800
CHINA|1995|797268.407600
CHINA|1994|529989.309500
CHINA|1993|573864.397200
CHINA|1992|751688.761300
EGYPT|1998|306325.284200
EGYPT|1997|568461.669900
EGYPT|1996|465081.923200
EGYPT|1995|542886.508700
EGYPT|1994|745807.812300
EGYPT|1993|381503.200800
EGYPT|1992|641866.436700
ETHIOPIA|1998|226054.571600
ETHIOPIA|1997|585193.280200
ETHIOPIA|1996|405412.774100
ETHIOPIA|1995|270455.763700
ETHIOPIA|1994|567875.427900
ETHIOPIA|1993|412302.287100
ETHIOPIA|1992|551284.582100
FRANCE|1998|135723.405000
FRANCE|1997|249664.757800
FRANCE|1996|175882.893400
FRANCE|1995|116394.786600
FRANCE|1994|197695.243800
FRANCE|1993|231878.620100
FRANCE|1992|199131.203700
GERMANY|1998|172741.102400
GERMANY|1997|393833.466000
GERMANY|1996|335634.593600
GERMANY|1995|378106.076300
GERMANY|1994|250107.665300
GERMANY|1993|327154.936500
GERMANY|1992|387240.088500
INDIA|1998|347548.760400
INDIA|1997|656797.967000
INDIA|1996|522759.352900
INDIA|1995|574428.669300
INDIA|1994|741983.784600
INDIA|1993|729948.534100
INDIA|1992|661061.141500
INDONESIA|1998|91791.509600
INDONESIA|1997|183956.461300
INDONESIA|1996|415234.784800
INDONESIA|1995|427155.380400
INDONESIA|1994|286271.287500
INDONESIA|1993|551178.882300
INDONESIA|1992|274513.268500
IRAN|1998|47959.821900
IRAN|1997|184335.061500
IRAN|1996|223115.246400
IRAN|1995|125339.092700
IRAN|1994|117228.312200
IRAN|1993|208030.322900
IRAN|1992|161835.547500
IRAQ|1998|161797.492400
IRAQ|1997|224876.543600
IRAQ|1996|145277.898000
IRAQ|1995|467955.250500
IRAQ|1994|97455.299000
IRAQ|1993|114821.644000
IRAQ|1992|213307.157400
JAPAN|1998|307594.598000
JAPAN|1997|339018.148800
JAPAN|1996|649578.336800
JAPAN|1995|671644.091100
JAPAN|1994|576266.238600
JAPAN|1993|514190.843700
JAPAN|1992|534914.933900
JORDAN|1996|33460.244700
JORDAN|1995|20364.162300
JORDAN|1994|15528.608800
JORDAN|1993|14640.988900
JORDAN|1992|10904.293100
KENYA|1998|521926.519800
KENYA|1997|559632.340800
KENYA|1996|772855.793900
KENYA|1995|516452.506700
KENYA|1994|543665.815400
KENYA|1993|866924.875400
KENYA|1992|567410.550200
MOROCCO|1998|217794.497300
MOROCCO|1997|439240.928700
MOROCCO|1996|399969.468000
MOROCCO|1995|258131.939800
MOROCCO|1994|386972.142400
MOROCCO|1993|145468.038100
MOROCCO|1992|284314.281300
MOZAMBIQUE|1998|518693.223800
MOZAMBIQUE|1997|613873.296100
MOZAMBIQUE|1996|936793.561200
MOZAMBIQUE|1995|727204.771800
MOZAMBIQUE|1994|1104618.180700
MOZAMBIQUE|1993|893266.053000
MOZAMBIQUE|1992|1062432.088400
PERU|1998|287242.979700
PERU|1997|532358.366000
PERU|1996|398435.750700
PERU|1995|462031.625100
PERU|1994|304235.411800
PERU|1993|505885.489000
PERU|1992|382290.094700
ROMANIA|1998|357824.552800
ROMANIA|1997|569806.556400
ROMANIA|1996|732001.556800
ROMANIA|1995|408657.115400
ROMANIA|1994|540702.546300
ROMANIA|1993|883158.505600
ROMANIA|1992|505488.950100
RUSSIA|1998|34448.635700
RUSSIA|1997|314972.044600
RUSSIA|1996|430049.582100
RUSSIA|1995|360538.058600
RUSSIA|1994|301791.011400
RUSSIA|1993|308993.962200
RUSSIA|1992|289868.656400
SAUDI ARABIA|1998|16502.410000
SAUDI ARABIA|1997|61830.955600
SAUDI ARABIA|1996|213650.280900
SAUDI ARABIA|1995|62668.725000
SAUDI ARABIA|1994|94629.153800
SAUDI ARABIA|1993|57768.307100
SAUDI ARABIA|1992|66520.109300
UNITED KINGDOM|1998|80437.652300
UNITED KINGDOM|1997|252509.735100
UNITED KINGDOM|1996|231152.858200
UNITED KINGDOM|1995|181310.880800
UNITED KINGDOM|1994|239161.206100
UNITED KINGDOM|1993|122103.114200
UNITED KINGDOM|1992|60882.308000
UNITED STATES|1998|440347.665800
UNITED STATES|1997|652958.937100
UNITED STATES|1996|1004593.828200
UNITED STATES|1995|860144.102900
UNITED STATES|1994|807797.487700
UNITED STATES|1993|736669.471100
UNITED STATES|1992|877851.410300
VIETNAM|1998|358248.015900
VIETNAM|1997|394817.284200
VIETNAM|1996|439390.083600
VIETNAM|1995|418626.632500
VIETNAM|1994|422644.816800
VIETNAM|1993|309063.402000
VIETNAM|1992|716126.537800
