21,442697,25979
26,230278,28206
77,915180,37154
83,976724,40824
101,1730669,464
104,1090695,25490
131,21268,8606
135,770531,16767
162,265628,26021
187,1447273,35061
199,1279496,42025
223,497955,18189
248,1001304,12498
316,1461794,42399
333,1234328,47098
352,271428,44777
369,231483,16831
376,276865,22891
388,1421974,14069
399,244101,46466
428,1783769,23644
453,167918,27108
460,1395786,38853
463,456020,17615
475,111390,1246
494,1647873,20359
551,1019091,37630
638,46022,21822
663,636714,18753
685,1335142,2249
702,1470257,1225
715,620729,19314
723,1577731,36683
796,830441,29677
876,692612,38614
923,243980,43762
961,664635,32940
966,695642,12860
967,1795113,39874
1009,918183,7273
1043,1101649,1186
1047,48726,28521
1053,1224841,19572
1089,296632,41207
1096,957185,36605
1098,399258,47661
1100,1117596,29499
1108,1856334,38224
1110,311547,40148
1114,945605,30235
1134,1709642,35134
1140,689726,36670
1143,810770,27823
1194,821521,31635
1203,1841555,14367
1219,81703,26064
1241,1447556,8853
1246,1722295,2471
1253,1346566,41254
1274,722829,5912
1283,917737,17796
1328,1671868,11786
1340,1724746,13869
1384,1871192,46485
1386,224588,13315
1391,1575611,23077
1431,888812,2267
1438,1389175,13261
1445,1621872,29400
1446,1870774,22439
1454,1645152,10744
1457,1412994,3690
1458,1422942,43865
1468,961336,7998
1491,1878706,7209
1503,234229,26694
1506,452852,33795
1524,1170495,27792
1558,1116306,29644
1594,965790,20087
1597,466588,44799
1625,1099768,26880
1662,1313716,34799
1716,1869858,35257
1725,1012192,5310
1739,1591707,30353
1746,1276475,27290
1790,65065,20784
1808,1005493,13643
1835,1801791,10689
1841,220487,42723
1859,700687,36238
1878,1689966,41296
1905,371522,48618
1923,1639487,22416
2029,1377964,34167
2030,600545,21516
2063,1132798,7471
2100,1399051,9971
2143,1899267,728
2151,1900538,29406
2194,1812988,40148
2203,273549,6230
2210,1002631,5936
2232,1903651,33973
2235,1447178,38813
2244,1645951,20808
2268,1047731,37132
2294,1416342,7744
2296,1300317,4187
2336,1307178,294
2416,724993,10871
2465,1099086,34680
2477,,15009
2484,1560003,38603
2497,828666,14304
2520,1161051,36322
2538,1758726,41296
2545,1334627,41965
2546,1286367,11608
2556,254980,9947
2566,1579759,33982
2568,451161,40502
2623,685371,12235
2638,492891,13690
2657,1710239,8978
2663,789502,42392
2668,674609,15509
2682,1218866,28932
2689,1433396,46485
2691,1177511,13243
2696,157556,31301
2709,609420,37346
2732,1190105,34490
2736,1124900,41452
2781,594056,39746
2804,1355479,377
2819,213582,46644
2820,295117,42251
2836,1886433,25470
2868,252342,4083
2879,1090565,49648
2883,1102369,27108
2891,11586,23795
2899,170125,32702
2906,605793,23544
2911,1165011,40819
2932,959410,35928
2935,1040401,5475
3006,610423,40690
3052,323704,38090
3071,598464,29673
3094,385612,34630
3097,1021285,49911
3102,1630639,14513
3129,548506,22472
3135,1369233,46102
3184,745847,12310
3193,1127763,19844
3227,1518415,39917
3276,1577723,43546
3301,1392273,9540
3400,625547,27372
3406,1565478,13958
3423,1670326,49027
3436,884713,2267
3474,1432369,16069
3508,105449,36388
3518,1849258,18931
3575,1076826,5818
3582,830016,31402
3585,1719294,33595
3586,1917373,10635
