channel|col_name|d_year|d_qoy|i_category|sales_cnt|sales_amt
catalog|cs_ship_addr_sk|1998|1|Books|9|13630.14
catalog|cs_ship_addr_sk|1998|1|Children|14|36422.12
catalog|cs_ship_addr_sk|1998|1|Electronics|17|18547.58
catalog|cs_ship_addr_sk|1998|1|Home|9|17219.87
catalog|cs_ship_addr_sk|1998|1|Jewelry|11|21296.55
catalog|cs_ship_addr_sk|1998|1|Men|12|21133.19
catalog|cs_ship_addr_sk|1998|1|Music|14|14202.49
catalog|cs_ship_addr_sk|1998|1|Shoes|13|4629.07
catalog|cs_ship_addr_sk|1998|1|Sports|12|9317.11
catalog|cs_ship_addr_sk|1998|1|Women|4|20528.20
catalog|cs_ship_addr_sk|1998|2|Books|13|31992.54
catalog|cs_ship_addr_sk|1998|2|Children|7|3456.73
catalog|cs_ship_addr_sk|1998|2|Electronics|8|9245.99
catalog|cs_ship_addr_sk|1998|2|Home|14|36842.92
catalog|cs_ship_addr_sk|1998|2|Jewelry|6|23087.63
catalog|cs_ship_addr_sk|1998|2|Men|5|3774.75
catalog|cs_ship_addr_sk|1998|2|Music|13|12383.53
catalog|cs_ship_addr_sk|1998|2|Shoes|11|22099.94
catalog|cs_ship_addr_sk|1998|2|Sports|11|8905.87
catalog|cs_ship_addr_sk|1998|2|Women|10|20742.36
catalog|cs_ship_addr_sk|1998|3|Books|20|38453.00
catalog|cs_ship_addr_sk|1998|3|Children|25|29524.13
catalog|cs_ship_addr_sk|1998|3|Electronics|16|39967.09
catalog|cs_ship_addr_sk|1998|3|Home|17|30974.21
catalog|cs_ship_addr_sk|1998|3|Jewelry|22|18798.91
catalog|cs_ship_addr_sk|1998|3|Men|13|15757.18
catalog|cs_ship_addr_sk|1998|3|Music|14|16594.50
catalog|cs_ship_addr_sk|1998|3|Shoes|20|31879.44
catalog|cs_ship_addr_sk|1998|3|Sports|18|23366.00
catalog|cs_ship_addr_sk|1998|3|Women|24|22984.51
catalog|cs_ship_addr_sk|1998|4|Books|32|62452.79
catalog|cs_ship_addr_sk|1998|4|Children|33|34596.12
catalog|cs_ship_addr_sk|1998|4|Electronics|28|50847.09
catalog|cs_ship_addr_sk|1998|4|Home|33|15023.78
catalog|cs_ship_addr_sk|1998|4|Jewelry|22|36047.54
catalog|cs_ship_addr_sk|1998|4|Men|26|31782.09
catalog|cs_ship_addr_sk|1998|4|Music|39|33776.35
catalog|cs_ship_addr_sk|1998|4|Shoes|33|23780.71
catalog|cs_ship_addr_sk|1998|4|Sports|25|44333.04
catalog|cs_ship_addr_sk|1998|4|Women|46|66573.64
catalog|cs_ship_addr_sk|1999|1|Books|10|1743.00
catalog|cs_ship_addr_sk|1999|1|Children|9|15579.72
catalog|cs_ship_addr_sk|1999|1|Electronics|16|16830.07
catalog|cs_ship_addr_sk|1999|1|Home|4|2720.94
catalog|cs_ship_addr_sk|1999|1|Jewelry|10|10187.73
catalog|cs_ship_addr_sk|1999|1|Men|10|4852.89
catalog|cs_ship_addr_sk|1999|1|Music|11|17621.62
catalog|cs_ship_addr_sk|1999|1|Shoes|23|44189.47
catalog|cs_ship_addr_sk|1999|1|Sports|9|6378.11
catalog|cs_ship_addr_sk|1999|1|Women|11|6084.37
catalog|cs_ship_addr_sk|1999|2|Books|9|5334.82
catalog|cs_ship_addr_sk|1999|2|Children|10|18322.87
catalog|cs_ship_addr_sk|1999|2|Electronics|14|13713.65
catalog|cs_ship_addr_sk|1999|2|Home|7|13795.83
catalog|cs_ship_addr_sk|1999|2|Jewelry|10|3412.14
catalog|cs_ship_addr_sk|1999|2|Men|11|4478.24
catalog|cs_ship_addr_sk|1999|2|Music|13|14358.01
catalog|cs_ship_addr_sk|1999|2|Shoes|11|17936.23
catalog|cs_ship_addr_sk|1999|2|Sports|6|11933.96
catalog|cs_ship_addr_sk|1999|2|Women|16|10976.08
catalog|cs_ship_addr_sk|1999|3|Books|23|35706.59
catalog|cs_ship_addr_sk|1999|3|Children|11|10501.63
catalog|cs_ship_addr_sk|1999|3|Electronics|17|28513.24
catalog|cs_ship_addr_sk|1999|3|Home|21|44765.02
catalog|cs_ship_addr_sk|1999|3|Jewelry|19|34358.40
catalog|cs_ship_addr_sk|1999|3|Men|17|20923.18
catalog|cs_ship_addr_sk|1999|3|Music|22|20934.72
catalog|cs_ship_addr_sk|1999|3|Shoes|17|62902.61
catalog|cs_ship_addr_sk|1999|3|Sports|20|21168.50
catalog|cs_ship_addr_sk|1999|3|Women|24|29081.98
catalog|cs_ship_addr_sk|1999|4|Books|28|23653.67
catalog|cs_ship_addr_sk|1999|4|Children|30|21224.48
catalog|cs_ship_addr_sk|1999|4|Electronics|34|57571.59
catalog|cs_ship_addr_sk|1999|4|Home|21|41264.77
catalog|cs_ship_addr_sk|1999|4|Jewelry|45|36013.67
catalog|cs_ship_addr_sk|1999|4|Men|29|39518.80
catalog|cs_ship_addr_sk|1999|4|Music|37|48918.75
catalog|cs_ship_addr_sk|1999|4|Shoes|32|28773.04
catalog|cs_ship_addr_sk|1999|4|Sports|28|41313.81
catalog|cs_ship_addr_sk|1999|4|Women|27|29527.31
catalog|cs_ship_addr_sk|2000|1|Books|13|21779.99
catalog|cs_ship_addr_sk|2000|1|Children|10|20359.60
catalog|cs_ship_addr_sk|2000|1|Electronics|9|6052.69
catalog|cs_ship_addr_sk|2000|1|Home|13|10651.74
catalog|cs_ship_addr_sk|2000|1|Jewelry|8|6883.61
catalog|cs_ship_addr_sk|2000|1|Men|11|26301.88
catalog|cs_ship_addr_sk|2000|1|Music|11|1880.73
catalog|cs_ship_addr_sk|2000|1|Shoes|15|8970.77
catalog|cs_ship_addr_sk|2000|1|Sports|7|1211.13
catalog|cs_ship_addr_sk|2000|1|Women|6|2995.16
catalog|cs_ship_addr_sk|2000|2|Books|13|19685.21
catalog|cs_ship_addr_sk|2000|2|Children|6|5188.24
catalog|cs_ship_addr_sk|2000|2|Electronics|11|1159.76
catalog|cs_ship_addr_sk|2000|2|Home|14|9432.75
catalog|cs_ship_addr_sk|2000|2|Jewelry|7|29282.21
catalog|cs_ship_addr_sk|2000|2|Men|7|1338.49
catalog|cs_ship_addr_sk|2000|2|Music|13|32457.10
catalog|cs_ship_addr_sk|2000|2|Shoes|6|4633.72
catalog|cs_ship_addr_sk|2000|2|Sports|11|3106.71
catalog|cs_ship_addr_sk|2000|2|Women|9|4527.15
