item_id|sr_item_qty|sr_dev|cr_item_qty|cr_dev|wr_item_qty|wr_dev|average
AAAAAAAAAHFBAAAA|75|17.24137931034482758600|69|15.86206896551724137900|1|0.22988505747126436800|48.3333333333333333
AAAAAAAACLJBAAAA|51|25.00000000000000000000|14|6.86274509803921568600|3|1.47058823529411764700|22.6666666666666667
AAAAAAAACOPBAAAA|11|5.91397849462365591400|25|13.44086021505376344100|26|13.97849462365591397800|20.6666666666666667
AAAAAAAADJABAAAA|71|27.84313725490196078400|5|1.96078431372549019600|9|3.52941176470588235300|28.3333333333333333
AAAAAAAADLOAAAAA|94|30.42071197411003236200|2|0.64724919093851132700|7|2.26537216828478964400|34.3333333333333333
AAAAAAAAEFKAAAAA|82|18.46846846846846846800|23|5.18018018018018018000|43|9.68468468468468468500|49.3333333333333333
AAAAAAAAEINBAAAA|32|23.18840579710144927500|7|5.07246376811594202900|7|5.07246376811594202900|15.3333333333333333
AAAAAAAAFDPCAAAA|32|10.35598705501618123000|50|16.18122977346278317200|21|6.79611650485436893200|34.3333333333333333
AAAAAAAAGJMBAAAA|73|NULL|NULL|NULL|10|NULL|NULL
AAAAAAAAGLBBAAAA|43|9.12951167728237791900|61|12.95116772823779193200|53|11.25265392781316348200|52.3333333333333333
AAAAAAAAGLJDAAAA|14|21.21212121212121212100|4|6.06060606060606060600|4|6.06060606060606060600|7.3333333333333333
AAAAAAAAGMFAAAAA|21|11.11111111111111111100|12|6.34920634920634920600|30|15.87301587301587301600|21.0000000000000000
AAAAAAAAGNHDAAAA|36|14.81481481481481481500|31|12.75720164609053497900|14|5.76131687242798353900|27.0000000000000000
AAAAAAAAIPHCAAAA|73|22.95597484276729559700|21|6.60377358490566037700|12|3.77358490566037735800|35.3333333333333333
AAAAAAAAJECEAAAA|70|19.94301994301994302000|37|10.54131054131054131100|10|2.84900284900284900300|39.0000000000000000
AAAAAAAAJGPBAAAA|7|4.66666666666666666700|16|10.66666666666666666700|27|18.00000000000000000000|16.6666666666666667
AAAAAAAAJPHDAAAA|11|5.39215686274509803900|39|19.11764705882352941200|18|8.82352941176470588200|22.6666666666666667
AAAAAAAAKEPCAAAA|69|12.92134831460674157300|83|15.54307116104868913900|26|4.86891385767790262200|59.3333333333333333
AAAAAAAAKIMCAAAA|35|11.00628930817610062900|57|17.92452830188679245300|14|4.40251572327044025200|35.3333333333333333
AAAAAAAAKPOCAAAA|56|16.23188405797101449300|40|11.59420289855072463800|19|5.50724637681159420300|38.3333333333333333
AAAAAAAAMLFEAAAA|62|19.68253968253968254000|23|7.30158730158730158700|20|6.34920634920634920600|35.0000000000000000
AAAAAAAAOMPAAAAA|15|8.77192982456140350900|7|4.09356725146198830400|35|20.46783625730994152000|19.0000000000000000
AAAAAAAAPDEAAAAA|1|2.22222222222222222200|12|26.66666666666666666700|2|4.44444444444444444400|5.0000000000000000
AAAAAAAAPELBAAAA|28|16.96969696969696969700|1|0.60606060606060606100|26|15.75757575757575757600|18.3333333333333333
