i_manager_id|sum_sales|avg_monthly_sales
1|1.44|6.2775000000000000
1|2.65|6.2775000000000000
1|3.43|6.2775000000000000
1|3.84|6.2775000000000000
1|4.98|6.2775000000000000
1|8.81|6.2775000000000000
1|9.50|6.2775000000000000
1|9.68|6.2775000000000000
1|12.10|6.2775000000000000
2|1.45|5.7183333333333333
2|2.81|5.7183333333333333
2|3.14|5.7183333333333333
2|3.66|5.7183333333333333
2|4.04|5.7183333333333333
2|4.84|5.7183333333333333
2|6.98|5.7183333333333333
2|9.43|5.7183333333333333
2|9.56|5.7183333333333333
2|10.95|5.7183333333333333
3|3.72|10.7950000000000000
3|5.19|10.7950000000000000
3|5.38|10.7950000000000000
3|5.99|10.7950000000000000
3|6.87|10.7950000000000000
3|13.00|10.7950000000000000
3|16.23|10.7950000000000000
3|18.10|10.7950000000000000
3|24.51|10.7950000000000000
5|5.41|11.9858333333333333
5|6.09|11.9858333333333333
5|7.00|11.9858333333333333
5|7.57|11.9858333333333333
5|8.10|11.9858333333333333
5|8.98|11.9858333333333333
5|17.91|11.9858333333333333
5|19.05|11.9858333333333333
5|19.27|11.9858333333333333
5|22.13|11.9858333333333333
6|6.97|20.5875000000000000
6|9.47|20.5875000000000000
6|10.69|20.5875000000000000
6|11.12|20.5875000000000000
6|11.91|20.5875000000000000
6|12.30|20.5875000000000000
6|16.08|20.5875000000000000
6|24.12|20.5875000000000000
6|27.93|20.5875000000000000
6|31.38|20.5875000000000000
6|38.14|20.5875000000000000
6|46.94|20.5875000000000000
7|8.07|16.6958333333333333
7|8.11|16.6958333333333333
7|8.58|16.6958333333333333
7|9.06|16.6958333333333333
7|10.05|16.6958333333333333
7|12.33|16.6958333333333333
7|14.73|16.6958333333333333
7|20.73|16.6958333333333333
7|20.95|16.6958333333333333
7|21.91|16.6958333333333333
7|32.26|16.6958333333333333
7|33.57|16.6958333333333333
8|7.50|16.8983333333333333
8|8.60|16.8983333333333333
8|8.79|16.8983333333333333
8|9.16|16.8983333333333333
8|9.89|16.8983333333333333
8|14.05|16.8983333333333333
8|19.89|16.8983333333333333
8|24.71|16.8983333333333333
8|29.97|16.8983333333333333
8|34.22|16.8983333333333333
9|6.34|16.8875000000000000
9|7.07|16.8875000000000000
9|7.44|16.8875000000000000
9|7.46|16.8875000000000000
9|7.56|16.8875000000000000
9|9.37|16.8875000000000000
9|11.30|16.8875000000000000
9|20.09|16.8875000000000000
9|23.01|16.8875000000000000
9|26.57|16.8875000000000000
9|37.87|16.8875000000000000
9|38.57|16.8875000000000000
10|5.00|12.3091666666666667
10|5.47|12.3091666666666667
10|7.08|12.3091666666666667
10|7.62|12.3091666666666667
10|8.41|12.3091666666666667
10|9.13|12.3091666666666667
10|15.59|12.3091666666666667
10|22.14|12.3091666666666667
10|30.36|12.3091666666666667
11|3.54|13.6250000000000000
11|5.44|13.6250000000000000
11|5.80|13.6250000000000000
11|6.31|13.6250000000000000
11|8.79|13.6250000000000000
11|10.50|13.6250000000000000
11|11.51|13.6250000000000000
