total_sum|i_category|i_class|lochierarchy|rank_within_parent
325920362.16|NULL|NULL|2|1
33608039.99|Music|NULL|1|1
33492896.89|Shoes|NULL|1|2
33284844.68|Books|NULL|1|3
32941025.31|Men|NULL|1|4
32654038.46|Women|NULL|1|5
32371205.72|Children|NULL|1|6
31982069.42|Electronics|NULL|1|7
31855938.24|Sports|NULL|1|8
31765555.19|Jewelry|NULL|1|9
31012655.42|Home|NULL|1|10
952092.84|NULL|NULL|1|11
390148.41|NULL|NULL|0|1
90885.24|NULL|womens|0|2
82082.16|NULL|flatware|0|3
66727.43|NULL|semi-precious|0|4
52847.72|NULL|pants|0|5
48846.16|NULL|dresses|0|6
44191.16|NULL|baseball|0|7
39351.35|NULL|swimwear|0|8
32078.23|NULL|archery|0|9
29023.37|NULL|glassware|0|10
26111.12|NULL|tennis|0|11
20946.62|NULL|outdoor|0|12
16115.39|NULL|sports-apparel|0|13
12738.48|NULL|scanners|0|14
2882037.01|Books|history|0|1
2650020.94|Books|computers|0|2
2626417.31|Books|romance|0|3
2399774.80|Books|fiction|0|4
2250839.91|Books|home repair|0|5
2157081.25|Books|self-help|0|6
2151972.85|Books|reference|0|7
2006410.77|Books|business|0|8
1947171.66|Books|travel|0|9
1910620.55|Books|parenting|0|10
1808478.89|Books|sports|0|11
1769089.18|Books|mystery|0|12
1760805.20|Books|science|0|13
1743716.57|Books|cooking|0|14
1700923.52|Books|entertainments|0|15
1449184.69|Books|arts|0|16
70299.58|Books|NULL|0|17
8425408.07|Children|toddlers|0|1
8331035.84|Children|infants|0|2
7959551.19|Children|school-uniforms|0|3
7610257.06|Children|newborn|0|4
44953.56|Children|NULL|0|5
2660757.44|Electronics|dvd/vcr players|0|1
2333359.95|Electronics|karoke|0|2
2328764.07|Electronics|televisions|0|3
2196899.20|Electronics|monitors|0|4
2189555.47|Electronics|scanners|0|5
2157738.08|Electronics|memory|0|6
2156218.45|Electronics|stereo|0|7
1972036.19|Electronics|disk drives|0|8
1948361.90|Electronics|camcorders|0|9
1797788.72|Electronics|cameras|0|10
1794191.17|Electronics|personal|0|11
1760807.72|Electronics|portable|0|12
1750484.46|Electronics|wireless|0|13
1701721.74|Electronics|automotive|0|14
1684629.72|Electronics|musical|0|15
1548755.14|Electronics|audio|0|16
2345219.90|Home|glassware|0|1
2311944.06|Home|curtains/drapes|0|2
2266039.93|Home|bedding|0|3
2177711.54|Home|paint|0|4
2092211.52|Home|lighting|0|5
2068099.19|Home|furniture|0|6
2016351.96|Home|flatware|0|7
1965501.50|Home|bathroom|0|8
1960285.18|Home|tables|0|9
1921050.52|Home|decor|0|10
1877323.08|Home|blinds/shades|0|11
1744650.34|Home|mattresses|0|12
1667750.91|Home|kids|0|13
1602793.04|Home|accent|0|14
1525365.53|Home|rugs|0|15
1435719.17|Home|wallpaper|0|16
34638.05|Home|NULL|0|17
2911913.52|Jewelry|jewelry boxes|0|1
2256136.26|Jewelry|rings|0|2
2245181.13|Jewelry|custom|0|3
2224357.46|Jewelry|pendants|0|4
2184616.75|Jewelry|gold|0|5
2084029.71|Jewelry|estate|0|6
1987888.53|Jewelry|mens watch|0|7
1941005.12|Jewelry|womens watch|0|8
1909163.79|Jewelry|costume|0|9
1904656.09|Jewelry|birdal|0|10
1802883.93|Jewelry|loose stones|0|11
1775617.54|Jewelry|diamonds|0|12
1772293.77|Jewelry|earings|0|13
1638606.02|Jewelry|bracelets|0|14
1560951.42|Jewelry|consignment|0|15
1478488.94|Jewelry|semi-precious|0|16
87765.21|Jewelry|NULL|0|17
8876049.06|Men|shirts|0|1
8617051.07|Men|sports-apparel|0|2
