ss_sold_year|ss_item_sk|ss_customer_sk|ratio|store_qty|store_wholesale_cost|store_sales_price|other_chan_qty|other_chan_wholesale_cost|other_chan_sales_price
2000|119|51419|0.67|58|15.60|7.48|87|25.62|23.69
2000|415|6082|0.11|7|97.86|125.26|65|92.29|34.04
2000|439|6746|1.97|77|65.40|90.36|39|29.28|27.82
2000|565|86651|0.81|21|43.53|5.14|26|78.42|80.66
2000|577|47643|0.79|64|44.48|4.29|81|60.61|4.65
2000|770|71482|0.94|34|17.63|15.19|36|40.08|64.27
2000|811|26283|2.69|94|79.54|0.00|35|30.44|39.81
2000|911|75040|0.82|76|31.77|23.82|93|4.35|7.65
2000|950|24423|0.50|10|51.55|54.99|20|7.79|16.58
2000|1033|58414|2.29|87|26.67|17.42|38|9.24|21.53
2000|1057|43743|9.00|54|93.48|35.00|6|45.12|2.68
2000|1085|43604|1.74|75|96.20|27.47|43|2.74|5.19
2000|1094|96214|0.48|39|42.60|12.47|81|16.47|6.00
2000|1235|19486|3.17|95|55.98|47.17|30|5.09|0.49
2000|1273|2863|0.51|39|90.83|89.01|76|56.93|156.07
2000|1289|82364|0.19|15|53.24|88.82|81|32.71|53.73
2000|1387|87715|0.78|53|21.21|25.04|68|73.86|63.85
2000|1429|88113|0.91|67|99.90|38.04|74|49.81|1.18
2000|1442|85360|0.31|16|76.43|2.84|51|80.22|19.82
2000|1513|8950|0.50|6|3.39|1.96|12|84.63|4.07
2000|1892|73804|2.86|20|41.56|39.58|7|43.21|39.92
2000|1976|88927|0.13|9|64.04|38.62|71|69.27|59.09
2000|2131|14809|0.38|36|22.18|8.13|95|12.32|11.44
2000|2245|80723|0.95|95|98.01|113.04|100|46.37|46.82
2000|2417|67675|0.89|84|41.14|3.03|94|84.82|96.94
2000|2423|79617|0.40|33|97.05|27.23|83|77.90|14.76
2000|2791|6940|0.88|84|45.50|46.62|95|66.26|107.57
2000|2837|28347|2.21|84|18.19|23.64|38|67.08|57.19
2000|2843|926|12.00|72|43.31|58.55|6|29.73|28.09
2000|2894|30405|2.75|66|30.59|20.99|24|11.53|6.66
2000|2971|98888|2.78|25|89.13|54.31|9|23.44|12.87
2000|2984|81877|5.00|100|37.28|29.58|20|46.30|58.12
2000|3053|42988|0.96|86|58.16|30.88|90|13.29|7.32
2000|3218|37840|1.03|65|62.33|19.33|63|48.12|89.85
2000|3341|97361|87.00|87|10.37|4.48|1|72.01|99.48
2000|3380|81542|0.06|6|23.01|21.82|93|5.35|7.07
2000|3397|6926|2.14|62|28.54|25.56|29|27.79|53.55
2000|3475|70282|1.00|2|82.34|112.00|2|45.30|12.65
2000|3661|31249|0.06|5|30.56|33.64|80|2.75|0.66
2000|3691|60308|0.52|44|61.48|54.59|85|4.33|3.10
2000|3925|25531|14.00|70|87.72|122.20|5|51.42|5.55
2000|4142|65211|2.60|65|84.13|54.63|25|96.85|108.66
2000|4214|25547|1.36|76|30.58|16.73|56|65.50|96.14
2000|4237|3699|0.87|13|27.56|42.08|15|14.85|11.31
2000|4303|89213|1.38|99|24.66|18.83|72|93.67|6.85
2000|4421|42585|0.16|10|37.09|23.62|64|39.88|79.56
2000|4478|43049|0.54|30|95.19|162.77|56|83.75|5.10
2000|4517|16405|1.58|19|19.89|22.91|12|21.76|7.21
2000|4739|12763|0.79|11|85.13|23.29|14|65.68|187.25
2000|4823|40858|13.00|26|18.35|27.68|2|16.29|15.18
2000|5006|81470|0.95|76|28.53|19.83|80|25.20|15.04
2000|5039|9347|3.50|49|40.60|65.81|14|38.91|91.06
2000|5051|66647|0.07|7|18.92|11.98|94|81.29|28.77
2000|5087|99109|0.31|20|27.50|13.61|64|95.75|48.97
2000|5191|57030|0.13|9|44.67|60.06|68|40.54|70.85
2000|5281|42348|0.62|61|66.17|44.10|98|38.17|45.67
2000|5330|2734|0.50|44|98.56|26.90|88|40.15|78.94
