i_manufact_id|total_sales
929|47.03
821|298.16
738|355.78
741|558.50
697|607.87
824|636.01
938|804.30
710|861.38
785|977.68
936|1254.44
849|1265.74
784|1472.78
990|1635.12
880|1770.51
965|2550.56
946|2560.84
783|2588.40
464|2820.49
789|3061.58
705|3233.11
733|3587.59
709|3593.01
928|3611.76
682|3886.96
482|3949.49
812|3956.44
704|4137.47
698|4197.54
840|4222.19
794|4237.77
838|4293.86
853|4555.12
711|4765.75
668|4983.54
780|5247.14
799|5984.12
899|6013.24
798|6055.88
774|6121.74
795|6379.88
713|6696.51
947|6848.14
386|7008.50
811|7459.85
872|7620.85
898|7720.89
920|7863.79
556|8440.53
1000|8756.30
939|8794.90
981|8861.58
851|8889.27
832|9582.71
655|9666.02
723|9667.53
887|9698.00
590|9700.72
974|9739.11
963|10014.23
740|10060.25
358|10101.34
969|10138.23
555|10260.50
484|10301.91
977|10475.47
766|10534.33
855|10626.45
472|10647.86
797|10772.56
363|10876.09
910|10998.62
619|11012.10
828|11099.19
419|11099.40
806|11113.64
166|11230.73
807|11275.00
770|11282.09
376|11433.19
966|11517.48
430|11761.86
607|11817.18
772|11868.89
692|11953.52
708|12030.48
995|12083.59
764|12163.19
581|12223.47
519|12470.81
860|12525.53
810|12588.58
396|12744.22
841|12764.76
564|13186.25
652|13193.69
886|13322.77
826|13393.73
968|13445.58
422|13634.68
986|13680.84
