ca_county|d_year|web_q1_q2_increase|store_q1_q2_increase|web_q2_q3_increase|store_q2_q3_increase
Atchison County|2000|0.97959488035075126342|0.33881119307119643388|7.4403049825786128|1.7884632484435241
Bacon County|2000|1.09067233102805556709|0.15318691870143213192|1.1966198585017410|0.83408608976020975855
Berkshire County|2000|1.8410936935868057|1.2221571745138421|1.5641536075208048|1.2466351897475178
Blue Earth County|2000|8.9132483349319220|0.54175648884330459916|0.39144431073118101087|0.38590901826126644181
Bourbon County|2000|1.9402261545458304|0.77806947752812811183|1.5609248945829117|1.2274453112817505
Boyd County|2000|1.2199727311931628|1.0842674136672090|1.2709037436592025|1.2041924397110475
Bradley County|2000|2.7131774017128883|0.96117591439286675349|1.3769195029965310|0.69417661631761212807
Buchanan County|2000|0.82892682347041449984|0.71031809880673618193|6.9501551957047054|2.0546320927108600
Cass County|2000|1.6941302268329851|1.1472348987292788|2.7026441998107960|1.2654092376882019
Cook County|2000|1.7877246756621436|0.84770917606960723413|2.2000987777746019|1.5744546504242290
Corson County|2000|1.7093378236366465|0.24712698190651986257|1.6936727004770467|1.5803968510372745
Edmonson County|2000|0.67175216690673213553|0.49326034142473326975|2.5759512608144842|0.98256258202745206551
Ferry County|2000|1.8248216677543186|0.32313183941847341321|1.9244383393938511|1.2100861190772138
Fillmore County|2000|0.78973060575381201626|0.25858895846971446509|1.6654770861445058|1.14921846079061723650
Fremont County|2000|3.2190345773853207|0.49478600710351830555|1.8531229988793150|1.5490951759047718
Gaston County|2000|1.19460442823045427202|0.33607105951455139596|4.5643384547660025|1.5592771454551636
Gates County|2000|0.91222103600368117438|0.26179766441726374002|2.8892960853646487|2.2557802936071230
Green County|2000|0.77487828402752164395|0.33082331606303010592|5.1851499043473565|3.9122953558996245
Greene County|2000|0.88812520211786114298|0.83095372866532706297|2.0499749346402256|1.9875796936710591
Harris County|2000|0.89700594974733501302|0.23965047070761650144|3.7398304320762412|1.6288983698689175
Heard County|2000|3.3700878005340229|1.8624461891966554|1.6370831978143498|0.58683123305685583283
Houston County|2000|1.3901045284463016|1.1065778174025666|1.9905385726286581|1.5304128915687776
Lake County|2000|1.2830378541527486|0.88200908723142418570|1.3659821600909147|1.2231521694030649
Lamar County|2000|0.84838144877129578285|0.77598892009043934052|4.5200951504838694|2.1868669236308593
Marion County|2000|1.0690300455346962|0.82625372213647411777|2.7584574446130159|1.8797148559491321
Mitchell County|2000|3.5308645751663450|1.0903434698873374|2.0427215023939982|1.4371667312399206
Mora County|2000|2.1082647980306591|0.42965137131544321858|1.4421970488558650|0.89178971670168290910
Nicholas County|2000|2.3219850488614765|2.0519377692962750|3.8051374257085845|1.2031775319357406
Oceana County|2000|1.08244124645892351275|0.84587916882671775457|1.1667595145335107|0.93563005298832344292
Pocahontas County|2000|0.92483551839413090732|0.70566772129951924063|1.8973929301768797|1.06289101330484401034
Pottawatomie County|2000|0.43688690461219709324|0.36471981177992229032|3.2919897434860167|2.7784016658133489
Refugio County|2000|0.72402355132189624912|0.54486671022157883846|2.7152057144133521|1.3857208626144780
Santa Cruz County|2000|1.15241706366011010414|1.1178227275523929|2.8317051357082199|1.9894743066797512
Smith County|2000|1.04939013308385846691|0.49640489976248258863|3.9008813226411202|3.7111184042469740
Stanton County|2000|2.3949735712141820|0.95409719344488401539|0.97966694520482159151|0.89424983784323182597
Stark County|2000|2.8019577952928148|1.3403772710831394|2.3035750284736213|0.77797488880433785901
Stone County|2000|0.94734366241415216241|0.84027809584475732057|5.9352352207058392|1.2373672239056334
Tooele County|2000|2.0267788198224392|0.54161349334697722545|1.1747947598369822|0.69582957529686441987
Vernon County|2000|2.2627115222394386|1.6267283366891604|1.7707867807298988|1.2376195583394290
Wabash County|2000|1.11136145715872150050|0.68683552689606080092|2.1801611697586745|1.6121756950999440
Wayne County|2000|2.6380137239623233|0.67514089841786526437|2.9415385372663224|2.4148713928190241
Webster County|2000|0.60400518343536757616|0.58856153863303845600|3.0089161354109051|1.7301875772604154
Wheeler County|2000|1.6105476032335010|0.60596350954178378183|0.81780130795048767380|0.78888979256576366043
Williamson County|2000|1.6147445368445037|0.44387313468829611052|4.0803011484429393|3.3426874944782216
