i_product_name|i_brand|i_class|i_category|qoh
ationbarn station|NULL|NULL|NULL|430.3577235772358
ationbarn station|amalgbrand #8|NULL|NULL|430.3577235772358
ationbarn station|amalgbrand #8|bathroom|NULL|430.3577235772358
ationbarn station|amalgbrand #8|bathroom|Home|430.3577235772358
ationoughtn stn st|NULL|NULL|NULL|435.26506024096386
ationoughtn stn st|edu packimporto #2|NULL|NULL|435.26506024096386
ationoughtn stn st|edu packimporto #2|sports-apparel|NULL|435.26506024096386
ationoughtn stn st|edu packimporto #2|sports-apparel|Men|435.26506024096386
ationationprin st|NULL|NULL|NULL|435.5102880658436
ationationprin st|amalgexporti #2|NULL|NULL|435.5102880658436
ationationprin st|amalgexporti #2|newborn|NULL|435.5102880658436
ationationprin st|amalgexporti #2|newborn|Children|435.5102880658436
oughtcallyn stantiought|NULL|NULL|NULL|436.49402390438246
oughtcallyn stantiought|corpcorp #2|NULL|NULL|436.49402390438246
oughtcallyn stantiought|corpcorp #2|rings|NULL|436.49402390438246
oughtcallyn stantiought|corpcorp #2|rings|Jewelry|436.49402390438246
callyesebaration|NULL|NULL|NULL|437.3943089430894
callyesebaration|namelesscorp #7|NULL|NULL|437.3943089430894
callyesebaration|namelesscorp #7|mens watch|NULL|437.3943089430894
callyesebaration|namelesscorp #7|mens watch|Jewelry|437.3943089430894
n stprieingationought|NULL|NULL|NULL|439.06477732793525
n stprieingationought|namelesscorp #8|NULL|NULL|439.06477732793525
n stprieingationought|namelesscorp #8|mens watch|NULL|439.06477732793525
n stprieingationought|namelesscorp #8|mens watch|Jewelry|439.06477732793525
priationn stn st|NULL|NULL|NULL|439.096
priationn stn st|importoscholar #2|NULL|NULL|439.096
priationn stn st|importoscholar #2|country|NULL|439.096
priationn stn st|importoscholar #2|country|Music|439.096
n stcallyableoughtought|NULL|NULL|NULL|439.71836734693875
n stcallyableoughtought|amalgimporto #2|NULL|NULL|439.71836734693875
n stcallyableoughtought|amalgimporto #2|accessories|NULL|439.71836734693875
n stcallyableoughtought|amalgimporto #2|accessories|Men|439.71836734693875
n stbarought|NULL|NULL|NULL|440.31474103585657
n stbarought|corpbrand #10|NULL|NULL|440.31474103585657
n stbarought|corpbrand #10|rugs|NULL|440.31474103585657
n stbarought|corpbrand #10|rugs|Home|440.31474103585657
n stn stantioughtought|NULL|NULL|NULL|440.92857142857144
n stn stantioughtought|exportimaxi #8|NULL|NULL|440.92857142857144
n stn stantioughtought|exportimaxi #8|computers|NULL|440.92857142857144
n stn stantioughtought|exportimaxi #8|computers|Books|440.92857142857144
n stcallyesepriought|NULL|NULL|NULL|441.54183266932273
n stcallyesepriought|edu packscholar #2|NULL|NULL|441.54183266932273
n stcallyesepriought|edu packscholar #2|classical|NULL|441.54183266932273
n stcallyesepriought|edu packscholar #2|classical|Music|441.54183266932273
priantiationation|NULL|NULL|NULL|441.6707317073171
priantiationation|importoimporto #2|NULL|NULL|441.6707317073171
priantiationation|importoimporto #2|shirts|NULL|441.6707317073171
priantiationation|importoimporto #2|shirts|Men|441.6707317073171
