channel|item|return_ratio|return_rank|currency_rank
catalog|17543|0.5714285714285714|1|1
catalog|14513|0.6354166666666666|2|2
catalog|12577|0.6559139784946236|3|3
catalog|3411|0.7164179104477612|4|4
catalog|361|0.7464788732394366|5|5
catalog|8189|0.7469879518072289|6|6
catalog|8929|0.7625|7|7
catalog|14869|0.7717391304347826|8|8
catalog|9295|0.7789473684210526|9|9
catalog|16215|0.7906976744186046|10|10
store|9471|0.775|1|1
store|9797|0.8|2|2
store|12641|0.8160919540229885|3|3
store|15839|0.8163265306122449|4|4
store|1171|0.8241758241758241|5|5
store|11589|0.826530612244898|6|6
store|6661|0.922077922077922|7|7
store|13013|0.9420289855072463|8|8
store|14925|0.9647058823529412|9|9
store|4063|1.0|10|10
store|9029|1.0|10|10
web|7539|0.59|1|1
web|3337|0.6265060240963856|2|2
web|15597|0.6619718309859155|3|3
web|2915|0.6986301369863014|4|4
web|11933|0.7171717171717171|5|5
web|3305|0.7375|6|16
web|483|0.8|7|6
web|85|0.8571428571428571|8|7
web|97|0.9036144578313253|9|8
web|117|0.925|10|9
web|5299|0.9270833333333334|11|10
