s_acctbal|s_name|n_name|p_partkey|p_mfgr|s_address|s_phone|s_comment
9999.70|Supplier#000239544|UNITED KINGDOM|6739531|Manufacturer#4|1UCMu3TLyUThghoeZ8arg6cV3Mr|33-509-584-9496|y against the pending, final packages. fluffily 
9999.65|Supplier#000143654|FRANCE|2393647|Manufacturer#3|kJjo119CzmTjMWx3wtinBzb1M1TO1IiJZtR1|16-166-504-5864|are quickly along the quickly bold escap
9999.49|Supplier#000615014|GERMANY|12365001|Manufacturer#3|Xo0xcyhnIKUs0WM|17-780-902-4027|pinto beans nag furiously i
9999.28|Supplier#000494480|ROMANIA|17244462|Manufacturer#3|KdpYAP2EDtNA NrNE0CYS7usfwv F|29-756-312-1779|dolites. requests wake. slyly final packa
9998.87|Supplier#000826281|ROMANIA|14326252|Manufacturer#3|gGkEf9qHPHLg8V1aMBf|29-775-451-4774|ly alongside of the instructions. slyly even requests are according to the
9998.56|Supplier#000039514|UNITED KINGDOM|7539499|Manufacturer#2|M6dRVABIGLJAMkC1CGF0ZTiy8BRLeBA|33-317-828-7758|ans cajole except the regular frets. blithely special accounts haggle final fox
9997.89|Supplier#000319666|RUSSIA|19319665|Manufacturer#1|91yNuY s3DmxI5xisgQyK5R|32-972-151-6038|refully regular orbits are furiously along the unusual, bold foxes. 
9997.85|Supplier#000718770|ROMANIA|718769|Manufacturer#1|ZZTXvDgzoKUsBjoBJIm3m7E22BB7W3ddD9q 6 tm|29-663-409-2865|ven, final requests wake dogged, special deposits. 
9997.83|Supplier#000348318|FRANCE|9348317|Manufacturer#4|rwLDwIolqK,QdBH|16-718-707-5676|olites use doggedly according to the carefully even excuses. slyly pending pinto 
9997.73|Supplier#000329974|RUSSIA|4079969|Manufacturer#3|NgyiQOCBzm|32-268-488-7178|ions are furiously regular deposits. blithely special accoun
9997.46|Supplier#000906546|FRANCE|1406543|Manufacturer#2|Re1ZXj7AQ2pkvA4XYA3hSYJC|16-249-122-4511| carefully. furiously special theo
9997.20|Supplier#000487664|FRANCE|2737657|Manufacturer#2|s8Jl8b2F50TmwxdbGpTp|16-714-518-5435|ilent packages against the expre
9997.17|Supplier#000123140|ROMANIA|5373124|Manufacturer#2|dS,AbIeVACEsHukj0oF8EiT5LYNF1otyGduYJC|29-567-411-4572|ffily express pinto beans boost carefully ironic packages. quickly special accounts haggle
9997.06|Supplier#000725417|GERMANY|10225396|Manufacturer#1|,,I9vBX0fMu7H1uTk|17-577-582-2010|furiously sly pinto beans. even deposits haggle. f
9996.45|Supplier#000795554|ROMANIA|14795553|Manufacturer#2|B9nruTrrsz9rTDZ,oxUxfhGK8ofYbw|29-305-384-2702|t the carefully unusual accou
9995.96|Supplier#000566208|FRANCE|9816180|Manufacturer#5|aeDi86Qt0k0C p6r10tABETLyu1PHj0pLht4bRV|16-665-147-8314|c instructions. ironic hocke
9995.96|Supplier#000629520|FRANCE|13129493|Manufacturer#3|HHEMDuFnY6zVhhuKZDSb,0OF04A9|16-785-547-3814|s. furiously final deposits across the expre
9995.93|Supplier#000388258|UNITED KINGDOM|6138251|Manufacturer#2|A6pSStkixOGTXhFX|33-829-188-2160|ve accounts are blithely express, express dependencies.
9995.79|Supplier#000998425|FRANCE|248424|Manufacturer#4|zHCgm,8 DBYFRFBw8bW,EeCDcdeTlYMQr|16-228-926-9937|its sleep slyly express dependencies. pending, regu
9995.42|Supplier#000220794|ROMANIA|12470757|Manufacturer#1|HvuyoaekR55LhTV9IHYg|29-557-942-9023|en dolphins nag against the quickly final ideas. requests against t
9995.35|Supplier#000660115|RUSSIA|14660114|Manufacturer#4|mM1mA1l6GW2PVaOcySqTnPRInZS|32-485-807-8645|s. daringly regular accounts nag furiously carefully regular deposits! furiously regular accounts 
9995.34|Supplier#000190688|UNITED KINGDOM|13440648|Manufacturer#2|C8FJs0TYVwRe0ftT2W5fpyNksmdBznKXV6|33-424-942-1566|. quickly regular packages boost ca
9995.10|Supplier#000885436|UNITED KINGDOM|17885435|Manufacturer#1|16Hsfjgw,RpupKuBUZaMliacWy5nxR jKQN|33-504-226-2765|are according to the regularly
9995.07|Supplier#000490282|ROMANIA|12740245|Manufacturer#4|iKbpRSiMpfq|29-394-304-4131|y bold asymptotes. carefully silent excuses into the even asymptotes s
9994.85|Supplier#000581928|GERMANY|2831921|Manufacturer#1|7Pp58RF3Z2jkFQR5VUW5x65 RmSQSXBNs|17-230-642-6940|inally special accounts. silent requests sleep busily special foxes! regular pa
9994.66|Supplier#000071807|FRANCE|14821792|Manufacturer#5|RM,EOT5XGp8|16-407-922-3032|otes sleep according to the slyly furious package
9994.46|Supplier#000654651|RUSSIA|5404645|Manufacturer#4|7dh,5zQ9,EugeL7c67L8hbFni33Q4|32-280-208-7451|ly outside the blithely even excuses. slyly bold accounts was. bold ideas about the carefully 
9994.15|Supplier#000750884|UNITED KINGDOM|4000871|Manufacturer#3|94Oz NA7SPetmFRGSkKGXmEhpqq74EpUFRSP67W|33-640-820-7791|ely regular packages about the even, regular accounts print fluffily fina
9994.15|Supplier#000750884|UNITED KINGDOM|4250875|Manufacturer#3|94Oz NA7SPetmFRGSkKGXmEhpqq74EpUFRSP67W|33-640-820-7791|ely regular packages about the even, regular accounts print fluffily fina
9994.11|Supplier#000213298|FRANCE|11963286|Manufacturer#5|K11Mh52K4v6NdrkSNw0S|16-813-605-2602|ular instructions must have to sleep pinto beans. special, silent instructions
9993.91|Supplier#000674336|RUSSIA|14924293|Manufacturer#3| 44JCrrbKMvQfysKtEHAZJ0YKt1|32-949-587-4877| special escapades over the special dependencies are special deposits. furiously reg
9993.58|Supplier#000597447|UNITED KINGDOM|9097428|Manufacturer#4|Y3sp,ydmoMl4,LLRab|33-986-148-2564|ily even packages about the quickly bold instructions 
9993.21|Supplier#000935931|UNITED KINGDOM|7935930|Manufacturer#1|0gC91nNqy3hYuD376|33-117-102-3544|nding pinto beans serve carefully unusual platelets. slyly
9993.21|Supplier#000935931|UNITED KINGDOM|11435908|Manufacturer#2|0gC91nNqy3hYuD376|33-117-102-3544|nding pinto beans serve carefully unusual platelets. slyly
9992.71|Supplier#000401090|GERMANY|11401089|Manufacturer#1|xMvpcRI6CWdVNkqWxj5b,BObuCG|17-358-630-1671|haggle furiously. regular instructions solve above the caref
9992.70|Supplier#000245718|UNITED KINGDOM|12745693|Manufacturer#1|UeblzxBRTdV3,|33-570-729-4176|s might sleep bravely at the deposits. slyly ironi
9992.65|Supplier#000611657|UNITED KINGDOM|7611656|Manufacturer#3|DJkPsv5xKLcSFpeah|33-456-959-4171|old pinto beans. final theodolites haggle furiously outside
9991.82|Supplier#000754421|GERMANY|3504417|Manufacturer#2|iKUm74KKkfTyL3|17-908-303-8190|uriously regular requests-- furiously express requests across the final
9991.77|Supplier#000514042|ROMANIA|1014039|Manufacturer#1|enSKTYhPOxyKnBJkE4Aue50Cpont6hI2B9S Dh|29-100-282-1954|ly final patterns outside the express foxes lose furiously along the dogged
9991.03|Supplier#000403268|FRANCE|4403267|Manufacturer#4|IASY0peehSWWDJbkui05LzoOeWOmRnTWt|16-970-984-3812|e the slyly pending packages? regular packages detect around the carefull
9990.81|Supplier#000106044|ROMANIA|7106043|Manufacturer#3|ny2,rr,dO7LucvrXay6t hESu 76T|29-217-664-9441|ght affix? quickly ironic accounts haggle blith
9990.65|Supplier#000661325|RUSSIA|5411319|Manufacturer#4|iAwLTqewXa|32-312-563-2260| the furiously bold deposits: slyly pending packages wake slyly
9990.32|Supplier#000985253|FRANCE|13735239|Manufacturer#1|plp1ox91 mpCFEcvOgRhPU2S0s8srS5BKT6u|16-848-482-4079|nt packages cajole quickly around the carefully regular excuses.
9990.13|Supplier#000138240|FRANCE|1888238|Manufacturer#4|Ecc8YHzfWMyxDNXKC1LkxlHUfJI6FSx0k9iE2mAb|16-206-608-6166|fluffily slyly silent asymptotes. furiously ironic pinto beans are carefully. 
9990.03|Supplier#000081720|UNITED KINGDOM|17581685|Manufacturer#4|SB0zn8EvPFJbFx,nvIcw4j7ZERoy|33-166-373-3036|blithely even warhorses engage. sometimes ironic deposits promise. fl
9989.93|Supplier#000500883|FRANCE|6000870|Manufacturer#1|Bv24cUcSFTj4u605tX1ze|16-736-685-5763| unwind blithely along the even foxes. blithely even instr
9989.46|Supplier#000625093|RUSSIA|15875047|Manufacturer#3|2TsHrlh1jRvkMNXVoZQThv2j|32-291-695-4022| detect against the fluffily thin pinto beans. furious
9988.59|Supplier#000496415|UNITED KINGDOM|10746384|Manufacturer#3|gmzOlvLD7le8|33-577-453-5087| nag fluffily slyly unusual ideas. slyly special foxes above the 
9988.49|Supplier#000436244|RUSSIA|18436243|Manufacturer#5|U1MiqZoF9RbP6rzG0Nq|32-837-886-1052|above the ironic, unusual platelets. ironic packages wake carefu
9988.40|Supplier#000465785|GERMANY|11715751|Manufacturer#1|m7Dur5uzT7x6N|17-981-295-1619|e express courts. regular platelets cajole furiously. slyly brave dependenc
9988.29|Supplier#000273304|ROMANIA|3273303|Manufacturer#4|A5vT71bPG2rXVh0|29-238-280-6619|fluffily regular dependencies detect blithely slyly ironic 
9988.23|Supplier#000834777|ROMANIA|6334764|Manufacturer#2|mTZfJBW1aCv8a1WZYWbIv1gM|29-851-710-7841|hely pending courts boost along the ironic foxes. s
9987.75|Supplier#000424377|FRANCE|13174363|Manufacturer#5|3 LkmDYatAewZEfEs,sot8YpAq4T43thfwQ|16-246-384-2743|arhorses engage carefully during the regular, even requests. foxes through the carefully even foxes
9987.51|Supplier#000020657|ROMANIA|5520646|Manufacturer#5|XBf0Sq7X2xE0ZTakAq Rsq01lutxjWg|29-167-460-7830| unusual requests cajole across the fluffily final requests.
9987.47|Supplier#000193113|UNITED KINGDOM|12443076|Manufacturer#4|nn,xoEei76Q054zfBt04nQz|33-692-317-4143|ions boost carefully carefully special requests. blithely final foxes sleep b
9987.30|Supplier#000355390|UNITED KINGDOM|15605344|Manufacturer#4|eisgtzmQO8ImR,zhd5rk oxPjBZUF56XBv6ZoKFm|33-376-347-5270|final deposits; bold, regular accounts are c
9987.03|Supplier#000170919|UNITED KINGDOM|5170918|Manufacturer#1|UBmLFtq010IQyj8td5|33-830-782-9233| requests. even asymptotes haggle? regular courts promise after the blithely silent multipliers.
9986.90|Supplier#000980301|RUSSIA|14480272|Manufacturer#1|mivUjyWc7uvr|32-748-246-3728|egular deposits haggle blithely. carefully final multipliers boost carefully
9986.56|Supplier#000290709|FRANCE|12790684|Manufacturer#5|oeF0guxAgtj9UIJJ,|16-173-236-8921|fily. slyly regular platelets sleep. bold instructions use quickly a
9985.79|Supplier#000508791|UNITED KINGDOM|13258777|Manufacturer#1|QyE9YL9WXLG|33-814-455-4907|ronic requests. quickly sly packages nag. furiously regular pinto beans 
9985.78|Supplier#000248887|UNITED KINGDOM|12998874|Manufacturer#5|Dz0P3cAbZelkljGDKe3yyV,kZARAsXSIzoTcVxb|33-358-738-5370|ans. bravely unusual packages haggle. blit
9985.77|Supplier#000221145|FRANCE|19971125|Manufacturer#4|S6ZMs gXH6HGx44aTnE0J|16-648-985-3872|bold accounts wake fluffily carefully re
9985.54|Supplier#000147207|GERMANY|9647188|Manufacturer#1|AnAmuPOjKXjpdWG|17-345-679-3036|es sleep enticingly. slyly final instructions h
9985.54|Supplier#000147207|GERMANY|16397158|Manufacturer#2|AnAmuPOjKXjpdWG|17-345-679-3036|es sleep enticingly. slyly final instructions h
9984.95|Supplier#000888199|ROMANIA|5138183|Manufacturer#2|S6MMySs1nWjE3ZqVOiKuq3ZPlDdMj9|29-392-570-4019|s use blithely. instructions cajole blithely blit
