nation|o_year|sum_profit
ALGERIA|1998|2746388473.8032
ALGERIA|1997|4705096214.1934
ALGERIA|1996|4691101028.3880
ALGERIA|1995|4692240612.2209
ALGERIA|1994|4677512644.2049
ALGERIA|1993|4684367583.8281
ALGERIA|1992|4704266160.0314
ARGENTINA|1998|2718513010.8517
ARGENTINA|1997|4646318596.6846
ARGENTINA|1996|4656102598.0412
ARGENTINA|1995|4652753173.2283
ARGENTINA|1994|4645991799.5327
ARGENTINA|1993|4643401137.5627
ARGENTINA|1992|4617848896.7718
BRAZIL|1998|2731140677.1163
BRAZIL|1997|4675931143.5076
BRAZIL|1996|4665397071.9817
BRAZIL|1995|4661653435.2637
BRAZIL|1994|4664829056.3807
BRAZIL|1993|4675246060.5211
BRAZIL|1992|4699378591.6169
CANADA|1998|2737663014.1858
CANADA|1997|4680387035.7293
CANADA|1996|4682077548.1279
CANADA|1995|4683532053.5255
CANADA|1994|4661595473.3244
CANADA|1993|4663422610.2709
CANADA|1992|4693236211.6702
CHINA|1998|2734194369.8060
CHINA|1997|4683510835.7253
CHINA|1996|4694563430.7904
CHINA|1995|4659549932.0340
CHINA|1994|4668649255.3147
CHINA|1993|4653663845.2788
CHINA|1992|4671594192.3921
EGYPT|1998|2730076443.1884
EGYPT|1997|4641217395.7312
EGYPT|1996|4682023903.3341
EGYPT|1995|4656985688.9953
EGYPT|1994|4639974596.4792
EGYPT|1993|4654217487.6341
EGYPT|1992|4655508405.6203
ETHIOPIA|1998|2771891798.5626
ETHIOPIA|1997|4691462902.6513
ETHIOPIA|1996|4699807893.8519
ETHIOPIA|1995|4712019051.0500
ETHIOPIA|1994|4714485895.7143
ETHIOPIA|1993|4673334464.7560
ETHIOPIA|1992|4709982012.2332
FRANCE|1998|2749352687.4774
FRANCE|1997|4691958256.2337
FRANCE|1996|4720197405.4933
FRANCE|1995|4702056754.2862
FRANCE|1994|4701239088.1534
FRANCE|1993|4712310290.5728
FRANCE|1992|4706154746.0950
GERMANY|1998|2767125834.8583
GERMANY|1997|4703923545.6778
GERMANY|1996|4690487560.3747
GERMANY|1995|4686747664.0253
GERMANY|1994|4660352911.1835
GERMANY|1993|4692160055.6115
GERMANY|1992|4691498075.8817
INDIA|1998|2732579085.7320
INDIA|1997|4678477185.9828
INDIA|1996|4673866490.2673
INDIA|1995|4674959076.8220
INDIA|1994|4681827178.3883
INDIA|1993|4643481746.8153
INDIA|1992|4665882504.0580
INDONESIA|1998|2745112789.9308
INDONESIA|1997|4665596134.6372
INDONESIA|1996|4669667677.0694
INDONESIA|1995|4667166725.6425
INDONESIA|1994|4662762228.6715
INDONESIA|1993|4656778134.1717
INDONESIA|1992|4670973296.6516
IRAN|1998|2723216170.3955
IRAN|1997|4609684248.8494
IRAN|1996|4628753160.9335
IRAN|1995|4627120996.2797
IRAN|1994|4608487551.0284
IRAN|1993|4620764336.3543
IRAN|1992|4627902203.8205
IRAQ|1998|2740906684.5899
IRAQ|1997|4666298134.8121
IRAQ|1996|4684322817.7602
IRAQ|1995|4653983196.7067
IRAQ|1994|4683335111.0202
IRAQ|1993|4667160512.2664
IRAQ|1992|4678315491.6055
JAPAN|1998|2724504496.6036
JAPAN|1997|4609764983.8460
JAPAN|1996|4650986737.2104
JAPAN|1995|4663812104.3333
JAPAN|1994|4633301980.7018
JAPAN|1993|4638916610.4736
JAPAN|1992|4656081490.0799
JORDAN|1998|2742880098.5775
JORDAN|1997|4672752862.4339
JORDAN|1996|4667670128.2117
JORDAN|1995|4651272615.6814
JORDAN|1994|4670362946.3448
JORDAN|1993|4673339129.9122
JORDAN|1992|4675813230.0285
KENYA|1998|2717580811.0000
KENYA|1997|4606427219.5743
KENYA|1996|4628365122.1309
KENYA|1995|4611166905.2203
KENYA|1994|4616660205.3054
KENYA|1993|4629037306.5682
KENYA|1992|4635940424.6568
MOROCCO|1998|2728973692.6920
MOROCCO|1997|4677385007.6678
MOROCCO|1996|4691138516.3593
MOROCCO|1995|4672866595.7418
MOROCCO|1994|4679363707.8996
MOROCCO|1993|4657343605.4867
MOROCCO|1992|4673293158.1836
MOZAMBIQUE|1998|2746870372.9866
MOZAMBIQUE|1997|4657797818.0251
MOZAMBIQUE|1996|4680907763.2698
MOZAMBIQUE|1995|4679365111.6934
MOZAMBIQUE|1994|4650089862.9296
MOZAMBIQUE|1993|4674781658.7232
MOZAMBIQUE|1992|4703066893.3666
PERU|1998|2701947354.7482
PERU|1997|4623755865.6737
PERU|1996|4653145387.6256
PERU|1995|4649971644.3930
PERU|1994|4640145803.9750
PERU|1993|4630471111.0602
PERU|1992|4629977353.5552
ROMANIA|1998|2730185251.6769
ROMANIA|1997|4662919818.6774
ROMANIA|1996|4692623447.6039
ROMANIA|1995|4683093538.1776
ROMANIA|1994|4656908200.8979
ROMANIA|1993|4673109064.6419
ROMANIA|1992|4659501236.8597
RUSSIA|1998|2738455915.5436
RUSSIA|1997|4701455238.0605
RUSSIA|1996|4694648504.0344
RUSSIA|1995|4674020866.8064
RUSSIA|1994|4687989534.5975
RUSSIA|1993|4680591337.8529
RUSSIA|1992|4684865871.5704
SAUDI ARABIA|1998|2722192493.2115
SAUDI ARABIA|1997|4646872112.0183
SAUDI ARABIA|1996|4679097125.4999
SAUDI ARABIA|1995|4659365308.2421
SAUDI ARABIA|1994|4668096847.3099
SAUDI ARABIA|1993|4647885741.9225
SAUDI ARABIA|1992|4665645732.0885
UNITED KINGDOM|1998|2757252921.4935
UNITED KINGDOM|1997|4687915843.3827
UNITED KINGDOM|1996|4725596237.9521
UNITED KINGDOM|1995|4692146767.0496
UNITED KINGDOM|1994|4717398081.8118
UNITED KINGDOM|1993|4694183885.2941
UNITED KINGDOM|1992|4722609721.7765
UNITED STATES|1998|2744344335.0383
UNITED STATES|1997|4652698592.5866
UNITED STATES|1996|4670553955.7057
UNITED STATES|1995|4659218769.7598
UNITED STATES|1994|4671044724.0807
UNITED STATES|1993|4680519402.4766
UNITED STATES|1992|4707714157.3208
VIETNAM|1998|2741387136.2468
VIETNAM|1997|4661928954.8541
VIETNAM|1996|4690535970.8003
VIETNAM|1995|4692078285.1287
VIETNAM|1994|4705541885.2493
VIETNAM|1993|4708733491.5609
VIETNAM|1992|4681498238.7580
