wsk1|isk1|dmoy1|mean1|cov1|w_warehouse_sk|i_item_sk|d_moy|mean|cov
1|933|1|495.5|1.1944467726602226|1|933|2|333.0|1.0461260272788528
1|1315|1|309.75|1.2501004277883419|1|1315|2|383.3333333333333|1.232492978235116
1|2299|1|361.6666666666667|1.275027185402353|1|2299|2|183.75|1.5306253463787984
1|2961|1|331.75|1.2560664114466886|1|2961|2|373.0|1.025921445527062
1|3041|1|132.25|1.2117403787103442|1|3041|2|329.0|1.281221416454544
1|3293|1|355.5|1.1899000173251175|1|3293|2|286.5|1.22338278483231
1|3295|1|476.75|1.034121645765283|1|3295|2|336.5|1.1494425239496033
1|4359|1|216.66666666666666|1.463959937370163|1|4359|2|469.5|1.0140973007097231
1|4483|1|348.0|1.1220323030948602|1|4483|2|293.0|1.4840779335989394
1|5121|1|365.5|1.1140023544520201|1|5121|2|287.5|1.0655690635109163
1|5515|1|336.75|1.199890158167069|1|5515|2|384.75|1.0589060464612952
1|5727|1|390.3333333333333|1.3169636106957217|1|5727|2|354.0|1.1888897241602063
1|6189|1|300.75|1.2733060610854652|1|6189|2|443.3333333333333|1.0600215887220081
1|6545|1|212.75|1.413315969827293|1|6545|2|436.25|1.0056105420288215
1|6907|1|401.25|1.0136561681988787|1|6907|2|262.0|1.3503757100169118
1|7747|1|367.75|1.145289965873673|1|7747|2|370.5|1.0414122332372724
1|7969|1|92.33333333333333|1.254651577896501|1|7969|2|298.0|1.0401547892002176
1|9005|1|159.33333333333334|1.1648869206013963|1|9005|2|205.33333333333334|1.244519102135858
1|9121|1|315.0|1.224834698493122|1|9121|2|360.0|1.4876134669868022
1|9223|1|277.5|1.0370899457402696|1|9223|2|326.0|1.0562782959801462
1|9513|1|285.0|1.0869663494677957|1|9513|2|377.0|1.0615184448328003
1|9951|1|321.6666666666667|1.454129361897667|1|9951|2|172.0|1.328485191589496
1|10423|1|305.25|1.0378103133922962|1|10423|2|198.66666666666666|1.531362703934998
1|10815|1|333.25|1.0005672165359412|1|10815|2|204.75|1.5204369501228017
1|10877|1|336.25|1.038502833830653|1|10877|2|323.75|1.097776942348866
1|10961|1|283.75|1.275742935414722|1|10961|2|399.3333333333333|1.1837256350284342
1|11385|1|208.33333333333334|1.2078876768971525|1|11385|2|94.0|1.0678116968023794
1|11735|1|304.25|1.0414253832450684|1|11735|2|322.5|1.1127146652428104
1|12181|1|397.5|1.0151777260334842|1|12181|2|488.25|1.0443197581854384
1|12967|1|392.0|1.0086202625849354|1|12967|2|254.75|1.0691238111426333
1|13317|1|480.75|1.0034446921591191|1|13317|2|205.5|1.1201484224701699
1|13479|1|309.75|1.3453637741645932|1|13479|2|258.25|1.256578119025386
1|14257|1|331.5|1.112803299554868|1|14257|2|372.75|1.047348789914308
1|14317|1|376.25|1.0416036363899033|1|14317|2|355.0|1.293770648750826
1|14371|1|394.0|1.3053213376332518|1|14371|2|324.5|1.2356473951827922
1|15709|1|529.0|1.0185545694974465|1|15709|2|327.0|1.027034372466798
1|15897|1|157.0|1.189020319956997|1|15897|2|391.25|1.0512166748408642
1|16325|1|176.66666666666666|1.1162478470138146|1|16325|2|362.0|1.0625584468046352
1|16983|1|321.0|1.14450549401612|1|16983|2|303.0|1.009237470503732
1|18381|1|228.66666666666666|1.0489642365788747|1|18381|2|169.0|1.322164158905024
1|18397|1|318.25|1.2254553816556308|1|18397|2|373.5|1.0402436252869136
1|18555|1|274.6666666666667|1.3130254761891291|1|18555|2|175.0|1.142266514048121
1|19247|1|181.25|1.222691520418073|1|19247|2|327.0|1.1231224263522808
1|20263|1|259.25|1.0780961317630435|1|20263|2|322.75|1.1858377235458837
1|20383|1|287.25|1.0052240671016954|1|20383|2|308.25|1.3508592035589746
1|20907|1|254.0|1.2686148819746037|1|20907|2|409.5|1.0130837776928692
1|21003|1|358.3333333333333|1.0133320049709966|1|21003|2|230.25|1.511518688631921
1|21463|1|391.5|1.14565865032381|1|21463|2|307.0|1.0124827891287123
1|21655|1|79.66666666666667|1.2539952084331945|1|21655|2|294.0|1.2254248130797145
1|22347|1|316.3333333333333|1.0924131222897315|1|22347|2|338.75|1.0612245033339127
1|23215|1|346.0|1.056533978220186|1|23215|2|399.6666666666667|1.1690397301857278
1|23335|1|242.0|1.1775820359161921|1|23335|2|245.75|1.0354933615542659
1|23355|1|455.3333333333333|1.0017008980084376|1|23355|2|264.5|1.1958888812317612
1|24109|1|97.75|1.4110819110671076|1|24109|2|296.0|1.3863074581920523
1|24775|1|307.75|1.4775723833309622|1|24775|2|370.6666666666667|1.2142365929245924
1|25813|1|390.75|1.1203629276959333|1|25813|2|275.5|1.0663746041480886
1|26293|1|302.75|1.415297538612598|1|26293|2|281.3333333333333|1.202500987585121
1|26563|1|265.0|1.038181722394902|1|26563|2|189.5|1.5647157305550756
1|26879|1|336.75|1.3124800528771037|1|26879|2|428.25|1.0370534353384018
1|27033|1|403.0|1.221247083785848|1|27033|2|346.5|1.1215169610288247
1|28029|1|125.75|1.090601776244379|1|28029|2|290.5|1.4360971064499886
1|28403|1|394.75|1.0368827852806644|1|28403|2|324.75|1.004196576889449
1|28505|1|155.75|1.1302151558626508|1|28505|2|259.25|1.0058822250554227
1|28683|1|370.0|1.070703570492597|1|28683|2|183.33333333333334|1.2463407596866107
1|28743|1|277.5|1.0083846201945703|1|28743|2|434.0|1.0029986823306714
1|29279|1|385.25|1.0516581679007997|1|29279|2|316.0|1.145691999897191
1|29947|1|397.6666666666667|1.1125366238897667|1|29947|2|250.25|1.394425524659938
1|31459|1|371.0|1.0713700843518832|1|31459|2|311.5|1.2147380140071884
1|31533|1|347.75|1.2303960030813612|1|31533|2|431.6666666666667|1.016221203822946
1|32081|1|358.6666666666667|1.0857305960305685|1|32081|2|425.0|1.0471302024579627
1|32105|1|330.75|1.2064246634871094|1|32105|2|329.25|1.1906217872403293
1|32255|1|333.75|1.207480413707526|1|32255|2|363.75|1.0059661501257606
1|32707|1|240.66666666666666|1.1184337023203408|1|32707|2|370.3333333333333|1.2354446079904389
1|33903|1|348.25|1.0763221344372444|1|33903|2|155.5|1.0691693052447158
1|35391|1|139.0|1.140440949246603|1|35391|2|397.5|1.0380592850898798
1|36617|1|36.5|1.1429945230138714|1|36617|2|268.0|1.5528157414238473
1|36865|1|182.25|1.1248006509531454|1|36865|2|351.75|1.0057067010077954
1|38385|1|164.33333333333334|1.3124892180322572|1|38385|2|223.75|1.3988820866128757
1|38519|1|383.3333333333333|1.3172914297053053|1|38519|2|355.5|1.003817480345535
1|38877|1|257.6666666666667|1.1640512897248319|1|38877|2|221.75|1.5683383299634779
1|39147|1|218.0|1.3273562829568413|1|39147|2|355.75|1.223634128643298
1|39289|1|382.6666666666667|1.0503059391296914|1|39289|2|301.5|1.0900136421606272
1|39309|1|315.25|1.18140034862849|1|39309|2|250.0|1.3497851680915744
1|39501|1|474.3333333333333|1.0051208953828974|1|39501|2|344.75|1.2444811210819446
1|39685|1|309.25|1.0202033530957222|1|39685|2|412.25|1.021779646336591
1|40761|1|436.5|1.058365522637917|1|40761|2|455.0|1.1071092715254138
1|41701|1|350.6666666666667|1.4528658413937645|1|41701|2|325.0|1.0473869052974454
1|41775|1|453.6666666666667|1.0430335021605304|1|41775|2|328.75|1.252521424832869
1|41845|1|391.25|1.1054864649792098|1|41845|2|367.6666666666667|1.3041820250824236
1|42519|1|327.0|1.0163093766517433|1|42519|2|325.0|1.1675480468976835
1|42869|1|361.25|1.1214122358495515|1|42869|2|319.25|1.017798504023057
1|42943|1|248.75|1.0049092060452367|1|42943|2|194.25|1.0706974108592702
1|43269|1|320.5|1.1303568116649734|1|43269|2|404.6666666666667|1.076092492390029
1|43897|1|154.25|1.0685634895905778|1|43897|2|494.25|1.0057904075467299
1|43975|1|387.25|1.0693270728151119|1|43975|2|309.6666666666667|1.1702709123248667
1|44155|1|271.75|1.0281018563845263|1|44155|2|409.0|1.240139159221742
1|45615|1|415.6666666666667|1.1851857162496358|1|45615|2|441.0|1.0980607093342243
1|45989|1|338.3333333333333|1.3466592841711844|1|45989|2|329.0|1.0995732178642628
1|46151|1|355.75|1.0334290261380428|1|46151|2|387.0|1.04388287569963
1|46351|1|274.6666666666667|1.0465781874927371|1|46351|2|206.75|1.1838530530747169
