prev_year|year_|i_brand_id|i_class_id|i_category_id|i_manufact_id|prev_yr_cnt|curr_yr_cnt|sales_cnt_diff|sales_amt_diff
2001|2002|3001001|1|9|173|138539|42621|-95918|-4291988.06
2001|2002|3002001|2|9|174|92654|45121|-47533|-2270907.90
2001|2002|5003001|3|9|452|94667|47581|-47086|-1976079.23
2001|2002|4001001|1|9|259|88750|42160|-46590|-2057719.73
2001|2002|4003001|3|9|21|88062|41726|-46336|-2143105.67
2001|2002|4003001|3|9|120|90721|45259|-45462|-2048448.93
2001|2002|2002001|2|9|608|90402|44986|-45416|-2081446.96
2001|2002|1004001|4|9|228|89224|45941|-43283|-1905409.69
2001|2002|4002001|2|9|263|88167|46949|-41218|-1771638.63
2001|2002|3003001|3|9|590|85411|46054|-39357|-1708644.11
2001|2002|9013002|13|9|461|51213|43731|-7482|-415884.46
2001|2002|9014008|14|9|55|48011|40735|-7276|-345172.11
2001|2002|9016008|16|9|321|45933|38744|-7189|-371293.73
2001|2002|9014002|14|9|221|50894|43779|-7115|-352823.11
2001|2002|8013005|13|9|490|48591|41609|-6982|-345262.50
2001|2002|9005008|5|9|316|47104|40159|-6945|-503040.87
2001|2002|2004001|4|9|100|48195|41305|-6890|-316310.46
2001|2002|9012002|12|9|562|48567|41756|-6811|-411082.78
2001|2002|9002004|2|9|79|51393|45016|-6377|-136029.10
2001|2002|9007004|7|9|110|48192|41878|-6314|-328604.07
2001|2002|9004002|4|9|205|47985|41671|-6314|-326778.03
2001|2002|9011010|1|9|491|47841|41537|-6304|-258212.44
2001|2002|4003001|3|9|37|46767|40467|-6300|-369649.01
2001|2002|9009008|9|9|354|49197|42971|-6226|-81199.71
2001|2002|5004001|4|9|308|49692|43484|-6208|-269428.87
2001|2002|6013003|2|9|233|48440|42274|-6166|-165790.23
2001|2002|9015002|15|9|883|48110|42014|-6096|-241974.07
2001|2002|9004004|1|9|757|48434|42392|-6042|-83370.05
2001|2002|9008002|8|9|214|48026|41992|-6034|-141650.03
2001|2002|9010004|1|9|366|47176|41182|-5994|-209741.25
2001|2002|9004002|4|9|273|48175|42197|-5978|-299244.86
2001|2002|9013008|13|9|651|47443|41527|-5916|-167100.34
2001|2002|9016002|16|9|235|48263|42361|-5902|-194279.65
2001|2002|9003002|3|9|501|48974|43079|-5895|-323040.69
2001|2002|9005004|4|9|799|48480|42616|-5864|-257759.59
2001|2002|4003001|3|9|444|49868|44012|-5856|-151377.84
2001|2002|9006002|6|9|661|48426|42572|-5854|-154418.92
2001|2002|9001004|1|9|306|49564|43714|-5850|-101049.95
2001|2002|10008016|5|9|663|46104|40275|-5829|-324000.29
2001|2002|9015010|13|9|981|47138|41355|-5783|-226496.82
2001|2002|9013008|13|9|871|47558|41817|-5741|-392802.04
2001|2002|9014008|14|9|261|49129|43411|-5718|-312632.42
2001|2002|9005010|5|9|298|46901|41213|-5688|-140679.01
2001|2002|10013001|13|9|521|48772|43089|-5683|-107044.93
2001|2002|9016002|16|9|74|47069|41393|-5676|-102927.18
2001|2002|9015002|15|9|979|47761|42087|-5674|-328955.29
2001|2002|9016004|6|9|15|48281|42607|-5674|-258093.88
2001|2002|9005008|5|9|68|47522|41854|-5668|-145168.43
2001|2002|9012004|12|9|238|48145|42499|-5646|-248499.05
2001|2002|9012004|3|9|176|49196|43559|-5637|-233077.05
2001|2002|9016010|16|9|231|47882|42255|-5627|-198157.06
2001|2002|9007008|7|9|966|49673|44068|-5605|-448745.44
2001|2002|9012008|12|9|230|47826|42222|-5604|-251377.67
2001|2002|9016004|1|9|223|47869|42283|-5586|-222138.48
2001|2002|6001003|1|9|226|49172|43589|-5583|-108722.04
2001|2002|9009002|9|9|172|46818|41263|-5555|-182361.51
2001|2002|9012004|8|9|306|49029|43482|-5547|-357400.84
2001|2002|9009010|9|9|81|48683|43140|-5543|-312438.51
2001|2002|9009002|9|9|242|45512|39971|-5541|-277950.98
2001|2002|2003001|3|9|313|48083|42543|-5540|-254892.23
2001|2002|4004001|7|9|992|50529|45012|-5517|-308018.75
2001|2002|9008010|8|9|43|49274|43762|-5512|-336648.51
2001|2002|9015002|15|9|347|50539|45051|-5488|-292192.80
2001|2002|7014005|16|9|125|50003|44518|-5485|-436105.99
2001|2002|9004002|4|9|340|48592|43113|-5479|-441887.25
2001|2002|9004002|4|9|303|48097|42638|-5459|-264089.54
2001|2002|9007002|7|9|580|48865|43406|-5459|-224386.08
2001|2002|9011008|11|9|12|49240|43786|-5454|-455669.13
2001|2002|9003002|3|9|292|47619|42175|-5444|-300958.99
2001|2002|10010001|10|9|135|45845|40422|-5423|-86680.39
2001|2002|9012008|12|9|630|51184|45812|-5372|-159188.32
2001|2002|9002003|13|9|991|49829|44463|-5366|-312470.30
2001|2002|5004001|1|9|209|49107|43754|-5353|-179054.98
2001|2002|9010004|3|9|948|47519|42198|-5321|-257462.84
2001|2002|8001003|13|9|20|49668|44357|-5311|-313532.85
2001|2002|9008004|1|9|595|50559|45251|-5308|-219450.96
2001|2002|1003001|9|9|64|47923|42643|-5280|-150962.03
2001|2002|4003001|3|9|79|48144|42880|-5264|-268125.15
2001|2002|9005002|5|9|395|48390|43138|-5252|-218811.82
2001|2002|9014004|8|9|470|47981|42745|-5236|-198829.71
2001|2002|9005008|5|9|168|48738|43539|-5199|-76875.95
2001|2002|2001001|1|9|11|48012|42815|-5197|-328903.88
2001|2002|9005010|2|9|287|46221|41026|-5195|2681.41
2001|2002|9013002|13|9|137|47308|42124|-5184|-367419.41
2001|2002|9011004|2|9|470|44423|39246|-5177|-235327.16
2001|2002|9008010|4|9|312|49384|44210|-5174|-372989.79
2001|2002|9006010|1|9|240|47560|42389|-5171|-151374.05
2001|2002|9011008|11|9|310|47521|42364|-5157|-198445.56
2001|2002|9001002|1|9|111|46799|41643|-5156|-113559.55
2001|2002|9003010|3|9|414|47510|42355|-5155|-236159.48
2001|2002|9001008|1|9|302|48026|42874|-5152|-367093.45
2001|2002|9014002|14|9|60|48482|43338|-5144|-78430.29
2001|2002|2004001|4|9|27|47712|42577|-5135|-433063.79
2001|2002|9007008|7|9|594|46363|41250|-5113|-320081.52
2001|2002|9007003|7|9|558|49353|44245|-5108|40570.09
2001|2002|7006007|6|9|267|49575|44479|-5096|-243179.11
2001|2002|9007002|7|9|581|46772|41681|-5091|-355094.05
2001|2002|5004001|16|9|418|47733|42654|-5079|-243614.30
2001|2002|9014008|14|9|655|46648|41579|-5069|-235263.89
2001|2002|9016004|3|9|103|48773|43731|-5042|-193273.04
