channel|item|return_ratio|return_rank|currency_rank
catalog|23543|0.0|1|3
catalog|140373|0.0|1|287
catalog|31125|0.0|1|294
catalog|3191|0.0|1|383
catalog|102251|0.0|1|510
catalog|167347|0.0|1|554
catalog|197017|0.0|1|635
catalog|31255|0.0|1|717
catalog|148313|0.0|1|978
catalog|73615|0.0|1|1068
catalog|70331|0.0|1|1193
catalog|63785|0.0|1|1339
catalog|152219|0.0|1|1339
catalog|104185|0.0|1|1346
catalog|171025|0.0|1|1361
catalog|153903|0.0|1|1434
catalog|68955|0.0|1|1455
catalog|58371|0.0|1|1814
catalog|152697|0.0|1|1850
catalog|163673|0.0|1|1926
catalog|31231|0.0|1|1972
catalog|49875|0.0|1|2280
catalog|33761|0.0|1|2529
catalog|61109|0.0|1|2588
catalog|27855|0.0|1|2601
catalog|7741|0.0|1|2705
catalog|107109|0.0|1|2770
catalog|187173|0.0|1|3072
catalog|175909|0.0|1|3115
catalog|154417|0.0|1|3326
catalog|173357|0.0|1|3338
catalog|64331|0.0|1|3359
catalog|70623|0.0|1|3447
catalog|44819|0.0|1|3467
catalog|102215|0.0|1|3545
catalog|172979|0.45|39|1
catalog|38901|0.45054945054945056|40|2
catalog|82531|0.46153846153846156|41|4
catalog|16485|0.4673913043478261|42|5
catalog|132457|0.46938775510204084|43|6
catalog|3941|0.4731182795698925|44|7
catalog|109143|0.47368421052631576|45|8
catalog|13357|0.47474747474747475|46|9
catalog|129837|0.47474747474747475|46|9
store|45585|0.0|1|47
store|149721|0.0|1|93
store|130573|0.0|1|118
store|132789|0.0|1|151
store|103277|0.0|1|179
store|70439|0.0|1|189
store|108849|0.0|1|243
store|106875|0.0|1|341
store|112007|0.0|1|394
store|127201|0.0|1|550
store|151677|0.0|1|583
store|166347|0.0|1|845
store|110613|0.0|1|926
store|154411|0.0|1|940
store|120379|0.0|1|996
store|155513|0.0|1|1017
store|91403|0.0|1|1026
store|172639|0.0|1|1031
store|110631|0.0|1|1055
store|44805|0.0|1|1062
store|147831|0.0|1|1127
store|162061|0.0|1|1155
store|151297|0.0|1|1277
store|104263|0.0|1|1307
store|99425|0.58|25|1
store|125879|0.6129032258064516|27|2
store|60163|0.6161616161616161|28|3
store|683|0.6236559139784946|29|4
store|93445|0.6363636363636364|31|5
store|133007|0.6391752577319587|32|6
store|127091|0.64|33|7
store|23227|0.6451612903225806|34|8
store|135571|0.6464646464646465|35|9
store|3821|0.6494845360824743|36|10
web|80261|0.0|1|3
web|13899|0.0|1|41
web|145765|0.0|1|159
web|41295|0.0|1|180
web|102749|0.0|1|199
web|189999|0.0|1|212
web|174199|0.0|1|316
web|92479|0.0|1|350
web|110569|0.0|1|377
web|127129|0.0|1|411
web|72083|0.0|1|419
web|101963|0.0|1|466
web|37107|0.0|1|608
web|26395|0.0|1|644
web|21741|0.0|1|695
web|145483|0.0|1|720
web|72379|0.0|1|782
web|26995|0.0|1|784
web|173095|0.0|1|799
web|78391|0.0|1|806
web|198191|0.0|1|894
web|130395|0.0|1|925
