i_category|i_class|i_brand|s_store_name|s_company_name|d_moy|sum_sales|avg_monthly_sales
Women|dresses|amalgamalg #1|able|Unknown|2|193311.66|374524.72833333333
Women|dresses|amalgamalg #1|bar|Unknown|2|196139.08|372954.67583333334
Men|shirts|importoimporto #1|eing|Unknown|2|186629.75|363196.5183333333
Men|shirts|importoimporto #1|bar|Unknown|2|194376.20|366631.8475
Women|dresses|amalgamalg #1|eing|Unknown|2|202262.71|373189.18583333335
Women|dresses|amalgamalg #1|ese|Unknown|2|188697.00|358121.1975
Men|shirts|importoimporto #1|able|Unknown|2|197792.68|364935.63666666666
Women|dresses|amalgamalg #1|able|Unknown|4|209921.18|374524.72833333333
Women|dresses|amalgamalg #1|bar|Unknown|4|208505.26|372954.67583333334
Men|shirts|importoimporto #1|eing|Unknown|4|199871.01|363196.5183333333
Women|dresses|amalgamalg #1|eing|Unknown|3|210203.65|373189.18583333335
Women|dresses|amalgamalg #1|able|Unknown|6|211966.24|374524.72833333333
Women|dresses|amalgamalg #1|eing|Unknown|4|211192.52|373189.18583333335
Men|shirts|importoimporto #1|bar|Unknown|4|204850.65|366631.8475
Men|shirts|importoimporto #1|ese|Unknown|2|189590.19|351348.0325
Women|dresses|amalgamalg #1|eing|Unknown|6|211609.10|373189.18583333335
Women|dresses|amalgamalg #1|able|Unknown|5|213941.16|374524.72833333333
Women|dresses|amalgamalg #1|cally|Unknown|2|181628.73|341984.9375
Women|dresses|amalgamalg #1|bar|Unknown|6|213472.74|372954.67583333334
Women|dresses|amalgamalg #1|ese|Unknown|6|199467.94|358121.1975
Men|shirts|importoimporto #1|able|Unknown|5|206400.99|364935.63666666666
Men|shirts|importoimporto #1|bar|Unknown|6|208633.40|366631.8475
Men|shirts|importoimporto #1|eing|Unknown|3|206083.53|363196.5183333333
Men|shirts|importoimporto #1|ese|Unknown|6|194529.65|351348.0325
Women|dresses|amalgamalg #1|able|Unknown|7|218090.20|374524.72833333333
Women|dresses|amalgamalg #1|bar|Unknown|3|216985.01|372954.67583333334
Men|shirts|importoimporto #1|able|Unknown|6|209313.50|364935.63666666666
