d_year|brand_id|brand|sum_agg
1998|2001001|amalgimporto #1|1339035.35
1998|3003001|exportiexporti #1|1072204.52
1998|1004001|edu packamalg #1|988159.41
1998|5001001|amalgscholar #1|917704.20
1998|3004001|edu packexporti #1|886708.45
1998|5003001|exportischolar #1|871115.70
1998|3002001|importoexporti #1|804516.52
1998|4004001|edu packedu pack #1|583464.81
1998|2002001|importoimporto #1|501574.24
1998|4002001|importoedu pack #1|472341.86
1998|2004001|edu packimporto #1|467519.84
1998|1003001|exportiamalg #1|463244.90
1998|5002002|importoscholar #2|456491.28
1998|5002001|importoscholar #1|455276.67
1998|2002002|importoimporto #2|447089.27
1998|6006007|corpcorp #7|380267.58
1998|2004002|edu packimporto #2|373399.31
1998|9009003|maximaxi #3|363080.71
1998|9009005|maximaxi #5|360334.67
1998|3001002|amalgexporti #2|351864.82
1998|3001001|amalgexporti #1|342802.60
1998|1004002|edu packamalg #2|338920.78
1998|4004002|edu packedu pack #2|331848.52
1998|5004001|edu packscholar #1|328501.82
1998|5003002|exportischolar #2|325689.52
1998|2003002|exportiimporto #2|316204.25
1998|1001001|amalgamalg #1|316048.15
1998|4003002|exportiedu pack #2|314237.18
1998|6003004|exporticorp #4|288521.07
1998|1003002|exportiamalg #2|280000.71
1998|9004003|edu packmaxi #3|278138.70
1998|4003001|exportiedu pack #1|271442.94
1998|10001002|amalgunivamalg #2|214438.01
1998|3002002|importoexporti #2|209082.85
1998|10010006|univamalgamalg #6|207503.46
1998|8012004|importomaxi #4|204254.28
1998|6006003|corpcorp #3|203333.02
1998|8007005|brandnameless #5|198899.48
1998|6010002|univbrand #2|198714.55
1998|10007010|brandunivamalg #10|197322.72
1998|10001011|amalgunivamalg #11|195643.45
1998|10012015|importoamalgamalg #15|194905.55
1998|2003001|exportiimporto #1|194572.38
1998|9012002|importounivamalg #2|193926.02
1998|6016004|corpbrand #4|190977.40
1998|9007003|brandmaxi #3|189752.42
1998|7003002|exportibrand #2|188970.05
1998|7008001|namelessbrand #1|186420.59
1998|10007004|brandunivamalg #4|186090.42
1998|6003007|exporticorp #7|185659.76
1998|10006004|corpunivamalg #4|185323.48
1998|6008003|namelesscorp #3|184749.43
1998|6015001|scholarbrand #1|181875.64
1998|7004007|edu packbrand #7|181634.59
1998|10016004|corpamalgamalg #4|180031.51
1998|6011001|amalgbrand #1|179791.24
1998|7013005|exportinameless #5|177581.47
1998|7016005|corpnameless #5|177331.93
1998|10004011|edu packunivamalg #11|177212.57
1998|10011007|amalgamalgamalg #7|176765.79
1998|10014015|edu packamalgamalg #15|172627.26
1998|8015003|scholarmaxi #3|172295.19
1998|8011009|amalgmaxi #9|172133.92
1998|6010003|univbrand #3|171568.31
1998|6014001|edu packbrand #1|171458.20
1998|7008005|namelessbrand #5|171403.53
1998|8009009|maxinameless #9|170921.28
1998|10010014|univamalgamalg #14|169701.36
1998|3003002|exportiexporti #2|169204.76
1998|4002002|importoedu pack #2|168674.52
1998|8005003|scholarnameless #3|168273.85
1998|7014007|edu packnameless #7|164781.68
1998|7008002|namelessbrand #2|163871.69
1998|6001006|amalgcorp #6|162140.79
1998|9005009|scholarmaxi #9|161701.27
1998|6004008|edu packcorp #8|161583.57
1998|7009008|maxibrand #8|161184.92
1998|6009002|maxicorp #2|160627.07
1998|8013008|exportimaxi #8|160325.33
1998|10003017|exportiunivamalg #17|160310.52
1998|8002002|importonameless #2|160254.22
1998|10010007|univamalgamalg #7|160147.25
1998|7003009|exportibrand #9|159984.15
1998|8016003|corpmaxi #3|156992.67
1998|6015008|scholarbrand #8|155399.97
1998|10003008|exportiunivamalg #8|151915.26
1998|8001009|amalgnameless #9|151647.15
1998|9001005|amalgmaxi #5|150409.52
1998|10007014|brandunivamalg #14|148028.38
1998|1001002|amalgamalg #2|147140.70
1998|8009007|maxinameless #7|146430.43
1998|6012005|importobrand #5|145531.16
1998|9007009|brandmaxi #9|141949.86
1998|6006001|corpcorp #1|141796.19
1998|7007010|brandbrand #10|140750.56
1998|8013001|exportimaxi #1|139267.32
1998|8012009|importomaxi #9|136215.25
1998|10001013|amalgunivamalg #13|135814.61
1998|8002005|importonameless #5|134297.53
1998|8013003|exportimaxi #3|134250.61
