ss_sold_year|ss_item_sk|ss_customer_sk|ratio|store_qty|store_wholesale_cost|store_sales_price|other_chan_qty|other_chan_wholesale_cost|other_chan_sales_price
2000|38|204135|0.76|39|1.38|0.87|51|35.33|3.20
2000|53|995402|1.14|72|10.00|5.14|63|46.63|80.95
2000|55|809400|0.43|42|37.71|14.68|98|45.31|7.43
2000|101|880844|0.47|42|3.77|3.48|89|70.02|27.44
2000|104|1105339|NULL|NULL|NULL|NULL|76|8.86|8.71
2000|119|354692|0.47|45|99.59|117.26|95|88.75|17.67
2000|131|1737781|0.78|40|81.76|31.68|51|23.54|55.67
2000|143|748062|5.56|50|46.34|2.42|9|36.00|12.10
2000|149|1910603|0.45|37|34.17|58.26|83|39.56|31.61
2000|323|1824054|2.17|63|75.63|40.83|29|1.72|2.17
2000|359|612624|0.89|73|77.01|50.00|82|45.41|38.21
2000|362|776801|1.03|66|26.40|33.56|64|60.55|30.46
2000|371|941274|0.38|19|18.89|18.69|50|50.77|33.56
2000|374|1506427|24.5|98|18.29|17.52|4|38.06|22.99
2000|386|855465|0.4|25|62.53|15.23|63|59.84|40.71
2000|392|639566|2.0|92|82.87|57.47|46|49.37|16.45
2000|433|1720688|0.2|18|22.75|7.57|88|23.78|42.46
2000|434|1064383|0.38|31|79.83|10.58|82|62.88|83.87
2000|479|1087204|2.75|22|6.13|6.19|8|40.18|8.19
2000|479|1504595|0.37|36|68.76|1.18|97|54.32|121.23
2000|511|850200|0.33|7|21.80|5.50|21|25.93|12.99
2000|515|1515975|1.63|78|19.53|3.05|48|52.42|79.32
2000|533|1012455|1.48|37|39.28|48.07|25|69.45|9.91
2000|565|279724|0.43|16|76.72|84.29|37|28.18|6.26
2000|572|1500054|0.55|44|31.70|13.44|80|27.74|17.47
2000|611|1474912|1.1|80|72.43|96.69|73|38.94|12.17
2000|653|586643|0.67|36|40.73|40.76|54|50.33|44.15
2000|679|1893038|5.39|97|17.02|24.99|18|2.77|4.31
2000|686|919622|1.5|45|12.90|3.99|30|56.53|38.03
2000|722|1329174|0.92|78|97.84|73.18|85|80.15|78.93
2000|743|521344|0.94|92|63.73|4.81|98|71.54|68.22
2000|751|534388|0.44|16|19.78|12.00|36|50.40|1.72
2000|800|492960|0.38|21|49.20|0.63|55|6.99|7.80
2000|806|1891046|2.06|74|16.29|20.00|36|80.33|82.91
2000|818|1642747|0.23|5|87.09|108.20|22|82.20|53.85
2000|836|1408110|1.2|6|35.22|26.85|5|96.09|0.00
2000|847|383049|4.21|80|19.31|19.92|19|41.99|16.06
2000|860|1894338|2.39|67|47.48|17.94|28|19.96|5.91
2000|866|415230|1.05|81|54.73|10.97|77|44.97|60.86
2000|869|133811|6.53|98|27.25|35.94|15|75.28|18.38
2000|895|1907769|0.88|57|24.92|26.57|65|96.18|94.89
2000|907|510603|0.85|33|45.62|47.73|39|71.86|30.26
