i_category|i_brand|cc_name|d_year|d_moy|avg_monthly_sales|sum_sales|psum|nsum
Children|amalgexporti #1|Mid Atlantic_1|1999|2|135537.77916666667|65221.42|75448.19|76121.41
Shoes|amalgedu pack #1|North Midwest_1|1999|2|136239.73666666666|66050.22|79747.45|75346.44
Men|edu packimporto #1|NY Metro_2|1999|2|140934.13583333333|72120.68|83319.36|79872.10
Men|edu packimporto #1|North Midwest|1999|3|140246.03083333332|71824.23|75248.12|83287.86
Children|amalgexporti #1|Pacific Northwest_1|1999|2|133820.31583333333|65974.75|86417.88|81230.84
Music|amalgscholar #1|Hawaii/Alaska|1999|2|136794.60833333334|69184.32|80229.37|78081.60
Men|edu packimporto #1|North Midwest_1|1999|2|138617.19666666666|71179.94|79212.96|79332.79
Men|amalgimporto #1|North Midwest_1|1999|2|133749.19666666666|66785.88|75959.72|76307.68
Men|edu packimporto #1|Mid Atlantic_1|1999|2|139167.53333333333|72243.44|82023.20|76281.82
Men|edu packimporto #1|NY Metro_1|1999|5|141394.5325|74500.90|78486.65|83431.09
Shoes|amalgedu pack #1|Mid Atlantic_1|1999|2|136157.47333333333|69312.64|82202.27|72664.55
Women|exportiamalg #1|California_1|1999|2|137913.45166666666|71186.62|88420.89|80198.13
Music|amalgscholar #1|Mid Atlantic_2|1999|6|135180.195|68529.30|76814.21|79121.60
Men|edu packimporto #1|California|1999|2|138722.61333333334|72105.39|83217.47|81633.27
Men|edu packimporto #1|Hawaii/Alaska|1999|2|140397.84166666667|73987.49|83388.79|80891.61
Music|amalgscholar #1|California|1999|2|134524.02333333335|68187.06|85390.76|77273.83
Music|amalgscholar #1|Mid Atlantic|1999|2|136434.25|70147.57|81662.91|72975.11
Men|edu packimporto #1|Mid Atlantic|1999|1|141125.72416666665|74881.13|275366.33|76041.44
Music|amalgscholar #1|North Midwest|1999|2|135242.76416666666|69046.77|78865.54|78597.32
Men|edu packimporto #1|California_1|1999|2|140501.97166666668|74354.23|83083.90|85995.91
Music|amalgscholar #1|NY Metro_2|1999|2|134961.88|68932.17|84700.85|78001.10
Music|amalgscholar #1|Hawaii/Alaska_1|1999|2|135811.1275|69817.71|79550.41|79031.70
Shoes|amalgedu pack #1|North Midwest|1999|2|135001.12833333333|69098.23|75034.60|72138.63
Shoes|amalgedu pack #1|Mid Atlantic|1999|2|136004.27916666667|70124.37|80783.67|75007.96
Music|importoscholar #1|NY Metro|1999|2|134319.15833333333|68447.37|79555.29|74244.37
