w_warehouse_name|w_warehouse_sq_ft|w_city|w_county|w_state|w_country|ship_carriers|year_|jan_sales|feb_sales|mar_sales|apr_sales|may_sales|jun_sales|jul_sales|aug_sales|sep_sales|oct_sales|nov_sales|dec_sales|jan_sales_per_sq_foot|feb_sales_per_sq_foot|mar_sales_per_sq_foot|apr_sales_per_sq_foot|may_sales_per_sq_foot|jun_sales_per_sq_foot|jul_sales_per_sq_foot|aug_sales_per_sq_foot|sep_sales_per_sq_foot|oct_sales_per_sq_foot|nov_sales_per_sq_foot|dec_sales_per_sq_foot|jan_net|feb_net|mar_net|apr_net|may_net|jun_net|jul_net|aug_net|sep_net|oct_net|nov_net|dec_net
NULL|NULL|Riverside|Luce County|MI|United States|DHL,BARIAN|2001|353553571.57|282841152.89|288241702.01|327059728.68|316696433.40|302385247.32|311645869.15|698209308.44|712555336.17|716210437.59|1028273321.76|1063307590.90|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|898651054.57|783412534.39|765802666.88|843365786.86|829991494.28|842320631.39|800393484.11|1877175534.31|1931342685.23|1948070221.48|2848216670.92|2911544021.17
Bad cards must make.|621234|Oakland|Richland County|OH|United States|DHL,BARIAN|2001|337242452.09|308552421.94|302403966.10|311036999.24|320031049.92|294208892.10|301821096.27|735639835.93|717672517.83|757045337.86|1040339851.17|1122533562.16|542.8589743800243|496.67664992579284|486.77948422011673|500.67607252661645|515.1537905523522|473.58787848057256|485.8412390017288|1184.1590059945206|1155.2370247442993|1218.6154297092562|1674.6344391485334|1806.941606801946|848795454.29|793022656.40|834016917.46|838900389.08|852749995.86|814602497.30|815914687.29|1973709131.24|1915500790.76|1996390577.64|2819226440.19|2916526180.73
Conventional childr|977787|Salem|Barrow County|GA|United States|DHL,BARIAN|2001|333695994.75|296457065.73|295502063.61|324455152.15|325354661.07|313635201.29|327861929.51|723652010.83|705010390.45|769169911.26|1046792558.56|1104878674.05|341.2767757701831|303.1918666642121|302.215169162609|331.82600315815205|332.74594678595645|320.76024869424526|335.310174414264|740.0916670297314|721.0265532779633|786.6436261271626|1070.57320107549|1129.9788952501924|859348646.09|780390397.89|802043144.26|828094030.38|858180258.49|855077161.63|870393108.04|1930291659.82|1914073518.87|1958950977.25|2812258185.94|2927976288.12
Doors canno|294242|Bethel|Barrow County|GA|United States|DHL,BARIAN|2001|316310695.95|298487747.25|305531089.64|308766824.71|325814383.05|334283923.32|349886633.09|715548703.14|721435058.18|758703062.79|1057770463.64|1079257049.38|1075.0018554455178|1014.4294398828175|1038.3666833422828|1049.3635331122|1107.3007356189803|1136.0850025489224|1189.111796038635|2431.8374098191284|2451.842558778149|2578.5002235914653|3594.899652802795|3667.9231699757343|833837217.46|805021181.59|794256650.78|822970996.65|874016323.61|840034499.20|860301791.94|1940828632.63|1876543025.28|1977360169.93|2826139912.35|2963401839.86
Friendly, suitable |863277|New Hope|Barrow County|GA|United States|DHL,BARIAN|2001|361697243.96|285514442.75|273853494.85|304567313.96|335271277.64|317057083.11|337570860.48|728469736.33|693529158.11|744235572.34|1040885787.11|1077798397.46|418.98167559195946|330.733290415475|317.2255195609289|352.80369332207385|388.3704507823098|367.2715514371401|391.0342340639215|843.8424009095575|803.3680476950041|862.1051786854044|1205.7378884297857|1248.4965978011692|889039871.37|779977929.18|776175463.11|842354375.43|878589742.78|832175058.36|885939076.82|1984499956.32|1934744288.95|1971411082.16|2838131475.77|2998539583.36
Important dem|185634|Pleasant Hill|Daviess County|MO|United States|DHL,BARIAN|2001|347110446.30|273486633.94|298287156.82|306796570.52|324886840.09|306428350.07|329648546.06|670029276.80|711608923.94|738377787.43|981538281.47|1119522490.98|1869.8646061605093|1473.2572370363189|1606.8562699720956|1652.6960067660018|1750.1472795393086|1650.7124237478047|1775.798323906181|3609.410327849424|3833.3975669327815|3977.5999409052224|5287.491954437226|6030.805191829083|889979762.07|774728153.68|859005534.39|821642793.45|864617872.43|839288991.80|843252146.74|1851318918.53|1893537205.22|1947613769.61|2766595327.50|2942522282.64
Important issues liv|138504|Fairview|Franklin Parish|LA|United States|DHL,BARIAN|2001|355102742.55|267017790.04|320091306.30|322823319.36|312921206.72|321137066.04|325137692.02|670522161.67|706909789.05|795450344.26|1047474335.20|1107460560.20|2563.8446727170335|1927.8706033038757|2311.0618198752386|2330.7869762606138|2259.2936429272804|2318.612213654479|2347.4967655807773|4841.175429373881|5103.89439330272|5743.157917894067|7562.77317044995|7995.874200023104|911402877.11|748495780.31|808551935.92|821049114.38|827164029.68|811466311.94|852893679.97|1907985898.64|1918142740.43|1995166370.62|2767454752.68|2928991277.77
Local, mass universi|838797|Bethel|Ziebach County|SD|United States|DHL,BARIAN|2001|335636393.31|309459236.71|276652765.90|300397373.94|298472449.01|303102999.76|326281350.77|680029956.09|696563029.02|709741554.21|1016758891.73|1110525690.28|400.14019281184846|368.932216865344|329.8208814528426|358.1288129785872|355.83394910806794|361.3544156214197|388.98726482092803|810.7205391650185|830.4309970350395|846.1422182125115|1212.1632429896626|1323.9504794127781|887925979.50|808106765.03|823388438.79|822672404.23|816013883.23|828312411.06|847148600.22|1877324909.84|1881676209.82|1899327774.57|2853906899.70|2936158753.49
National, comple|914242|Liberty|Barrow County|GA|United States|DHL,BARIAN|2001|336360165.65|298628036.17|321785801.58|306757779.40|325874185.55|300752576.22|328430790.95|749430381.62|696728599.39|753070666.08|1041147452.72|1125021964.20|367.91152194933073|326.6400320374693|351.970049046095|335.53236385989703|356.44193282522565|328.9638588251251|359.2383536853481|819.7286731740612|762.0833426926349|823.71042467968|1138.809475740559|1230.5516090925598|877793407.18|786542311.00|861875771.21|827044320.19|862586099.23|820032974.80|874004373.98|1906853878.03|1842875127.94|1989346103.08|2775222797.07|2986589829.80
New proceedings fo|926078|Union|Fairfield County|SC|United States|DHL,BARIAN|2001|333661739.16|321432326.92|298832225.53|314044773.20|310995857.75|327446846.01|335782043.33|695263177.91|711418890.55|726074751.41|1009104063.92|1123207625.10|360.2955033593283|347.0899070272699|322.6858056556791|339.11265919285415|335.8203712322288|353.5845209690761|362.58505582683097|750.7609271681218|768.2062316025216|784.0319621133426|1089.653424355184|1212.8650341547905|889386130.95|808027848.76|849082721.69|815442180.93|886629331.48|844954980.16|830850824.50|1938712697.23|1901656904.85|1982183388.83|2806288059.27|2970217136.87
