i_category|i_brand|s_store_name|s_company_name|d_year|d_moy|avg_monthly_sales|sum_sales|psum|nsum
Men|edu packimporto #1|able|Unknown|1999|2|396815.25916666666|203800.06|276347.19|220469.66
Men|edu packimporto #1|bar|Unknown|1999|2|394108.24416666664|208040.03|275125.66|220273.04
Men|edu packimporto #1|eing|Unknown|1999|2|395733.5125|210147.32|281976.95|225338.48
Shoes|amalgedu pack #1|bar|Unknown|1999|2|384835.22833333333|200407.11|269994.70|215245.00
Music|edu packscholar #1|bar|Unknown|1999|2|388055.45416666666|203682.09|274863.80|220368.43
Music|edu packscholar #1|able|Unknown|1999|2|389536.1775|206488.73|272799.77|227074.60
Music|importoscholar #1|bar|Unknown|1999|2|379357.44|196860.55|261366.91|222610.92
Music|importoscholar #1|able|Unknown|1999|2|382824.225|200592.65|275076.81|211591.05
Music|amalgscholar #1|eing|Unknown|1999|2|381872.4683333333|199650.05|277106.81|220032.37
Women|amalgamalg #1|able|Unknown|1999|2|374524.72833333333|193311.66|262432.12|223779.80
Men|edu packimporto #1|ese|Unknown|1999|2|380722.39|200036.73|271876.02|212329.70
Music|importoscholar #1|eing|Unknown|1999|2|382250.0983333333|202086.56|266688.63|222192.26
Women|exportiamalg #1|able|Unknown|1999|2|379322.735|199173.72|265728.54|223133.33
Children|amalgexporti #1|able|Unknown|1999|2|378063.2941666667|198119.15|267827.66|215802.80
Music|edu packscholar #1|eing|Unknown|1999|2|387154.8958333333|207608.95|273453.31|214651.90
Men|amalgimporto #1|able|Unknown|1999|2|375424.84|196351.41|262281.47|214848.96
Men|edu packimporto #1|able|Unknown|1999|4|396815.25916666666|217757.09|220469.66|233655.84
Women|exportiamalg #1|bar|Unknown|1999|2|378259.8258333333|199669.59|268883.82|220329.45
Shoes|amalgedu pack #1|able|Unknown|1999|2|385213.2325|206649.41|271427.51|219871.17
Women|edu packamalg #1|bar|Unknown|1999|2|367957.5308333333|189555.42|254578.09|211457.67
Shoes|exportiedu pack #1|bar|Unknown|1999|2|373142.14916666667|194867.88|264015.68|214667.48
Children|exportiexporti #1|able|Unknown|1999|2|369316.48083333333|191190.61|255710.06|215687.02
Women|exportiamalg #1|eing|Unknown|1999|2|378787.86916666664|200932.80|268246.33|216954.71
Children|amalgexporti #1|eing|Unknown|1999|2|378323.00166666665|200530.93|261343.42|223841.27
Men|amalgimporto #1|bar|Unknown|1999|2|376047.3483333333|198460.62|264639.27|210350.85
Music|amalgscholar #1|bar|Unknown|1999|2|381309.3875|203825.02|270816.49|221569.42
