d_year|brand_id|brand|ext_price
2000|1001002|amalgamalg #2|5718309.38
2000|2001002|amalgimporto #2|5509048.21
2000|2003002|exportiimporto #2|5343782.24
2000|2004002|edu packimporto #2|5305315.46
2000|3002002|importoexporti #2|4779013.05
2000|4004002|edu packedu pack #2|4655494.02
2000|1004002|edu packamalg #2|4579064.83
2000|1003001|exportiamalg #1|4311018.14
2000|4001002|amalgedu pack #2|4164449.21
2000|5003002|exportischolar #2|4032060.34
2000|3001002|amalgexporti #2|3982772.67
2000|1003002|exportiamalg #2|3830576.38
2000|3003002|exportiexporti #2|3652193.79
2000|4002002|importoedu pack #2|3617395.50
2000|5001002|amalgscholar #2|3615287.94
2000|3004002|edu packexporti #2|3565810.50
2000|4003002|exportiedu pack #2|3507845.84
2000|4003001|exportiedu pack #1|3435700.18
2000|2002001|importoimporto #1|3316148.65
2000|5002002|importoscholar #2|2822662.11
2000|1002002|importoamalg #2|2795040.09
2000|4004001|edu packedu pack #1|2746508.69
2000|3004001|edu packexporti #1|2711699.69
2000|2001001|amalgimporto #1|2634229.59
2000|5004002|edu packscholar #2|2632422.35
2000|3003001|exportiexporti #1|2565994.62
2000|2002002|importoimporto #2|2543133.63
2000|4002001|importoedu pack #1|2453235.88
2000|1002001|importoamalg #1|2408531.50
2000|4001001|amalgedu pack #1|2406093.13
2000|3001001|amalgexporti #1|2388249.00
2000|1004001|edu packamalg #1|2377315.67
2000|2003001|exportiimporto #1|2293709.03
2000|5003001|exportischolar #1|2207476.53
2000|1001001|amalgamalg #1|1917854.20
2000|5001001|amalgscholar #1|1810571.14
2000|3002001|importoexporti #1|1737225.58
2000|2004001|edu packimporto #1|1614162.48
2000|5004001|edu packscholar #1|1455636.46
2000|5002001|importoscholar #1|1300842.92
2000|9014008|edu packunivamalg #8|967539.54
2000|7007004|brandbrand #4|890820.45
2000|9009012|maximaxi #12|888404.05
2000|6003008|exporticorp #8|849861.15
2000|9015002|scholarunivamalg #2|837792.39
2000|9011008|amalgunivamalg #8|746394.13
2000|9003008|exportimaxi #8|714270.04
2000|9007008|brandmaxi #8|689065.03
2000|10015001|scholaramalgamalg #1|687174.87
2000|9009002|maximaxi #2|684356.71
2000|6013006|exportibrand #6|681759.89
2000|7010004|univnameless #4|662304.79
2000|9004008|edu packmaxi #8|655940.17
2000|8009010|maxinameless #10|647853.49
2000|7016001|corpnameless #1|647530.21
2000|6010004|univbrand #4|645737.91
2000|9006009|corpmaxi #9|643862.83
2000|6013002|exportibrand #2|640798.51
2000|6007006|brandcorp #6|610431.03
2000|6010007|univbrand #7|598291.98
2000|6010002|univbrand #2|588443.49
2000|7009010|maxibrand #10|545451.45
2000|9014002|edu packunivamalg #2|536615.74
2000|8003004|exportinameless #4|533627.14
2000|7010008|univnameless #8|531080.78
2000|8007001|brandnameless #1|530392.18
2000|9011009|amalgunivamalg #9|528235.01
2000|10007015|brandunivamalg #15|527986.39
2000|9013002|exportiunivamalg #2|526374.98
2000|9002008|importomaxi #8|525732.21
2000|10005005|scholarunivamalg #5|518551.35
2000|8010009|univmaxi #9|515435.77
2000|9012003|importounivamalg #3|514225.21
2000|6014003|edu packbrand #3|513899.37
2000|7001005|amalgbrand #5|503564.58
2000|8005009|scholarnameless #9|502795.79
2000|6007007|brandcorp #7|500682.98
2000|7015009|scholarnameless #9|498750.12
2000|7012009|importonameless #9|497021.41
2000|6005001|scholarcorp #1|495984.06
2000|9005009|scholarmaxi #9|494981.35
2000|10016001|corpamalgamalg #1|483610.90
2000|7012010|importonameless #10|482485.19
2000|6003003|exporticorp #3|479717.80
2000|9002003|importomaxi #3|479025.89
2000|8006009|corpnameless #9|472289.71
2000|8015006|scholarmaxi #6|470275.48
2000|7007010|brandbrand #10|469365.55
2000|10009013|maxiunivamalg #13|469102.59
2000|9013012|exportiunivamalg #12|466331.47
2000|9001003|amalgmaxi #3|462236.67
2000|7004004|edu packbrand #4|456457.87
2000|8008007|namelessnameless #7|455669.61
2000|7014002|edu packnameless #2|454031.63
2000|7003004|exportibrand #4|452559.89
2000|6015006|scholarbrand #6|447666.15
2000|8003003|exportinameless #3|442984.79
2000|10013002|exportiamalgamalg #2|438818.99
2000|8008003|namelessnameless #3|437961.43
2000|9010009|univunivamalg #9|436986.65
