w_substr|sm_type|web_name|30 days|31-60 days|61-90 days|91-120 days|>120 days
NULL|EXPRESS|site_0|12026|12027|11954|12158|0
NULL|EXPRESS|site_1|12065|12122|12053|12143|0
NULL|EXPRESS|site_2|11925|12222|12008|12148|0
NULL|EXPRESS|site_3|12126|12092|12069|12202|0
NULL|LIBRARY|site_0|9021|9057|8886|9138|0
NULL|LIBRARY|site_1|9081|9121|9127|9089|0
NULL|LIBRARY|site_2|9258|8796|9111|9123|0
NULL|LIBRARY|site_3|8946|8856|9114|8923|0
NULL|NEXT DAY|site_0|12046|12239|12144|12121|0
NULL|NEXT DAY|site_1|12097|12082|11928|12041|0
NULL|NEXT DAY|site_2|12007|12153|12172|12073|0
NULL|NEXT DAY|site_3|12107|12029|12045|12103|0
NULL|OVERNIGHT|site_0|8909|9181|9070|9022|0
NULL|OVERNIGHT|site_1|9100|8970|8953|9166|0
NULL|OVERNIGHT|site_2|8995|9005|8909|8964|0
NULL|OVERNIGHT|site_3|9059|9076|9064|9080|0
NULL|REGULAR|site_0|9142|9010|9014|8986|0
NULL|REGULAR|site_1|8967|9087|8899|8946|0
NULL|REGULAR|site_2|8921|9019|9070|8963|0
NULL|REGULAR|site_3|8969|9128|9071|9019|0
NULL|TWO DAY|site_0|9087|8969|8883|9246|0
NULL|TWO DAY|site_1|9013|9056|8933|9139|0
NULL|TWO DAY|site_2|9021|8961|9092|9159|0
NULL|TWO DAY|site_3|9026|9082|8937|9075|0
Bad cards must make.|EXPRESS|site_0|11901|12123|12032|12265|0
Bad cards must make.|EXPRESS|site_1|11878|12029|11913|11934|0
Bad cards must make.|EXPRESS|site_2|11959|12007|11977|12101|0
Bad cards must make.|EXPRESS|site_3|11946|12163|12057|12016|0
Bad cards must make.|LIBRARY|site_0|9005|9046|9002|9016|0
Bad cards must make.|LIBRARY|site_1|9014|8920|9026|9010|0
Bad cards must make.|LIBRARY|site_2|9007|9081|9091|9275|0
Bad cards must make.|LIBRARY|site_3|9127|9046|8969|9191|0
Bad cards must make.|NEXT DAY|site_0|12051|11968|12166|11967|0
Bad cards must make.|NEXT DAY|site_1|12093|11952|12130|11902|0
Bad cards must make.|NEXT DAY|site_2|11992|12066|11816|12294|0
