s_store_name|i_item_desc|revenue|i_current_price|i_wholesale_cost|i_brand
able|A|0.00|1.44|0.59|edu packamalg #1
able|A|0.00|7.74|2.94|edu packedu pack #1
able|A|0.30|6.64|2.19|maxinameless #7
able|A|0.47|2.86|2.48|amalgexporti #1
able|A|0.47|7.97|3.74|exportimaxi #6
able|A|0.65|7.17|2.43|edu packedu pack #1
able|A|0.69|1.44|0.59|edu packamalg #1
able|A|2.45|1.81|0.66|edu packexporti #1
able|A|2.56|1.05|0.86|amalgamalg #1
able|A|2.72|3.50|1.26|edu packedu pack #1
able|A|2.75|3.97|1.66|amalgexporti #2
able|A|2.89|7.97|3.74|exportimaxi #6
able|A|4.12|1.44|0.59|edu packamalg #1
able|A|4.12|2.86|2.48|amalgexporti #1
able|A|4.15|2.71|2.19|amalgscholar #1
able|A|4.31|7.86|6.91|amalgimporto #1
able|A|4.35|1.91|0.61|edu packscholar #1
able|A|4.89|6.89|4.27|importonameless #4
able|A|5.15|3.42|1.19|importoedu pack #1
able|A|5.19|3.35|2.34|edu packexporti #2
able|A|5.24|5.81|2.03|exportiexporti #2
able|A|5.41|3.29|2.79|amalgamalg #2
able|A|5.77|3.97|1.66|amalgexporti #2
able|A|5.88|2.86|2.48|amalgexporti #1
able|A|6.30|3.50|1.26|edu packedu pack #1
able|A|6.93|3.25|2.89|importoamalg #1
able|A|6.93|8.44|2.70|exportischolar #1
able|A|6.96|1.11|0.87|corpbrand #1
able|A|6.98|7.86|6.91|amalgimporto #1
able|A|7.00|0.51|0.18|exportiamalg #1
able|A|7.23|44.07|33.93|exportiexporti #1
able|A|7.27|9.15|7.22|importoscholar #2
able|A|7.40|8.44|2.70|exportischolar #1
able|A|7.41|8.44|2.70|exportischolar #1
able|A|7.92|6.64|2.19|maxinameless #7
able|A|7.97|1.81|0.66|edu packexporti #1
able|A|8.05|3.29|2.79|amalgamalg #2
able|A|8.62|1.91|0.61|edu packscholar #1
able|A|8.80|6.64|2.19|maxinameless #7
able|A|9.09|3.42|1.19|importoedu pack #1
able|A|9.19|1.07|0.87|amalgmaxi #3
able|A|9.77|6.89|4.27|importonameless #4
able|A|9.77|44.07|33.93|exportiexporti #1
able|A|9.79|1.75|0.57|importoedu pack #1
able|A|9.86|0.51|0.18|exportiamalg #1
able|A|10.06|5.81|2.03|exportiexporti #2
able|A|10.09|1.81|0.66|edu packexporti #1
able|A|10.27|3.50|1.26|edu packedu pack #1
able|A b|0.72|3.07|1.07|edu packbrand #4
able|A b|1.61|3.07|1.07|edu packbrand #4
able|A b|2.45|3.07|1.07|edu packbrand #4
able|A b|9.90|3.07|1.07|edu packbrand #4
able|A bit available championships might meet arab stages. Senior, fat perceptions would lose still up a flowers. Just successful words enjoy smooth plans. Considerable, prime feet shall live |2.11|7.55|6.49|exportibrand #9
able|A bit available championships might meet arab stages. Senior, fat perceptions would lose still up a flowers. Just successful words enjoy smooth plans. Considerable, prime feet shall live |6.33|7.55|6.49|exportibrand #9
able|A bit available championships might meet arab stages. Senior, fat perceptions would lose still up a flowers. Just successful words enjoy smooth plans. Considerable, prime feet shall live |8.30|7.55|6.49|exportibrand #9
able|A bit broad things may emerge suddenly sheets. Recently other types educate clearly true, available mod|9.80|4.72|3.54|amalgbrand #3
able|A bit broad things may emerge suddenly sheets. Recently other types educate clearly true, available mod|10.55|4.72|3.54|amalgbrand #3
able|A bit dead funds shall give then; dogs would not result very furious i|6.74|2.14|1.24|namelesscorp #1
able|A bit dead funds shall give then; dogs would not result very furious i|9.48|2.14|1.24|namelesscorp #1
able|A bit dead services ought to get also fingers. Particularly soft patients imagine thus |2.03|4.71|1.88|scholarcorp #1
able|A bit dead services ought to get also fingers. Particularly soft patients imagine thus |3.38|4.71|1.88|scholarcorp #1
