product_name|store_name|store_zip|b_street_number|b_street_name|b_city|b_zip|c_street_number|c_street_name|c_city|c_zip|cs1syear|cs1cnt|s11|s21|s31|s12|s22|s32|syear|cnt
ablebaresebareing|able|44136|368|Railroad |Hillcrest|63003|109|West |Riverside|79231|1999|1|93.24|106.29|3214.08|65.63|78.75|0.00|2000|1
ablebaresebareing|ese|74136|651|Maple |Lakeside|49532|238|11th Fifth|Edgewood|50069|1999|1|9.54|14.97|0.00|67.31|120.48|5967.93|2000|1
ablebaresebareing|ese|74136|NULL|NULL|NULL|NULL|99|14th |Farmington|89145|1999|1|40.76|70.10|0.00|67.31|120.48|5967.93|2000|1
ablebaresebareing|ese|32477|941|Seventh East|Summit|80499|293|2nd 1st|Greenwood|38828|1999|1|96.71|148.93|0.00|17.88|34.86|94.92|2000|1
ablebaresebareing|ese|32477|941|Seventh East|Summit|80499|293|2nd 1st|Greenwood|38828|1999|1|96.71|148.93|0.00|22.86|37.03|261.65|2000|1
ablebaresebareing|ese|32477|941|Seventh East|Summit|80499|293|2nd 1st|Greenwood|38828|1999|1|96.71|148.93|0.00|84.55|137.81|0.00|2000|1
ablebaresebareing|ese|32477|941|Seventh East|Summit|80499|293|2nd 1st|Greenwood|38828|1999|1|96.71|148.93|0.00|92.13|153.85|77.50|2000|1
ablebaresebareing|pri|34136|868|4th Maple|Morris|56696|416|Poplar |Hamilton|82808|1999|1|1.23|1.90|0.00|44.92|86.69|0.00|2000|1
ablebaresebareing|pri|28048|870|Lakeview |Woodlawn|84098|911|Sixth |Walnut Grove|37752|1999|1|9.35|15.89|0.00|87.19|164.78|0.00|2000|1
ablebaresebareing|pri|38828|730|Oak Pine|Georgetown|37057|513|Oak |Arlington|46557|1999|1|40.42|74.77|0.00|19.28|28.92|0.00|2000|1
ablebaresebareing|pri|38828|236|Chestnut 10th|Pine Grove|84593|270|Smith |Pleasant Valley|42477|1999|1|82.05|102.56|0.00|19.28|28.92|0.00|2000|1
ablebaresebareing|pri|28048|70|Railroad |Woodland|74854|807|Park South|Springdale|28883|1999|1|90.19|136.18|0.00|87.19|164.78|0.00|2000|1
ableeingcallyn stcallyought|able|59843|916|5th Lake|Pleasant Valley|52477|455|Hill |Lone Oak|76893|1999|1|10.99|15.71|0.00|33.66|57.89|0.00|2000|1
ableeingcallyn stcallyought|able|44136|318|Ash |Cumberland|78971|810|Maple Third|Concord|54107|1999|1|15.93|20.70|199.58|99.93|144.89|0.00|2000|1
ableeingcallyn stcallyought|anti|54136|846|Church |Cedar Grove|70411|723|Hill 1st|Greenville|71387|1999|1|85.14|158.36|0.00|17.32|25.63|0.00|2000|1
ableeingcallyn stcallyought|cally|36098|357|Franklin |Shiloh|59275|99|Oak |Glenwood|43511|1999|1|22.13|40.71|0.00|59.49|92.80|2181.36|2000|1
ableeingcallyn stcallyought|cally|34136|905|5th |Walnut Grove|77752|103|Park |Glenville|43445|1999|1|85.88|132.25|810.00|14.60|23.36|0.00|2000|1
ableeingcallyn stcallyought|cally|34136|905|5th |Walnut Grove|77752|103|Park |Glenville|43445|1999|1|85.88|132.25|810.00|54.70|84.78|0.00|2000|1
ableeingcallyn stcallyought|eing|71904|769|Jackson Jackson|New Hope|79431|528|Wilson |Mechanicsburg|72219|1999|1|41.54|80.17|0.00|31.45|61.01|0.00|2000|1
ableeingcallyn stcallyought|eing|71904|769|Jackson Jackson|New Hope|79431|528|Wilson |Mechanicsburg|72219|1999|1|41.54|80.17|0.00|82.75|151.43|0.00|2000|1
ableeingcallyn stcallyought|ese|32477|212|8th Lake|Glendale|43951|929|9th |Franklin|49101|1999|1|9.03|17.24|168.72|17.32|17.66|0.00|2000|1
ableeingcallyn stcallyought|ese|32477|212|8th Lake|Glendale|43951|929|9th |Franklin|49101|1999|1|9.03|17.24|168.72|95.88|106.42|0.00|2000|1
ableeingcallyn stcallyought|ese|26098|127|Lake |Mount Zion|28054|812|Center 7th|Greenville|61387|1999|1|65.81|86.86|0.00|9.29|9.94|0.00|2000|1
ableeingcallyn stcallyought|ese|35281|414|Second |Frankfort|19681|244|6th Spring|Harvey|35858|1999|1|88.06|132.09|0.00|6.19|8.60|0.00|2000|1
ableeingcallyn stcallyought|ese|35281|414|Second |Frankfort|19681|244|6th Spring|Harvey|35858|1999|1|88.06|132.09|0.00|61.39|61.39|0.00|2000|1
ableeingcallyn stcallyought|ought|53451|678|7th Main|Antioch|78605|911|South Mill|Woodbury|14489|1999|1|28.68|52.77|0.00|98.22|105.09|0.00|2000|1
ableeingcallyn stcallyought|ought|53451|374|Washington 6th|Cumberland|78971|717|Elm |Newtown|41749|1999|1|38.93|74.35|0.00|98.22|105.09|0.00|2000|1
ableeseablebarpri|anti|35709|426|14th |Pleasant Valley|62477|751|Pine Lakeview|Summit|50499|1999|1|4.44|4.44|0.00|66.37|88.93|26.10|2000|1
ableeseablebarpri|ese|33451|391|Green |Harmony|55804|487|Main |Five Forks|72293|1999|1|64.89|108.36|0.00|36.44|45.18|0.00|2000|1
