i_category|i_class|i_brand|i_product_name|d_year|d_qoy|d_moy|s_store_id|sumsales|rk
NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|31834419.82|5
NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|64417392.99|4
NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|129909240.38|3
NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|254774309.10|2
NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|101378982930.73|1
NULL|NULL|NULL|NULL|2000|NULL|NULL|NULL|31834419.82|5
NULL|NULL|NULL|NULL|2000|1|NULL|NULL|4637270.04|17
NULL|NULL|NULL|NULL|2000|1|1|NULL|1831099.35|92
NULL|NULL|NULL|NULL|2000|2|NULL|NULL|4682369.75|16
NULL|NULL|NULL|NULL|2000|2|4|NULL|1554883.86|99
NULL|NULL|NULL|NULL|2000|2|5|NULL|1487405.34|100
NULL|NULL|NULL|NULL|2000|2|6|NULL|1640080.55|98
NULL|NULL|NULL|NULL|2000|3|NULL|NULL|8733607.45|8
NULL|NULL|NULL|NULL|2000|3|7|NULL|1733644.57|97
NULL|NULL|NULL|NULL|2000|3|8|NULL|3376855.20|24
NULL|NULL|NULL|NULL|2000|3|9|NULL|3623107.68|22
NULL|NULL|NULL|NULL|2000|4|NULL|NULL|13781172.58|7
NULL|NULL|NULL|NULL|2000|4|10|NULL|3521513.98|23
NULL|NULL|NULL|NULL|2000|4|11|NULL|5073443.69|14
NULL|NULL|NULL|NULL|2000|4|12|NULL|5186214.91|12
NULL|NULL|amalgedu pack #2|NULL|NULL|NULL|NULL|NULL|1795850.74|96
NULL|NULL|amalgimporto #2|NULL|NULL|NULL|NULL|NULL|2191577.85|38
NULL|NULL|amalgscholar #2|NULL|NULL|NULL|NULL|NULL|3036068.22|28
NULL|NULL|edu packamalg #2|NULL|NULL|NULL|NULL|NULL|2043428.41|59
NULL|NULL|edu packamalgamalg #17|NULL|NULL|NULL|NULL|NULL|1965496.66|70
NULL|NULL|edu packamalgamalg #17|NULL|NULL|NULL|NULL|NULL|1965496.66|70
NULL|NULL|edu packamalgamalg #17|NULL|2000|NULL|NULL|NULL|1965496.66|70
NULL|NULL|exportiedu pack #1|NULL|NULL|NULL|NULL|NULL|1960729.82|73
NULL|NULL|exportiedu pack #1|NULL|NULL|NULL|NULL|NULL|1960729.82|73
NULL|NULL|exportiedu pack #1|NULL|2000|NULL|NULL|NULL|1960729.82|73
NULL|NULL|exportiedu pack #2|NULL|NULL|NULL|NULL|NULL|1948088.11|80
NULL|NULL|exportiedu pack #2|NULL|NULL|NULL|NULL|NULL|1948088.11|80
NULL|NULL|exportiedu pack #2|NULL|2000|NULL|NULL|NULL|1948088.11|80
NULL|NULL|exportiimporto #2|NULL|NULL|NULL|NULL|NULL|2066888.79|56
NULL|NULL|importoedu pack #1|NULL|NULL|NULL|NULL|NULL|1812332.60|93
NULL|NULL|importoedu pack #1|NULL|NULL|NULL|NULL|NULL|1812332.60|93
NULL|NULL|importoedu pack #1|NULL|2000|NULL|NULL|NULL|1812332.60|93
NULL|archery|NULL|NULL|NULL|NULL|NULL|NULL|2069463.89|55
NULL|athletic|NULL|NULL|NULL|NULL|NULL|NULL|3195981.33|25
NULL|athletic|NULL|NULL|NULL|NULL|NULL|NULL|5244359.13|11
NULL|baseball|NULL|NULL|NULL|NULL|NULL|NULL|2032181.10|60
NULL|basketball|NULL|NULL|NULL|NULL|NULL|NULL|1899931.17|86
NULL|business|NULL|NULL|NULL|NULL|NULL|NULL|2104054.45|48
