i_product_name|i_brand|i_class|i_category|qoh
eseationesen stanti|NULL|NULL|NULL|451.7947658402204
eseationesen stanti|edu packamalg #1|NULL|NULL|451.7947658402204
eseationesen stanti|edu packamalg #1|swimwear|NULL|451.7947658402204
eseationesen stanti|edu packamalg #1|swimwear|Women|451.7947658402204
oughtantiableoughtbarought|NULL|NULL|NULL|455.86151797603196
oughtantiableoughtbarought|importobrand #2|NULL|NULL|455.86151797603196
oughtantiableoughtbarought|importobrand #2|bedding|NULL|455.86151797603196
oughtantiableoughtbarought|importobrand #2|bedding|Home|455.86151797603196
callypricallyationn stought|NULL|NULL|NULL|457.4351351351351
callypricallyationn stought|amalgcorp #5|NULL|NULL|457.4351351351351
callypricallyationn stought|amalgcorp #5|birdal|NULL|457.4351351351351
callypricallyationn stought|amalgcorp #5|birdal|Jewelry|457.4351351351351
ableationantieingcallyought|NULL|NULL|NULL|457.97983870967744
ableationantieingcallyought|importoedu pack #1|NULL|NULL|457.97983870967744
ableationantieingcallyought|importoedu pack #1|mens|NULL|457.97983870967744
ableationantieingcallyought|importoedu pack #1|mens|Shoes|457.97983870967744
n stbarn stcallyable|NULL|NULL|NULL|459.0810810810811
n stbarn stcallyable|edu packimporto #2|NULL|NULL|459.0810810810811
n stbarn stcallyable|edu packimporto #2|sports-apparel|NULL|459.0810810810811
n stbarn stcallyable|edu packimporto #2|sports-apparel|Men|459.0810810810811
ationn stbarationpri|NULL|NULL|NULL|460.0258152173913
ationn stbarationpri|edu packamalg #2|NULL|NULL|460.0258152173913
ationn stbarationpri|edu packamalg #2|swimwear|NULL|460.0258152173913
ationn stbarationpri|edu packamalg #2|swimwear|Women|460.0258152173913
ationcallyantin stationought|NULL|NULL|NULL|460.1364256480218
ationcallyantin stationought|namelessbrand #8|NULL|NULL|460.1364256480218
ationcallyantin stationought|namelessbrand #8|lighting|NULL|460.1364256480218
ationcallyantin stationought|namelessbrand #8|lighting|Home|460.1364256480218
priantiationableoughtought|NULL|NULL|NULL|460.28724832214766
priantiationableoughtought|scholarunivamalg #2|NULL|NULL|460.28724832214766
priantiationableoughtought|scholarunivamalg #2|fiction|NULL|460.28724832214766
