channel|i_brand_id|i_class_id|i_category_id|sum_sales|sum_number_sales
NULL|NULL|NULL|NULL|67506384487.34|15672712
catalog|NULL|NULL|NULL|23474891981.51|4619058
catalog|1001001|NULL|NULL|187623451.23|37119
catalog|1001001|1|NULL|106958134.61|21202
catalog|1001001|1|1|10544531.60|2149
catalog|1001001|1|2|13557381.65|2624
catalog|1001001|1|3|9161304.88|1796
catalog|1001001|1|4|11678654.33|2407
catalog|1001001|1|5|10692110.25|2119
catalog|1001001|1|6|10882704.95|2092
catalog|1001001|1|7|9221298.77|1870
catalog|1001001|1|8|9893337.16|1963
catalog|1001001|1|9|8873378.89|1745
catalog|1001001|1|10|12453432.13|2437
catalog|1001001|2|NULL|13225198.27|2554
catalog|1001001|2|1|3474508.17|660
catalog|1001001|2|2|2443468.57|491
catalog|1001001|2|3|711625.46|138
catalog|1001001|2|4|1864973.46|348
catalog|1001001|2|5|1787817.61|351
catalog|1001001|2|6|330352.72|55
catalog|1001001|2|7|237882.69|52
catalog|1001001|2|8|1509220.03|296
catalog|1001001|2|9|218683.62|44
catalog|1001001|2|10|646665.94|119
catalog|1001001|3|NULL|15258001.97|2996
catalog|1001001|3|1|3273979.09|638
catalog|1001001|3|2|2724872.80|537
catalog|1001001|3|3|1575464.99|309
catalog|1001001|3|4|1762495.97|344
catalog|1001001|3|5|1812101.61|375
catalog|1001001|3|6|417888.56|76
catalog|1001001|3|7|946757.74|194
catalog|1001001|3|8|900402.23|174
catalog|1001001|3|9|816087.30|156
catalog|1001001|3|10|1027951.68|193
catalog|1001001|4|NULL|15974044.22|3076
catalog|1001001|4|1|3327563.16|636
catalog|1001001|4|2|2603291.50|498
catalog|1001001|4|3|3127550.06|611
catalog|1001001|4|4|1211417.98|237
catalog|1001001|4|5|2963030.96|563
catalog|1001001|4|6|967649.66|186
catalog|1001001|4|7|658096.97|107
catalog|1001001|4|8|453204.16|100
catalog|1001001|4|9|225424.31|46
catalog|1001001|4|10|436815.46|92
catalog|1001001|5|NULL|3139158.82|639
catalog|1001001|5|6|617392.13|127
catalog|1001001|5|7|164744.07|42
catalog|1001001|5|9|1000673.23|193
catalog|1001001|5|10|1356349.39|277
catalog|1001001|6|NULL|1518866.99|310
catalog|1001001|6|6|186823.27|47
catalog|1001001|6|7|282669.68|45
catalog|1001001|6|8|144827.89|32
catalog|1001001|6|9|607959.10|139
catalog|1001001|6|10|296587.05|47
catalog|1001001|7|NULL|1988959.89|396
catalog|1001001|7|6|448146.94|76
catalog|1001001|7|7|744167.56|139
catalog|1001001|7|9|311781.99|80
catalog|1001001|7|10|484863.40|101
catalog|1001001|8|NULL|3039737.14|642
catalog|1001001|8|6|698453.92|144
catalog|1001001|8|7|558265.58|122
catalog|1001001|8|8|900603.37|189
catalog|1001001|8|9|275164.90|54
catalog|1001001|8|10|607249.37|133
catalog|1001001|9|NULL|3563089.71|683
catalog|1001001|9|6|565283.21|100
catalog|1001001|9|7|1081744.14|226
catalog|1001001|9|8|813977.48|138
catalog|1001001|9|9|652741.20|137
catalog|1001001|9|10|449343.68|82
catalog|1001001|10|NULL|3182671.02|629
catalog|1001001|10|6|406677.72|82
catalog|1001001|10|7|651011.81|134
catalog|1001001|10|8|450517.29|95
catalog|1001001|10|9|908162.47|176
catalog|1001001|10|10|766301.73|142
catalog|1001001|11|NULL|4123687.81|801
catalog|1001001|11|6|554987.50|104
catalog|1001001|11|7|1067781.28|213
catalog|1001001|11|8|388289.53|82
catalog|1001001|11|9|1357623.80|243
catalog|1001001|11|10|755005.70|159
catalog|1001001|12|NULL|3413271.10|685
catalog|1001001|12|6|327804.65|51
catalog|1001001|12|7|252163.30|43
catalog|1001001|12|8|1660338.77|341
catalog|1001001|12|9|457467.55|107
catalog|1001001|12|10|715496.83|143
catalog|1001001|13|NULL|3538358.14|744
catalog|1001001|13|6|530486.44|117
catalog|1001001|13|7|1534856.06|317
catalog|1001001|13|8|873311.18|172
catalog|1001001|13|10|599704.46|138
catalog|1001001|14|NULL|2550645.97|516
catalog|1001001|14|6|902050.74|165
