ca_zip|sum(cs_sales_price)
NULL|252805.20
30001|1616.41
30008|2414.55
30026|4900.48
30059|93517.68
30069|96505.85
30116|4304.92
30125|3354.14
30141|7530.30
30150|85924.19
30162|91425.65
30164|4954.98
30169|75278.30
30191|78943.24
30194|5152.21
30204|441.84
30216|1761.44
30238|619.99
30262|5900.32
30268|6783.53
30296|4501.76
30302|8674.00
30309|5754.39
30317|150.44
30319|3528.46
30330|220.44
30344|2924.53
30348|373.76
30369|3448.68
30382|855.28
30399|96502.02
30407|246.68
30408|4454.62
30411|79644.06
30418|3017.34
30419|4170.46
30451|6492.72
30481|238.54
30492|4157.56
30499|76889.90
30519|4798.27
30525|3128.47
30534|90013.93
30540|4148.84
30573|8556.15
30580|645.49
30587|94130.43
30589|3489.67
30618|6385.47
30631|4641.16
30634|678.36
30635|2245.04
30702|163.26
30725|1659.74
30732|1429.85
30744|3306.26
30766|7895.93
30844|407.46
30852|4467.91
30854|4959.13
30875|966.21
30894|2191.54
30899|8348.54
30913|2146.24
30919|2721.44
30945|2822.64
30965|7507.46
31075|3980.37
31083|6129.95
31087|81594.36
31103|629.29
31140|241.16
31143|5938.98
31147|6750.27
31150|401.73
31160|6814.76
31201|1766.41
31204|4322.67
31206|1709.83
31209|4620.23
31216|9877.49
31218|6714.16
31229|3693.16
31286|697.14
31289|90569.42
31294|100.45
31338|174.00
31387|88713.28
31398|3923.88
31400|879.58
31403|1050.92
31409|2583.49
31423|3249.02
31453|248.53
31513|215.46
31521|87242.97
31523|245.99
31525|527.69
31529|4490.99
31545|2980.91
