nation|o_year|sum_profit
ALGERIA|1998|27136900.1803
ALGERIA|1997|48611833.4962
ALGERIA|1996|48285482.6782
ALGERIA|1995|44402273.5999
ALGERIA|1994|48694008.0668
ALGERIA|1993|46044207.7838
ALGERIA|1992|45636849.4881
ARGENTINA|1998|28341663.7848
ARGENTINA|1997|47143964.1176
ARGENTINA|1996|45255278.6021
ARGENTINA|1995|45631769.2054
ARGENTINA|1994|48268856.3547
ARGENTINA|1993|48605593.6162
ARGENTINA|1992|46654240.7487
BRAZIL|1998|26527736.3960
BRAZIL|1997|45640660.7677
BRAZIL|1996|45090647.1630
BRAZIL|1995|44015888.5132
BRAZIL|1994|44854218.8932
BRAZIL|1993|45766603.7379
BRAZIL|1992|45280216.8027
CANADA|1998|26828985.3944
CANADA|1997|44849954.3186
CANADA|1996|46307936.1108
CANADA|1995|47311993.0441
CANADA|1994|46691491.9596
CANADA|1993|46634791.1121
CANADA|1992|45873849.6882
CHINA|1998|27510180.1657
CHINA|1997|46123865.4097
CHINA|1996|49532807.0601
CHINA|1995|46734651.4838
CHINA|1994|46397896.6097
CHINA|1993|49634673.9463
CHINA|1992|46949457.6426
EGYPT|1998|28401491.7968
EGYPT|1997|47674857.6783
EGYPT|1996|47745727.5450
EGYPT|1995|45897160.6783
EGYPT|1994|47194895.2280
EGYPT|1993|49133627.6471
EGYPT|1992|47000574.5027
ETHIOPIA|1998|25135046.1377
ETHIOPIA|1997|43010596.0838
ETHIOPIA|1996|43636287.1922
ETHIOPIA|1995|43575757.3343
ETHIOPIA|1994|41597208.5283
ETHIOPIA|1993|42622804.1616
ETHIOPIA|1992|44385735.6813
FRANCE|1998|26210392.2804
FRANCE|1997|42392969.4731
FRANCE|1996|43306317.9749
FRANCE|1995|46377408.4328
FRANCE|1994|43447352.9922
FRANCE|1993|43729961.0639
FRANCE|1992|44052308.4290
GERMANY|1998|25991257.1071
GERMANY|1997|43968355.8079
GERMANY|1996|45882074.8049
GERMANY|1995|43314338.3077
GERMANY|1994|44616995.4369
GERMANY|1993|45126645.9113
GERMANY|1992|44361141.2107
INDIA|1998|29626417.2379
INDIA|1997|51386111.3448
INDIA|1996|47571018.5122
INDIA|1995|49344062.2829
INDIA|1994|50106952.4261
INDIA|1993|48112766.6987
INDIA|1992|47914303.1234
INDONESIA|1998|27734909.6763
INDONESIA|1997|44593812.9863
INDONESIA|1996|44746729.8078
INDONESIA|1995|45593622.6993
INDONESIA|1994|45988483.8772
INDONESIA|1993|46147963.7895
INDONESIA|1992|45185777.0688
IRAN|1998|26661608.9301
IRAN|1997|45019114.1696
IRAN|1996|45891397.0992
IRAN|1995|44414285.2348
IRAN|1994|43696360.4795
IRAN|1993|45362775.8094
