name,url,commit,build_on_windows
excel,https://github.com/duckdb/duckdb,,true
fts,https://github.com/duckdb/duckdb,,true
httpfs,https://github.com/duckdb/duckdb,,true
icu,https://github.com/duckdb/duckdb,,true
json,https://github.com/duckdb/duckdb,,true
parquet,https://github.com/duckdb/duckdb,,true
tpcds,https://github.com/duckdb/duckdb,,true
tpch,https://github.com/duckdb/duckdb,,true
visualizer,https://github.com/duckdb/duckdb,,true
sqlite_scanner,https://github.com/duckdblabs/sqlite_scanner,ddd342dadf92ecad8a9f4d215a9c56b9731933d2,true
postgres_scanner,https://github.com/duckdblabs/postgresscanner,37231bf985fb825dccf79aad94ee0630dae2d7c6,true
substrait,https://github.com/duckdblabs/substrait,43a77c0c7a1f4da52bfdfc4430f74d495dc59195,false
