2012-05-13 02:24:38.644+00,10995116277782,962072674312
2012-05-11 13:05:48.641+00,10995116277782,962072674314
2012-05-13 02:19:16.377+00,24189255811081,962072674314
2012-10-07 14:44:19.568+00,24189255811081,1099511627804
2012-10-04 01:05:13.373+00,10995116277782,1099511627808
2012-10-08 03:37:21.354+00,24189255811081,1099511627808
2012-10-04 08:31:43.693+00,26388279066668,1099511627808
2012-10-08 10:51:35.162+00,24189255811081,1099511627809
2012-10-06 08:17:42.914+00,24189255811081,1099511627815
2012-04-02 07:11:37.627+00,10995116277782,893353197615
2011-02-21 08:36:13.174+00,10995116277782,412316860489
2011-02-16 12:12:36.12+00,10995116277782,412316860498
2012-01-15 05:10:19.139+00,10995116277782,824633720987
2012-01-15 02:19:52.721+00,10995116277782,824633720989
2012-03-16 18:38:46.35+00,10995116277782,893353197743
2012-04-16 06:48:11.296+00,10995116277782,893353197761
2012-04-20 20:25:17.328+00,10995116277782,893353197774
2012-04-20 22:50:32.502+00,26388279066668,893353197774
2011-07-27 23:07:50.382+00,10995116277782,618475290844
2011-03-20 22:11:18.989+00,10995116277782,481036337415
2011-01-15 05:41:50.324+00,10995116277782,412316860684
2011-10-22 16:11:18.094+00,10995116277782,687194767646
2011-10-24 10:09:06.268+00,10995116277782,687194767651
2011-10-24 05:51:57.301+00,10995116277782,687194767652
2011-10-24 07:03:12.752+00,10995116277782,687194767653
2012-03-20 21:04:00.04+00,26388279066668,893353197896
2011-03-12 17:16:20.234+00,13194139533355,481036337637
2012-06-07 17:26:42.498+00,13194139533355,962072674805
2012-06-04 08:31:30.663+00,13194139533355,962072674809
2012-06-04 03:14:24.813+00,24189255811081,962072674809
2011-07-29 13:35:59.621+00,13194139533355,618475291157
2012-06-06 06:31:10.48+00,13194139533355,962072674868
2012-06-06 04:50:36.751+00,13194139533355,962072674871
2012-06-05 04:16:04.971+00,24189255811081,962072674871
2012-04-10 03:16:58.324+00,24189255811081,893353198194
2012-04-11 16:07:42.916+00,24189255811081,893353198195
2011-03-23 17:30:19.166+00,13194139533355,481036337802
2011-03-27 14:38:03.62+00,13194139533355,481036337805
