total_sum|i_category|i_class|lochierarchy|rank_within_parent
993270573.81|NULL|NULL|2|1
102216000.76|Women|NULL|1|1
101159957.71|Books|NULL|1|2
100532649.60|Shoes|NULL|1|3
99520903.78|Men|NULL|1|4
99158639.68|Children|NULL|1|5
98447992.15|Music|NULL|1|6
98270994.55|Home|NULL|1|7
97804006.54|Jewelry|NULL|1|8
97134183.99|Electronics|NULL|1|9
96336774.62|Sports|NULL|1|10
2688470.43|NULL|NULL|1|11
1407142.77|NULL|NULL|0|1
94851.96|NULL|fragrances|0|2
90294.52|NULL|shirts|0|3
84177.81|NULL|tennis|0|4
76901.43|NULL|scanners|0|5
74563.61|NULL|bracelets|0|6
73363.64|NULL|pants|0|7
68754.82|NULL|womens|0|8
66378.71|NULL|semi-precious|0|9
64470.45|NULL|newborn|0|10
61390.39|NULL|dresses|0|11
58259.40|NULL|flatware|0|12
57765.04|NULL|guns|0|13
56950.85|NULL|sports-apparel|0|14
54807.46|NULL|swimwear|0|15
49365.50|NULL|business|0|16
48385.42|NULL|baseball|0|17
46770.55|NULL|womens watch|0|18
44352.48|NULL|glassware|0|19
40292.46|NULL|mens|0|20
38130.75|NULL|outdoor|0|21
31100.41|NULL|archery|0|22
7980172.23|Books|fiction|0|1
7604698.66|Books|history|0|2
6754921.78|Books|romance|0|3
6734907.31|Books|self-help|0|4
6684479.67|Books|arts|0|5
6444973.80|Books|computers|0|6
6188068.79|Books|science|0|7
6137489.04|Books|cooking|0|8
6122032.65|Books|reference|0|9
6090849.64|Books|sports|0|10
6002254.51|Books|home repair|0|11
5889365.08|Books|mystery|0|12
5881421.02|Books|parenting|0|13
5836316.31|Books|entertainments|0|14
5641593.35|Books|travel|0|15
4969088.99|Books|business|0|16
197324.88|Books|NULL|0|17
25937498.26|Children|infants|0|1
24853839.24|Children|toddlers|0|2
24327840.30|Children|school-uniforms|0|3
23885843.40|Children|newborn|0|4
153618.48|Children|NULL|0|5
7322632.20|Electronics|dvd/vcr players|0|1
6863327.28|Electronics|monitors|0|2
6692959.04|Electronics|portable|0|3
6549122.13|Electronics|televisions|0|4
6392904.63|Electronics|scanners|0|5
6377449.17|Electronics|disk drives|0|6
6268041.99|Electronics|stereo|0|7
6159927.41|Electronics|karoke|0|8
6144374.66|Electronics|memory|0|9
6144107.16|Electronics|wireless|0|10
5892401.12|Electronics|camcorders|0|11
5758328.70|Electronics|cameras|0|12
5720134.32|Electronics|automotive|0|13
5336198.14|Electronics|personal|0|14
4817281.55|Electronics|musical|0|15
4633520.93|Electronics|audio|0|16
61473.56|Electronics|NULL|0|17
7456255.68|Home|bedding|0|1
7366937.93|Home|flatware|0|2
6797030.19|Home|tables|0|3
6527724.16|Home|paint|0|4
6391368.37|Home|glassware|0|5
6246557.84|Home|mattresses|0|6
6182079.99|Home|curtains/drapes|0|7
6091279.50|Home|bathroom|0|8
6048852.32|Home|kids|0|9
5880912.56|Home|blinds/shades|0|10
5783620.45|Home|accent|0|11
5706602.69|Home|rugs|0|12
5657019.61|Home|lighting|0|13
5621055.52|Home|furniture|0|14
5275307.38|Home|decor|0|15
5157892.67|Home|wallpaper|0|16
80497.69|Home|NULL|0|17
7259887.99|Jewelry|womens watch|0|1
7048212.09|Jewelry|jewelry boxes|0|2
6974039.52|Jewelry|gold|0|3
6642968.25|Jewelry|pendants|0|4
6492306.44|Jewelry|earings|0|5
6487579.49|Jewelry|diamonds|0|6
6398637.58|Jewelry|mens watch|0|7
6342059.23|Jewelry|estate|0|8
6221260.82|Jewelry|rings|0|9
6204026.09|Jewelry|custom|0|10
