item_id|ss_item_rev|ss_dev|cs_item_rev|cs_dev|ws_item_rev|ws_dev|average
AAAAAAAAABCEAAAA|4642.43|105.17290073914765|4357.80|98.72469091425344|4242.05|96.10240834659893|4414.093333333333
AAAAAAAACNKDAAAA|1261.40|101.54346496076938|1192.32|95.9824830680391|1272.96|102.47405197119153|1242.2266666666667
AAAAAAAAEBNBAAAA|7699.70|98.07214909925077|7558.36|96.2718818740747|8295.11|105.65596902667455|7851.056666666666
AAAAAAAAEDBDAAAA|5850.71|97.62046321545586|6039.11|100.76396123019113|6090.15|101.61557555435297|5993.323333333334
AAAAAAAAGCFEAAAA|7700.80|98.2212742184886|8001.00|102.0502304984063|7818.97|99.7284952831051|7840.256666666667
AAAAAAAAGDFDAAAA|9470.01|98.21508701066226|9887.26|102.54245784292102|9569.07|99.24245514641673|9642.113333333333
AAAAAAAAGHAAAAAA|10286.76|104.71313408384984|9809.90|99.85898125835136|9374.60|95.42788465779883|9823.753333333332
AAAAAAAAGHDEAAAA|5544.66|100.41381358648702|5675.00|102.77427147982272|5345.77|96.81191493369022|5521.81
AAAAAAAAIJLEAAAA|4894.92|103.50484334460381|4518.28|95.54065512552941|4774.31|100.95450152986677|4729.17
AAAAAAAAIMPAAAAA|3899.59|97.5332335666318|3871.68|96.83517234767166|4223.38|105.63159408569653|3998.2166666666667
AAAAAAAAINCFAAAA|2390.82|100.99026630039158|2425.15|102.44039464217074|2286.16|96.5693390574377|2367.3766666666666
AAAAAAAAJOJFAAAA|5287.20|101.88670519043055|4943.44|95.26229647196664|5337.24|102.8509983376028|5189.293333333333
AAAAAAAAMBHCAAAA|9882.97|95.04759767581646|10495.50|100.93848928070528|10815.28|104.01391304347827|10397.916666666666
AAAAAAAAMGBHAAAA|8057.44|101.53071103739137|8022.67|101.0925789727691|7727.78|97.37670998983951|7935.963333333333
AAAAAAAANEBEAAAA|9861.13|102.61150698843724|9331.43|97.09963205607399|9637.92|100.28886095548877|9610.16
AAAAAAAAPFAIAAAA|3093.73|106.15870292528096|2833.46|97.22776014411942|2815.56|96.61353693059964|2914.25
