brand_id|brand|ext_price
1001001|"amalgamalg #1"|301171.80
5001001|"amalgscholar #1"|297395.55
5002001|"importoscholar #1"|292981.97
5003001|"exportischolar #1"|218228.09
4001001|"amalgedu pack #1"|210200.59
2001001|"amalgimporto #1"|205273.96
5004001|"edu packscholar #1"|193948.42
2004001|"edu packimporto #1"|181324.78
1002001|"importoamalg #1"|174583.94
5003002|"exportischolar #2"|163460.89
1004001|"edu packamalg #1"|161072.14
3001001|"amalgexporti #1"|157980.74
4003001|"exportiedu pack #1"|156205.90
3003001|"exportiexporti #1"|139508.98
2003001|"exportiimporto #1"|124995.77
4002001|"importoedu pack #1"|113014.54
4001002|"amalgedu pack #2"|103703.14
1001002|"amalgamalg #2"|101245.43
1004002|"edu packamalg #2"|100846.99
4003002|"exportiedu pack #2"|95991.26
1003002|"exportiamalg #2"|94374.85
5001002|"amalgscholar #2"|94304.29
5004002|"edu packscholar #2"|92623.02
1002002|"importoamalg #2"|92592.11
2004002|"edu packimporto #2"|89946.55
10016003|"corpamalgamalg #3"|81106.00
2003002|"exportiimporto #2"|78928.86
4004001|"edu packedu pack #1"|76344.34
2002001|"importoimporto #1"|76122.47
3001002|"amalgexporti #2"|73301.10
8006008|"corpnameless #8"|72958.72
3003002|"exportiexporti #2"|71927.96
1003001|"exportiamalg #1"|70175.96
9002009|"importomaxi #9"|64155.57
10003016|"exportiunivamalg #16"|62777.68
2001002|"amalgimporto #2"|61752.46
3002001|"importoexporti #1"|60888.18
8009003|"maxinameless #3"|59616.76
9005011|"scholarmaxi #11"|58201.61
5002002|"importoscholar #2"|57960.48
6009004|"maxicorp #4"|57822.11
7014006|"edu packnameless #6"|53012.43
7015007|"scholarnameless #7"|52948.71
9016003|"corpunivamalg #3"|51811.25
10004001|"edu packunivamalg #1"|50899.69
7003002|"exportibrand #2"|49582.33
10012012|"importoamalgamalg #12"|49053.14
10006003|"corpunivamalg #3"|47022.07
10014016|"edu packamalgamalg #16"|46642.80
6002001|"importocorp #1"|46413.93
6014008|"edu packbrand #8"|46355.40
6005003|"scholarcorp #3"|45952.45
8011009|"amalgmaxi #9"|45707.87
9014002|"edu packunivamalg #2"|45096.07
10001014|"amalgunivamalg #14"|42389.12
7014008|"edu packnameless #8"|42259.93
9005002|"scholarmaxi #2"|42253.00
3002002|"importoexporti #2"|42213.65
9008008|"namelessmaxi #8"|42107.25
10005017|"scholarunivamalg #17"|42008.07
6009003|"maxicorp #3"|39899.86
6006002|"corpcorp #2"|39765.04
9014005|"edu packunivamalg #5"|38713.01
6002003|"importocorp #3"|38518.19
6003003|"exporticorp #3"|38200.58
9013009|"exportiunivamalg #9"|38134.40
6008001|"namelesscorp #1"|37904.94
7015002|"scholarnameless #2"|37184.68
6014007|"edu packbrand #7"|36437.57
7002004|"importobrand #4"|36249.38
10005001|"scholarunivamalg #1"|35866.82
10005007|"scholarunivamalg #7"|35830.03
8015005|"scholarmaxi #5"|35822.16
6008008|"namelesscorp #8"|35815.19
10007006|"brandunivamalg #6"|35707.13
10008009|"namelessunivamalg #9"|35534.36
10009006|"maxiunivamalg #6"|35523.35
4002002|"importoedu pack #2"|35248.70
9001003|"amalgmaxi #3"|35016.26
8004003|"edu packnameless #3"|34813.03
6014005|"edu packbrand #5"|34799.37
10011013|"amalgamalgamalg #13"|34580.00
10015011|"scholaramalgamalg #11"|33239.26
7003001|"exportibrand #1"|32967.70
10013011|"exportiamalgamalg #11"|32860.38
10003013|"exportiunivamalg #13"|32412.41
10001009|"amalgunivamalg #9"|31947.52
8010007|"univmaxi #7"|31922.53
6016005|"corpbrand #5"|31876.96
9016002|"corpunivamalg #2"|31746.43
8006009|"corpnameless #9"|31143.04
7008001|"namelessbrand #1"|31001.70
6003006|"exporticorp #6"|30808.13
10015001|"scholaramalgamalg #1"|29693.90
8009007|"maxinameless #7"|29639.21
6008004|"namelesscorp #4"|29599.92
10006017|"corpunivamalg #17"|28859.09
6013005|"exportibrand #5"|28843.50
9003003|"exportimaxi #3"|28806.22
6011001|"amalgbrand #1"|28359.77
