d_year|brand_id|brand|sum_agg
1998|2001001|"amalgimporto #1"|81271.31
1998|3004001|"edu packexporti #1"|57695.22
1998|6010003|"univbrand #3"|50061.27
1998|1003001|"exportiamalg #1"|47843.50
1998|3002001|"importoexporti #1"|47768.52
1998|2004002|"edu packimporto #2"|46976.52
1998|10001002|"amalgunivamalg #2"|45277.22
1998|8001009|"amalgnameless #9"|41963.85
1998|5001001|"amalgscholar #1"|40698.75
1998|6014001|"edu packbrand #1"|37743.52
1998|6004008|"edu packcorp #8"|36389.82
1998|7003009|"exportibrand #9"|36294.25
1998|10010002|"univamalgamalg #2"|35674.48
1998|7008010|"namelessbrand #10"|35151.30
1998|8011009|"amalgmaxi #9"|35146.68
1998|4003001|"exportiedu pack #1"|34990.06
1998|5003001|"exportischolar #1"|30759.71
1998|7003002|"exportibrand #2"|30678.42
1998|3001002|"amalgexporti #2"|30187.26
1998|3001001|"amalgexporti #1"|29322.45
1998|7007010|"brandbrand #10"|29181.35
1998|1004001|"edu packamalg #1"|28806.28
1998|1001002|"amalgamalg #2"|27591.82
1998|5004001|"edu packscholar #1"|26604.86
1998|7009008|"maxibrand #8"|24646.64
1998|4003002|"exportiedu pack #2"|24455.33
1998|1003002|"exportiamalg #2"|23591.35
1998|5003002|"exportischolar #2"|21006.20
1998|9005009|"scholarmaxi #9"|16199.09
1998|2004001|"edu packimporto #1"|14974.68
1998|3003001|"exportiexporti #1"|11102.08
1998|2002002|"importoimporto #2"|10091.62
1999|3004001|"edu packexporti #1"|73865.83
1999|1003001|"exportiamalg #1"|68841.86
1999|5003001|"exportischolar #1"|62127.53
1999|2001001|"amalgimporto #1"|41091.02
1999|7007010|"brandbrand #10"|39078.99
1999|5003002|"exportischolar #2"|37539.06
1999|1004001|"edu packamalg #1"|36837.70
1999|9005009|"scholarmaxi #9"|35695.93
1999|7003009|"exportibrand #9"|35569.36
1999|6004008|"edu packcorp #8"|35433.24
1999|3002001|"importoexporti #1"|34666.85
1999|4003002|"exportiedu pack #2"|34452.46
1999|10010002|"univamalgamalg #2"|33843.81
1999|6010003|"univbrand #3"|32127.09
1999|3001001|"amalgexporti #1"|31903.24
1999|8001009|"amalgnameless #9"|31892.50
1999|2002002|"importoimporto #2"|22975.44
1999|5004001|"edu packscholar #1"|22899.76
1999|1003002|"exportiamalg #2"|20933.52
1999|6014001|"edu packbrand #1"|20508.23
1999|7008010|"namelessbrand #10"|20174.18
1999|7009008|"maxibrand #8"|17839.98
1999|2004001|"edu packimporto #1"|17713.42
1999|4003001|"exportiedu pack #1"|16746.37
1999|10001002|"amalgunivamalg #2"|16198.85
1999|8011009|"amalgmaxi #9"|16099.70
1999|2004002|"edu packimporto #2"|14013.74
1999|3001002|"amalgexporti #2"|12719.55
1999|1001002|"amalgamalg #2"|10468.81
1999|5001001|"amalgscholar #1"|10282.73
1999|7003002|"exportibrand #2"|9815.73
1999|3003001|"exportiexporti #1"|8373.95
2000|5003001|"amalgunivamalg #2"|69751.40
2000|3001002|"amalgexporti #2"|52490.73
2000|1003001|"exportiamalg #1"|51995.22
2000|1003002|"exportiamalg #2"|45675.46
2000|10008017|"namelessunivamalg #17"|45131.57
2000|2001001|"amalgimporto #1"|43633.97
2000|5004001|"edu packscholar #1"|41672.26
2000|3003001|"exportiexporti #1"|39941.54
2000|7008010|"namelessbrand #10"|35602.72
2000|2004002|"edu packimporto #2"|33511.53
2000|8001009|"importoexporti #2"|32861.93
2000|9005009|"scholarmaxi #9"|32012.20
2000|7009008|"maxibrand #8"|31819.80
2000|2002002|"importoimporto #2"|31283.41
2000|6010003|"univbrand #3"|30928.32
2000|7003002|"exportibrand #2"|30882.72
2000|3004001|"edu packexporti #1"|28274.31
2000|4003001|"exportiedu pack #1"|27380.59
2000|3002001|"importoexporti #1"|25063.84
2000|2004001|"edu packamalg #2"|24876.75
2000|9006006|"corpmaxi #6"|20014.67
2000|5003002|"exportischolar #2"|17717.17
2000|6004008|"edu packcorp #8"|16472.70
2000|1004001|"edu packamalg #1"|15458.18
2000|10001002|"amalgunivamalg #2"|14994.21
2000|1001002|"amalgamalg #2"|13660.62
2000|6012002|"importobrand #2"|13390.89
2000|3001001|"amalgexporti #1"|13282.90
2000|4003002|"exportiedu pack #2"|10170.50
2000|7007010|"brandbrand #10"|9695.87
2000|7003009|"exportibrand #9"|8700.40
2001|1003002|"exportiamalg #2"|67070.03
2001|1001002|"amalgamalg #2"|45350.93
2001|7011010|"amalgnameless #10"|40327.52
2001|3001002|"amalgexporti #2"|38598.92
2001|5004001|"edu packunivamalg #8"|36328.32
