i_category|i_brand|cc_name|d_year|d_moy|avg_monthly_sales|sum_sales|psum|nsum
Shoes|"importoedu pack #1"|Pacific Northwest|1999|2|11213.8825|4171.28|6205.13|6633.44
Music|"edu packscholar #1"|North Midwest|1999|2|11673.295833333334|4686.25|7400.46|7057.83
Men|"edu packimporto #1"|Hawaii/Alaska|1999|2|10928.743333333334|4113.61|6538.21|5960.89
Men|"edu packimporto #1"|North Midwest|1999|4|10535.739166666666|3910.44|8025.37|6477.61
Shoes|"exportiedu pack #1"|California|1999|2|11304.570833333333|4748.57|7111.39|6200.70
Shoes|"importoedu pack #1"|NY Metro|1999|3|10377.325|3964.79|8217.61|5772.32
Music|"edu packscholar #1"|NY Metro|1999|6|11643.131666666666|5250.73|5908.80|6631.05
Music|"edu packscholar #1"|Hawaii/Alaska|1999|2|11563.320833333333|5209.28|7897.07|6231.56
Music|"edu packscholar #1"|Pacific Northwest|1999|3|11379.521666666667|5132.05|6207.60|7435.58
Shoes|"amalgedu pack #1"|Pacific Northwest|1999|5|10444.395833333334|4215.43|9020.81|5861.45
Women|"amalgamalg #1"|California|1999|3|10155.183333333332|3940.73|5846.39|5367.33
Music|"edu packscholar #1"|NY Metro|1999|3|11643.131666666666|5476.40|6298.70|7590.45
Shoes|"exportiedu pack #1"|Pacific Northwest|1999|7|11193.6|5089.46|6143.55|15914.12
Music|"edu packscholar #1"|California|1999|6|11539.550833333333|5443.55|8366.31|6543.53
Shoes|"exportiedu pack #1"|Hawaii/Alaska|1999|3|11277.508333333333|5238.51|6143.71|7560.77
Shoes|"exportiedu pack #1"|Pacific Northwest|1999|1|11193.6|5158.24|21718.38|6015.11
Shoes|"exportiedu pack #1"|Mid Atlantic|1999|6|10819.003333333334|4804.33|6719.84|7034.55
Shoes|"importoedu pack #1"|NY Metro|1999|6|10377.325|4421.16|5858.96|6922.61
Music|"exportischolar #1"|North Midwest|1999|6|11108.32|5197.82|7400.07|6916.99
Shoes|"importoedu pack #1"|California|1999|4|10616.536666666667|4722.62|5303.48|7290.64
Music|"edu packscholar #1"|Pacific Northwest|1999|1|11379.521666666667|5506.19|24303.72|6207.60
Children|"edu packexporti #1"|Hawaii/Alaska|1999|2|9098.339166666667|3231.63|5026.30|5866.15
Men|"edu packimporto #1"|Pacific Northwest|1999|3|11166.2225|5354.13|6327.99|5811.48
Men|"importoimporto #1"|Hawaii/Alaska|1999|4|10267.8|4510.40|6910.63|6756.00
Shoes|"exportiedu pack #1"|NY Metro|1999|5|10924.031666666666|5173.17|5420.40|7466.46
Music|"edu packscholar #1"|NY Metro|1999|5|11643.131666666666|5908.80|7590.45|5250.73
Men|"edu packimporto #1"|NY Metro|1999|1|10963.441666666668|5237.24|23588.73|6850.04
Music|"edu packscholar #1"|Hawaii/Alaska|1999|7|11563.320833333333|5852.91|6115.37|14089.79
Shoes|"exportiedu pack #1"|Mid Atlantic|1999|2|10819.003333333334|5112.50|6263.61|6435.43
Women|"edu packamalg #1"|Hawaii/Alaska|1999|6|9222.745833333332|3531.07|5406.50|5567.18
Music|"edu packscholar #1"|California|1999|2|11539.550833333333|5862.51|6565.30|7960.91
Men|"exportiimporto #1"|California|1999|1|9282.098333333333|3639.29|19589.51|4793.03
Men|"edu packimporto #1"|Mid Atlantic|1999|2|10583.645833333334|4945.10|6606.30|6923.48
Men|"edu packimporto #1"|NY Metro|1999|3|10963.441666666668|5329.37|6850.04|6040.54
Women|"importoamalg #1"|Hawaii/Alaska|1999|7|10310.85|4685.10|6310.08|13537.74
Men|"amalgimporto #1"|Mid Atlantic|1999|2|10514.021666666667|4890.42|7915.61|6679.85
Shoes|"exportiedu pack #1"|North Midwest|1999|6|11452.77|5830.88|7054.63|6848.16
Men|"exportiimporto #1"|Hawaii/Alaska|1999|2|9680.559166666666|4086.61|6166.07|4992.37
Children|"exportiexporti #1"|North Midwest|1999|2|10225.091666666667|4641.68|6756.70|6422.79
Women|"exportiamalg #1"|Mid Atlantic|1999|6|8956.003333333334|3379.89|4700.63|6621.61
Women|"amalgamalg #1"|Mid Atlantic|1999|6|10744.591666666667|5186.47|5622.83|5708.03
Children|"importoexporti #1"|California|1999|4|10202.301666666666|4684.40|5870.06|5726.28
Music|"exportischolar #1"|Pacific Northwest|1999|2|10634.114166666666|5117.97|6452.51|6665.75
Shoes|"exportiedu pack #1"|NY Metro|1999|4|10924.031666666666|5420.40|7760.11|5173.17
Women|"exportiamalg #1"|California|1999|3|8776.5575|3285.86|4627.44|4515.01
Shoes|"importoedu pack #1"|Hawaii/Alaska|1999|2|10216.295|4728.24|6423.60|7645.06
Shoes|"amalgedu pack #1"|NY Metro|1999|6|10518.3475|5046.39|8156.93|6209.40
Men|"exportiimporto #1"|Mid Atlantic|1999|7|9826.796666666667|4367.96|6085.87|12770.83
Shoes|"exportiedu pack #1"|North Midwest|1999|2|11452.77|5999.17|6351.26|7614.60
Shoes|"importoedu pack #1"|California|1999|1|10616.536666666667|5165.79|20017.83|6113.96
Music|"edu packscholar #1"|Hawaii/Alaska|1999|6|11563.320833333333|6115.37|7988.27|5852.91
Music|"amalgscholar #1"|NY Metro|1999|6|9251.829166666666|3816.80|3893.42|5728.53
Children|"exportiexporti #1"|North Midwest|1999|4|10225.091666666667|4801.51|6422.79|5866.27
Shoes|"amalgedu pack #1"|Pacific Northwest|1999|3|10444.395833333334|5022.60|5098.29|9020.81
Men|"amalgimporto #1"|California|1999|3|10036.245|4615.22|5159.68|5370.23
Men|"edu packimporto #1"|Mid Atlantic|1999|6|10583.645833333334|5175.45|5391.66|6709.12
Music|"edu packscholar #1"|NY Metro|1999|1|11643.131666666666|6235.01|22852.47|6298.70
Music|"edu packscholar #1"|Mid Atlantic|1999|6|11270.494166666667|5872.12|6483.43|6164.80
Men|"exportiimporto #1"|North Midwest|1999|5|9935.0475|4551.22|5547.19|5354.08
Music|"edu packscholar #1"|North Midwest|1999|4|11673.295833333334|6302.07|7057.83|8164.09
Women|"edu packamalg #1"|California|1999|6|9579.239166666666|4215.62|6637.02|5908.93
Women|"amalgamalg #1"|North Midwest|1999|5|10137.155|4775.40|5196.79|6070.53
Music|"amalgscholar #1"|NY Metro|1999|5|9251.829166666666|3893.42|4656.15|3816.80
Men|"edu packimporto #1"|Pacific Northwest|1999|4|11166.2225|5811.48|5354.13|7181.15
Music|"exportischolar #1"|NY Metro|1999|3|10293.776666666667|4946.92|5624.63|7395.02
Shoes|"amalgedu pack #1"|Pacific Northwest|1999|2|10444.395833333334|5098.29|6069.68|5022.60
Music|"edu packscholar #1"|NY Metro|1999|2|11643.131666666666|6298.70|6235.01|5476.40
Children|"exportiexporti #1"|California|1999|7|9663.9025|4323.88|4915.16|13872.62
Music|"edu packscholar #1"|Hawaii/Alaska|1999|3|11563.320833333333|6231.56|5209.28|6415.54
Music|"importoscholar #1"|North Midwest|1999|2|9968.435|4639.82|6928.32|4958.17
Children|"importoexporti #1"|Mid Atlantic|1999|6|10034.843333333334|4711.20|6000.39|5338.19
Music|"exportischolar #1"|Pacific Northwest|1999|7|10634.114166666666|5314.65|5597.66|14196.59
Shoes|"importoedu pack #1"|California|1999|3|10616.536666666667|5303.48|6113.96|4722.62
Children|"exportiexporti #1"|Hawaii/Alaska|1999|5|10156.098333333333|4850.44|5781.13|6367.36
Men|"edu packimporto #1"|California|1999|1|10849.618333333334|5547.29|22741.12|6781.68
