ss_sold_year|ss_item_sk|ss_customer_sk|ratio|store_qty|store_wholesale_cost|store_sales_price|other_chan_qty|other_chan_wholesale_cost|other_chan_sales_price
2000|85|35743|2.55|51|23.57|13.39|20|19.65|51.98
2000|98|180350|3.53|53|19.27|32.42|15|84.59|96.15
2000|113|87342|1.51|56|81.62|3.36|37|7.94|0.11
2000|187|92917|13.67|41|5.02|4.45|3|54.25|125.25
2000|230|5741|0.04|3|9.94|8.71|85|98.45|80.80
2000|259|121311|NULL|NULL|66.50|90.54|72|52.86|86.26
2000|344|69755|0.7|56|63.78|85.23|80|27.73|30.65
2000|373|45982|0.13|10|46.86|4.40|79|65.74|169.89
2000|560|107502|0.29|13|14.59|8.46|45|76.92|106.61
2000|649|151269|21.33|64|94.85|47.42|3|43.77|16.08
2000|659|126236|0.13|10|85.93|28.87|75|98.18|92.48
2000|659|163855|1.59|65|89.98|87.54|41|34.30|9.28
2000|733|24935|0.93|43|90.14|35.58|46|1.89|0.39
2000|818|152218|8.25|33|1.93|0.21|4|68.03|7.23
2000|869|52953|0.78|46|8.39|7.58|59|32.71|78.88
2000|943|42642|1.63|80|36.01|33.50|49|68.80|128.69
2000|977|84255|1.39|32|13.57|17.85|23|4.01|0.05
2000|1033|185285|0.36|33|54.10|58.42|92|82.36|94.50
2000|1075|127435|0.42|25|84.63|45.93|60|95.25|62.40
2000|1136|89335|4.77|62|51.22|5.39|13|11.38|8.13
2000|1285|141361|0.31|23|1.84|1.48|75|87.44|111.66
2000|1355|56794|6.0|36|54.73|5.02|6|8.66|1.53
2000|1358|133700|0.78|32|96.84|103.50|41|23.86|0.00
2000|1436|17363|1.54|77|74.25|40.83|50|27.75|35.44
2000|1459|85925|7.0|63|20.22|3.07|9|14.40|15.63
2000|1472|104147|4.69|61|59.14|74.31|13|55.05|5.74
2000|1513|93505|1.43|43|70.64|11.07|30|48.65|65.24
2000|1628|151539|0.36|25|64.90|13.53|69|15.12|19.28
2000|1706|183755|0.39|34|54.95|36.92|88|49.48|35.87
2000|1729|67395|1.4|59|52.76|27.03|42|4.99|13.47
2000|1856|5722|0.04|4|23.49|16.89|99|56.91|102.95
2000|1883|159975|11.33|68|99.13|96.82|6|99.33|134.09
