w_substr|sm_type|cc_name|30 days|31-60 days|61-90 days|91-120 days|>120 days
NULL|EXPRESS|California|1573|1568|1592|0|0
NULL|EXPRESS|Hawaii/Alaska|1491|1581|1567|0|0
NULL|EXPRESS|Mid Atlantic|1598|1559|1617|0|0
NULL|EXPRESS|NY Metro|1547|1630|1668|0|0
NULL|EXPRESS|North Midwest|1573|1565|1612|0|0
NULL|EXPRESS|Pacific Northwest|1568|1600|1639|0|0
NULL|LIBRARY|California|1111|1247|1221|0|0
NULL|LIBRARY|Hawaii/Alaska|1178|1240|1280|0|0
NULL|LIBRARY|Mid Atlantic|1093|1179|1233|0|0
NULL|LIBRARY|NY Metro|1166|1160|1208|0|0
NULL|LIBRARY|North Midwest|1153|1160|1152|0|0
NULL|LIBRARY|Pacific Northwest|1196|1200|1192|0|0
NULL|NEXT DAY|California|1573|1596|1555|0|0
NULL|NEXT DAY|Hawaii/Alaska|1570|1612|1632|0|0
NULL|NEXT DAY|Mid Atlantic|1489|1573|1550|0|0
NULL|NEXT DAY|NY Metro|1528|1593|1502|0|0
NULL|NEXT DAY|North Midwest|1590|1568|1582|0|0
NULL|NEXT DAY|Pacific Northwest|1541|1639|1692|0|0
NULL|OVERNIGHT|California|1171|1238|1214|0|0
NULL|OVERNIGHT|Hawaii/Alaska|1123|1161|1201|0|0
NULL|OVERNIGHT|Mid Atlantic|1147|1180|1209|0|0
NULL|OVERNIGHT|NY Metro|1126|1184|1274|0|0
NULL|OVERNIGHT|North Midwest|1152|1193|1197|0|0
NULL|OVERNIGHT|Pacific Northwest|1128|1273|1264|0|0
NULL|REGULAR|California|1111|1259|1234|0|0
NULL|REGULAR|Hawaii/Alaska|1239|1184|1191|0|0
NULL|REGULAR|Mid Atlantic|1148|1175|1182|0|0
NULL|REGULAR|NY Metro|1160|1222|1206|0|0
NULL|REGULAR|North Midwest|1120|1224|1194|0|0
NULL|REGULAR|Pacific Northwest|1133|1195|1220|0|0
NULL|TWO DAY|California|1129|1224|1200|0|0
NULL|TWO DAY|Hawaii/Alaska|1180|1186|1230|0|0
NULL|TWO DAY|Mid Atlantic|1119|1239|1151|0|0
NULL|TWO DAY|NY Metro|1139|1183|1221|0|0
NULL|TWO DAY|North Midwest|1129|1191|1180|0|0
NULL|TWO DAY|Pacific Northwest|1147|1191|1258|0|0
Bad cards must make.|EXPRESS|California|1559|1583|1565|0|0
Bad cards must make.|EXPRESS|Hawaii/Alaska|1609|1555|1661|0|0
Bad cards must make.|EXPRESS|Mid Atlantic|1559|1596|1594|0|0
Bad cards must make.|EXPRESS|NY Metro|1584|1633|1548|0|0
Bad cards must make.|EXPRESS|North Midwest|1517|1596|1567|0|0
Bad cards must make.|EXPRESS|Pacific Northwest|1508|1632|1561|0|0
Bad cards must make.|LIBRARY|California|1167|1196|1223|0|0
Bad cards must make.|LIBRARY|Hawaii/Alaska|1202|1199|1177|0|0
Bad cards must make.|LIBRARY|Mid Atlantic|1150|1232|1207|0|0
Bad cards must make.|LIBRARY|NY Metro|1186|1188|1214|0|0
Bad cards must make.|LIBRARY|North Midwest|1169|1151|1215|0|0
Bad cards must make.|LIBRARY|Pacific Northwest|1118|1208|1198|0|0
Bad cards must make.|NEXT DAY|California|1583|1620|1706|0|0
