i_manufact_id|sum_sales|avg_quarterly_sales
134|229.18|545.365
134|381.13|545.365
134|750.83|545.365
134|820.32|545.365
133|224.28|586.5225
133|307.01|586.5225
133|781.20|586.5225
133|1033.60|586.5225
344|249.10|588.935
344|473.79|588.935
344|522.95|588.935
344|1109.90|588.935
440|149.06|595.0725
440|518.81|595.0725
440|1087.40|595.0725
37|279.03|606.36
37|328.16|606.36
37|872.43|606.36
37|945.82|606.36
619|348.56|617.455
619|532.00|617.455
619|916.98|617.455
8|438.14|633.1975
8|467.42|633.1975
8|791.46|633.1975
8|835.77|633.1975
783|242.15|640.175
783|490.06|640.175
783|1209.79|640.175
652|278.52|641.38
652|428.11|641.38
652|920.77|641.38
652|938.12|641.38
398|251.85|646.3625
398|285.75|646.3625
398|946.96|646.3625
398|1100.89|646.3625
759|282.72|650.93
759|464.09|650.93
759|516.25|650.93
759|1340.66|650.93
787|339.53|651.775
787|957.00|651.775
603|368.80|663.5725
603|542.90|663.5725
603|803.65|663.5725
603|938.94|663.5725
365|310.55|664.855
365|446.15|664.855
365|565.01|664.855
365|1337.71|664.855
107|424.30|680.6725
107|593.55|680.6725
107|1091.71|680.6725
363|287.98|681.8225
363|461.58|681.8225
363|1340.10|681.8225
165|420.07|684.315
165|544.79|684.315
165|879.85|684.315
165|892.55|684.315
527|397.92|684.9825
527|572.82|684.9825
527|819.54|684.9825
527|949.65|684.9825
221|375.98|691.56
221|432.51|691.56
221|1276.02|691.56
160|151.92|696.0725
160|1281.19|696.0725
805|269.43|696.5825
805|510.02|696.5825
805|1316.63|696.5825
798|226.69|698.6425
798|570.68|698.6425
798|624.90|698.6425
798|1372.30|698.6425
743|243.59|700.6025
743|428.93|700.6025
743|921.96|700.6025
743|1207.93|700.6025
227|242.56|703.0075
227|1249.27|703.0075
921|397.95|707.3625
921|571.16|707.3625
921|578.77|707.3625
921|1281.57|707.3625
16|311.18|709.67
16|576.31|709.67
16|905.37|709.67
16|1045.82|709.67
412|234.60|715.13
412|378.75|715.13
412|1583.23|715.13
970|302.10|717.2975
970|363.12|717.2975
970|1472.33|717.2975
455|526.46|721.6775
455|582.20|721.6775
455|1020.48|721.6775
