i_manufact_id|total_sales
930|72.16
960|1097.60
969|1455.36
790|2219.26
757|2541.99
785|2889.48
720|4718.59
773|5502.48
795|6918.10
942|7230.31
738|7412.14
965|8082.05
893|8368.78
957|8922.34
956|9103.91
713|11328.99
938|11477.68
820|11595.73
793|11697.20
887|11746.18
848|12320.69
977|12743.83
821|13166.92
899|13512.30
818|13685.75
765|13874.81
778|14381.97
696|14679.51
772|14994.30
946|15138.24
915|15642.82
891|15718.83
784|15805.24
697|16678.25
886|17103.26
698|17144.91
789|17164.09
851|17506.63
951|17642.42
910|17659.04
928|18289.65
837|18326.19
838|18650.16
766|18993.06
990|18994.64
819|19277.73
824|19384.30
913|19596.11
974|19882.48
993|19974.58
878|20923.10
806|21037.93
794|21169.94
853|21595.10
909|22051.32
870|22095.22
916|22576.90
780|22645.23
709|22881.28
842|24011.03
979|24154.59
973|24693.50
798|24708.95
816|25172.16
682|25300.63
744|25510.25
901|25527.34
797|25914.88
844|25978.02
936|26035.12
880|26525.73
756|26675.57
667|26694.07
856|26717.10
690|27315.76
811|27404.00
686|27640.38
775|28319.64
685|28678.74
933|28688.51
805|29043.28
849|29256.50
885|29305.17
826|29545.62
670|30086.68
774|30095.92
781|30739.63
758|30782.49
684|30925.62
917|31599.47
855|31693.72
934|32019.68
883|32115.07
385|32176.13
671|32274.33
922|32307.99
836|32599.27
767|32816.21
488|33004.10
841|33071.65
