gross_margin|i_category|i_class|lochierarchy|rank_within_parent
-0.43297898326317463|NULL|NULL|2|1
-0.4373337889753105|Electronics|NULL|1|1
-0.4349600910605158|Sports|NULL|1|2
-0.4343977406146232|Shoes|NULL|1|3
-0.4335947856849135|Jewelry|NULL|1|4
-0.43353140736602974|Books|NULL|1|5
-0.43238277792460084|Men|NULL|1|6
-0.4319852688609051|Music|NULL|1|7
-0.4313768572477985|Children|NULL|1|8
-0.4310451207003932|Home|NULL|1|9
-0.4300866440100832|Women|NULL|1|10
-0.4022898073908507|NULL|NULL|1|11
-0.5742826127339102|NULL|mens|0|1
-0.5244718144879043|NULL|womens|0|2
-0.5134747391749277|NULL|business|0|3
-0.4937560022220872|NULL|guns|0|4
-0.48838909451899|NULL|newborn|0|5
-0.45738454481742813|NULL|camcorders|0|6
-0.4570762119085722|NULL|dresses|0|7
-0.4295587067869283|NULL|swimwear|0|8
-0.42832657566626353|NULL|sports-apparel|0|9
-0.4254635147989692|NULL|fragrances|0|10
-0.4207335290109544|NULL|pants|0|11
-0.40903360411219697|NULL|kids|0|12
-0.3980193230045145|NULL|semi-precious|0|13
-0.3945344393914605|NULL|NULL|0|14
-0.324367402244272|NULL|scanners|0|15
-0.3214028692797632|NULL|glassware|0|16
-0.31277473890475216|NULL|archery|0|17
-0.2429254102640032|NULL|womens watch|0|18
-0.23808025389107657|NULL|flatware|0|19
-0.45993397555448257|Books|business|0|1
-0.44813901516214716|Books|romance|0|2
-0.4440693075994756|Books|parenting|0|3
-0.44248528049184427|Books|reference|0|4
-0.4401148301836375|Books|arts|0|5
-0.4395901297957246|Books|cooking|0|6
-0.4363382017236834|Books|travel|0|7
-0.43560628830207604|Books|entertainments|0|8
-0.4334319444204568|Books|computers|0|9
-0.43319624188620454|Books|mystery|0|10
-0.43106296641093994|Books|history|0|11
-0.42994058107811195|Books|fiction|0|12
-0.4293551952811046|Books|home repair|0|13
-0.41605660873595407|Books|sports|0|14
-0.4138481482101403|Books|self-help|0|15
-0.41362107350705446|Books|science|0|16
-0.3688314034002359|Books|NULL|0|17
-0.4430733221811418|Children|school-uniforms|0|1
-0.43196321589343945|Children|toddlers|0|2
-0.4296915382521416|Children|newborn|0|3
-0.42128485099984947|Children|infants|0|4
-0.32787699695533684|Children|NULL|0|5
-0.46296642806023314|Electronics|karoke|0|1
-0.4588902415893304|Electronics|wireless|0|2
-0.45365150221324346|Electronics|musical|0|3
-0.44882044277164884|Electronics|stereo|0|4
-0.4474130292853143|Electronics|automotive|0|5
-0.44492216860718414|Electronics|disk drives|0|6
-0.4419602666809592|Electronics|camcorders|0|7
-0.43627945600497847|Electronics|portable|0|8
-0.43355503517813854|Electronics|televisions|0|9
-0.4331002507563508|Electronics|audio|0|10
-0.4296848057902108|Electronics|monitors|0|11
-0.42959200801973757|Electronics|memory|0|12
-0.4277747322501493|Electronics|dvd/vcr players|0|13
-0.4220089319671827|Electronics|cameras|0|14
-0.4189367802977663|Electronics|personal|0|15
-0.4176920476330911|Electronics|scanners|0|16
-0.4156019074701774|Electronics|NULL|0|17
-0.4508414177726271|Home|paint|0|1
-0.4479085167101121|Home|bedding|0|2
-0.4465489652661883|Home|flatware|0|3
-0.44648990790508447|Home|bathroom|0|4
-0.4381837648187625|Home|blinds/shades|0|5
-0.43291951826483366|Home|accent|0|6
-0.4316237911514834|Home|glassware|0|7
-0.4277479350508651|Home|tables|0|8
-0.4274127144538937|Home|decor|0|9
-0.4250921493500373|Home|wallpaper|0|10
-0.42439837885827036|Home|lighting|0|11
-0.4230286624181197|Home|curtains/drapes|0|12
-0.42234780002558403|Home|rugs|0|13
-0.42168684370954135|Home|furniture|0|14
-0.41496214208392|Home|mattresses|0|15
-0.4111146314346797|Home|kids|0|16
-0.4064255569247961|Home|NULL|0|17
-0.6436842082417619|Jewelry|NULL|0|1
-0.4494060197464181|Jewelry|consignment|0|2
-0.44635832639487893|Jewelry|mens watch|0|3
-0.4424056675454565|Jewelry|gold|0|4
-0.4411522848187419|Jewelry|estate|0|5
-0.44067400588511996|Jewelry|pendants|0|6
-0.4406141255483141|Jewelry|birdal|0|7
-0.44023199323486656|Jewelry|jewelry boxes|0|8
-0.43585969498480265|Jewelry|rings|0|9
-0.4356941036116287|Jewelry|loose stones|0|10
-0.43215662523894294|Jewelry|custom|0|11
-0.430022235341393|Jewelry|costume|0|12
-0.4270656999848804|Jewelry|diamonds|0|13
