i_manager_id|sum_sales|avg_monthly_sales
1|1573.45|3514.19
1|1890.51|3514.19
1|1941.10|3514.19
1|2022.86|3514.19
1|2267.22|3514.19
1|2281.90|3514.19
1|3104.74|3514.19
1|4591.83|3514.19
1|4640.28|3514.19
1|6944.22|3514.19
1|7079.21|3514.19
2|702.96|1600.7908333333332
2|707.12|1600.7908333333332
2|772.19|1600.7908333333332
2|842.79|1600.7908333333332
2|921.42|1600.7908333333332
2|979.75|1600.7908333333332
2|1416.53|1600.7908333333332
2|1908.36|1600.7908333333332
2|2320.95|1600.7908333333332
2|2397.10|1600.7908333333332
2|2750.36|1600.7908333333332
2|3489.96|1600.7908333333332
3|2021.63|4336.785
3|2085.64|4336.785
3|2118.30|4336.785
3|2142.03|4336.785
3|2160.55|4336.785
3|2651.68|4336.785
3|2986.06|4336.785
3|5322.31|4336.785
3|5903.01|4336.785
3|6634.46|4336.785
3|8328.67|4336.785
3|9687.08|4336.785
4|743.88|2176.9525
4|908.93|2176.9525
4|1101.48|2176.9525
4|1128.58|2176.9525
4|1213.24|2176.9525
4|1521.87|2176.9525
4|2590.67|2176.9525
4|3164.69|2176.9525
4|3504.43|2176.9525
4|3651.19|2176.9525
4|4414.38|2176.9525
5|1604.50|3975.3816666666667
5|1929.29|3975.3816666666667
5|2170.86|3975.3816666666667
5|2315.37|3975.3816666666667
5|2391.46|3975.3816666666667
5|2435.84|3975.3816666666667
5|2651.97|3975.3816666666667
5|5315.11|3975.3816666666667
5|5935.67|3975.3816666666667
5|8318.59|3975.3816666666667
5|8934.16|3975.3816666666667
6|1270.41|3320.86
6|1412.63|3320.86
6|1777.07|3320.86
6|1788.67|3320.86
6|2179.31|3320.86
6|2484.90|3320.86
6|3723.77|3320.86
6|4073.13|3320.86
6|4178.75|3320.86
6|6875.69|3320.86
6|6907.05|3320.86
7|1352.36|2974.6375
7|1671.70|2974.6375
7|1739.32|2974.6375
7|1796.40|2974.6375
7|1848.44|2974.6375
7|2031.74|2974.6375
7|2362.22|2974.6375
7|3665.08|2974.6375
7|4873.23|2974.6375
7|5331.63|2974.6375
7|5956.95|2974.6375
8|1927.70|5430.115833333333
8|2412.47|5430.115833333333
8|2552.64|5430.115833333333
8|2757.99|5430.115833333333
8|3719.78|5430.115833333333
8|3831.71|5430.115833333333
8|3846.82|5430.115833333333
8|7330.83|5430.115833333333
8|7370.30|5430.115833333333
8|7523.52|5430.115833333333
8|10636.33|5430.115833333333
8|11251.30|5430.115833333333
9|1550.29|3464.135
9|1806.66|3464.135
9|2000.51|3464.135
9|2160.62|3464.135
9|2246.23|3464.135
9|2340.64|3464.135
9|2711.24|3464.135
9|4058.52|3464.135
9|4282.72|3464.135
