c_last_name|c_first_name|sales
NULL|NULL|193.62
NULL|NULL|17405.43
NULL|Frank|4635.63
NULL|Leo|3504.64
Allen|Max|7705.92
Artis|Joshua|5309.55
Ayala|Kristin|9863.62
Baker|Joshua|2748.33
Baughman|Earl|7030.18
Beaver|Tawanna|513.04
Beckett|Heather|1910.25
Bishop|Matthew|8697.48
Brunson|Heather|3216.56
Bullock|Dawne|11760.98
Butler|Christi|144.00
Carr|Floyd|495.04
Carter|Jeremy|1966.90
Clark|Valerie|2161.32
Coker|Tawanda|3544.32
Cole|Steven|10048.50
Coleman|Ella|2679.60
Cortez|Michelle|15128.14
Cousins|Linda|777.40
Coyle|Liza|6134.28
Culpepper|Dianne|3629.76
Deal|Gregg|2011.64
Duke|James|3912.30
Durham|Julia|9790.06
Easter|Thomas|728.00
Estes|Patsy|25463.76
Evans|Cindy|14091.30
Forrest|Evelyn|17455.68
Fox|Margaret|9903.00
Freeman|Sean|4555.44
Gross|Michelle|2814.24
Hansen|Matilda|8375.95
Hardy|Brenda|1706.55
Henderson|Velvet|1488.84
Heredia|Glenn|1545.80
Hernandez|Andre|6735.40
Huddleston|Arnold|1416.57
Jackson|Mable|2102.52
Keller|Ethel|9892.53
Kelly|NULL|2236.05
Kinsey|Jason|18275.40
Kline|Claire|1652.28
Landrum|Adrian|945.10
Leal|Mark|3916.77
Lee|Stacie|371.10
Leonard|John|3954.86
Leonard|Mara|2068.20
Leung|Hannah|16295.28
Lopez|Ruben|13526.10
Mann|Johnny|305.68
Mcbride|Dawn|341.60
Mccall|Patrick|2436.72
Mccallister|Elaine|7665.87
Mcclain|Jolene|2208.81
Mccray|Jim|6283.20
Mcdaniel|Renna|119.82
Mercado|John|633.95
Miller|Bobby|5333.26
Miller|Paula|3365.60
Morris|Jeanette|18983.82
Morris|Robert|7024.82
Moss|Emilio|944.48
Noland|Carlos|321.76
Nutt|Benjamin|8213.40
Pace|Howard|3601.50
Payton|Jasmine|6095.88
Pease|Richard|2650.88
Purvis|Dawn|2940.28
Reyes|John|1900.00
Rider|Donald|9791.83
Rodriguez|Mike|15207.82
Sanchez|Celestine|1793.52
Saucier|Richard|4297.82
Sells|John|9494.52
Shanks|Ronald|670.13
Shepherd|Karen|4136.04
Singleton|Carl|6137.95
Smith|Roy|2502.86
Soto|Edward|2897.29
Storey|Kenneth|3369.24
Sumner|Robert|1664.96
Taylor|Roberta|16734.02
Tellez|Diane|19373.40
Thomas|Douglas|6735.30
Tompkins|Brenda|13846.62
Tovar|Jenna|7510.38
Treadway|June|6180.89
Turner|Michael|7328.79
Weller|Yesenia|3563.25
Wilbanks|Anthony|1721.12
Wilkinson|Brandon|2670.36
Williamson|Robert|10602.00
Wise|Paulette|8421.45
Wood|Howard|14361.00
Wright|Mindy|5236.55
Wyatt|Christopher|8875.50
