i_category|i_class|i_brand|s_store_name|s_company_name|d_moy|sum_sales|avg_monthly_sales
Women|dresses|"amalgamalg #1"|able|Unknown|3|7811.55|15920.951666666666
Men|shirts|"importoimporto #1"|able|Unknown|7|7758.26|15566.985
Men|shirts|"importoimporto #1"|able|Unknown|6|8347.82|15566.985
Women|dresses|"amalgamalg #1"|able|Unknown|5|8965.05|15920.951666666666
Men|shirts|"importoimporto #1"|able|Unknown|4|8660.44|15566.985
Men|shirts|"importoimporto #1"|able|Unknown|2|8810.24|15566.985
Men|shirts|"importoimporto #1"|able|Unknown|5|8816.22|15566.985
Women|dresses|"amalgamalg #1"|able|Unknown|4|9194.29|15920.951666666666
Women|dresses|"amalgamalg #1"|able|Unknown|7|9422.64|15920.951666666666
Men|shirts|"importoimporto #1"|ese|Unknown|2|4290.09|10701.850833333334
Men|shirts|"importoimporto #1"|eing|Unknown|2|3949.96|10020.288333333334
Women|dresses|"amalgamalg #1"|bar|Unknown|2|4693.14|10758.396666666667
Women|dresses|"amalgamalg #1"|able|Unknown|2|10365.15|15920.951666666666
Women|dresses|"amalgamalg #1"|eing|Unknown|4|4981.63|10490.160833333333
Women|dresses|"amalgamalg #1"|eing|Unknown|2|5061.83|10490.160833333333
Men|shirts|"importoimporto #1"|ought|Unknown|2|5054.28|10344.536666666667
Men|shirts|"importoimporto #1"|bar|Unknown|3|4976.22|10265.495833333332
Women|dresses|"amalgamalg #1"|bar|Unknown|5|5487.45|10758.396666666667
Women|dresses|"amalgamalg #1"|ought|Unknown|4|5232.27|10499.4825
Women|dresses|"amalgamalg #1"|able|Unknown|6|10685.48|15920.951666666666
Men|shirts|"importoimporto #1"|bar|Unknown|2|5056.79|10265.495833333332
Men|shirts|"importoimporto #1"|able|Unknown|1|10400.76|15566.985
Men|shirts|"importoimporto #1"|cally|Unknown|3|5004.08|10146.425
Men|shirts|"importoimporto #1"|ought|Unknown|6|5268.97|10344.536666666667
Men|shirts|"importoimporto #1"|eing|Unknown|4|5013.47|10020.288333333334
Women|dresses|"amalgamalg #1"|bar|Unknown|4|5763.96|10758.396666666667
Men|shirts|"importoimporto #1"|ese|Unknown|7|5738.88|10701.850833333334
Women|dresses|"amalgamalg #1"|eing|Unknown|7|5561.87|10490.160833333333
Men|shirts|"importoimporto #1"|bar|Unknown|4|5475.56|10265.495833333332
Men|shirts|"importoimporto #1"|cally|Unknown|2|5405.87|10146.425
Women|dresses|"amalgamalg #1"|ese|Unknown|5|5537.32|10265.328333333333
Men|shirts|"importoimporto #1"|eing|Unknown|6|5384.96|10020.288333333334
Men|shirts|"importoimporto #1"|ought|Unknown|4|5738.28|10344.536666666667
Men|shirts|"importoimporto #1"|eing|Unknown|5|5442.97|10020.288333333334
Women|dresses|"amalgamalg #1"|ought|Unknown|3|5935.17|10499.4825
Men|shirts|"importoimporto #1"|ese|Unknown|6|6138.92|10701.850833333334
Women|dresses|"amalgamalg #1"|cally|Unknown|2|5713.22|10239.558333333332
Women|dresses|"amalgamalg #1"|ese|Unknown|6|5744.98|10265.328333333333
Women|dresses|"amalgamalg #1"|ought|Unknown|5|6023.87|10499.4825
Women|dresses|"amalgamalg #1"|ese|Unknown|2|5807.11|10265.328333333333
Women|dresses|"amalgamalg #1"|ese|Unknown|4|5831.40|10265.328333333333
Women|dresses|"amalgamalg #1"|bar|Unknown|7|6325.60|10758.396666666667
Women|dresses|"amalgamalg #1"|ought|Unknown|2|6164.54|10499.4825
Women|dresses|"amalgamalg #2"|able|Unknown|4|3915.92|8220.664166666667
Women|dresses|"amalgamalg #1"|cally|Unknown|4|5975.71|10239.558333333332
Men|shirts|"importoimporto #2"|able|Unknown|2|3273.84|7516.636666666666
Men|shirts|"importoimporto #1"|eing|Unknown|7|5809.78|10020.288333333334
Men|shirts|"importoimporto #1"|ese|Unknown|3|6517.12|10701.850833333334
Women|dresses|"amalgamalg #1"|cally|Unknown|5|6068.01|10239.558333333332
Men|shirts|"importoimporto #1"|eing|Unknown|3|5873.92|10020.288333333334
Men|shirts|"importoimporto #1"|cally|Unknown|4|6006.98|10146.425
Women|dresses|"amalgamalg #1"|cally|Unknown|3|6120.16|10239.558333333332
Men|shirts|"importoimporto #1"|ought|Unknown|3|6249.92|10344.536666666667
Women|dresses|"amalgamalg #1"|ese|Unknown|7|6216.45|10265.328333333333
Men|shirts|"importoimporto #1"|ought|Unknown|7|6303.11|10344.536666666667
Women|dresses|"amalgamalg #1"|able|Unknown|1|11902.97|15920.951666666666
Women|dresses|"amalgamalg #1"|bar|Unknown|6|6756.27|10758.396666666667
Women|dresses|"amalgamalg #1"|ought|Unknown|6|6504.91|10499.4825
Women|dresses|"amalgamalg #1"|ought|Unknown|7|6541.54|10499.4825
Women|dresses|"amalgamalg #1"|eing|Unknown|6|6577.83|10490.160833333333
Women|dresses|"amalgamalg #2"|able|Unknown|3|4313.16|8220.664166666667
Men|shirts|"importoimporto #1"|able|Unknown|3|11666.11|15566.985
Men|shirts|"importoimporto #1"|bar|Unknown|6|6386.24|10265.495833333332
Men|shirts|"importoimporto #2"|able|Unknown|3|3702.18|7516.636666666666
Men|shirts|"importoimporto #1"|cally|Unknown|7|6339.41|10146.425
Men|shirts|"importoimporto #2"|able|Unknown|4|3741.30|7516.636666666666
Women|dresses|"amalgamalg #1"|cally|Unknown|7|6471.29|10239.558333333332
Men|shirts|"importoimporto #1"|bar|Unknown|5|6558.60|10265.495833333332
Men|shirts|"importoimporto #1"|bar|Unknown|7|6573.37|10265.495833333332
Women|dresses|"amalgamalg #1"|bar|Unknown|3|7098.08|10758.396666666667
Men|shirts|"importoimporto #1"|ese|Unknown|4|7110.49|10701.850833333334
Women|dresses|"amalgamalg #2"|able|Unknown|7|4651.67|8220.664166666667
Men|shirts|"importoimporto #1"|ese|Unknown|5|7166.86|10701.850833333334
Women|dresses|"amalgamalg #1"|ese|Unknown|3|6739.85|10265.328333333333
Women|dresses|"amalgamalg #2"|able|Unknown|5|4755.13|8220.664166666667
Women|dresses|"amalgamalg #1"|eing|Unknown|3|7130.94|10490.160833333333
Men|shirts|"importoimporto #2"|ought|Unknown|4|1554.48|4858.6258333333335
Women|dresses|"amalgamalg #1"|cally|Unknown|6|6938.04|10239.558333333332
Men|shirts|"importoimporto #1"|cally|Unknown|6|6856.30|10146.425
Women|dresses|"amalgamalg #1"|eing|Unknown|5|7204.75|10490.160833333333
Men|shirts|"importoimporto #1"|ought|Unknown|1|7105.32|10344.536666666667
Men|shirts|"importoimporto #2"|able|Unknown|6|4354.26|7516.636666666666
Women|dresses|"amalgamalg #1"|eing|Unknown|1|7362.95|10490.160833333333
Women|dresses|"amalgamalg #2"|able|Unknown|2|5125.71|8220.664166666667
Women|dresses|"amalgamalg #1"|ese|Unknown|1|7194.00|10265.328333333333
Women|dresses|"amalgamalg #1"|n st|Unknown|3|2432.12|5487.594166666667
Men|shirts|"importoimporto #2"|able|Unknown|7|4501.08|7516.636666666666
Women|dresses|"amalgamalg #2"|eing|Unknown|7|2671.50|5682.2125
Women|dresses|"amalgamalg #2"|eing|Unknown|6|2692.85|5682.2125
Women|dresses|"amalgamalg #2"|eing|Unknown|2|2702.65|5682.2125
Women|dresses|"amalgamalg #2"|cally|Unknown|6|2336.67|5302.283333333334
Women|dresses|"amalgamalg #1"|bar|Unknown|1|7817.54|10758.396666666667
Women|dresses|"amalgamalg #2"|bar|Unknown|2|2807.90|5744.231666666667
Women|dresses|"amalgamalg #2"|ought|Unknown|4|2373.59|5295.8775
Men|shirts|"importoimporto #2"|eing|Unknown|2|2246.69|5113.019166666667
Women|dresses|"amalgamalg #1"|cally|Unknown|1|7387.28|10239.558333333332
Men|shirts|"importoimporto #1"|n st|Unknown|2|2275.70|5124.645
Men|shirts|"importoimporto #1"|bar|Unknown|1|7425.19|10265.495833333332
Men|shirts|"importoimporto #1"|cally|Unknown|5|7306.61|10146.425
Men|shirts|"importoimporto #2"|able|Unknown|5|4686.22|7516.636666666666
