i_category|i_class|i_brand|i_product_name|d_year|d_qoy|d_moy|s_store_id|sumsales|rk
NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|470890.73|5
NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|1590105.81|4
NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|4279532.17|3
NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|8394610.98|2
NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|3045004277.82|1
NULL|NULL|NULL|NULL|2000|NULL|NULL|NULL|470890.73|5
NULL|NULL|NULL|NULL|2000|4|NULL|NULL|222168.86|19
NULL|NULL|NULL|ablepriablebarought|NULL|NULL|NULL|NULL|167120.32|93
NULL|NULL|NULL|ablepriablebarought|2000|NULL|NULL|NULL|167120.32|93
NULL|NULL|NULL|antiationeinganti|NULL|NULL|NULL|NULL|162582.33|98
NULL|NULL|NULL|antiationeinganti|2000|NULL|NULL|NULL|162582.33|98
NULL|NULL|NULL|antiprioughtn stable|NULL|NULL|NULL|NULL|197853.21|27
NULL|NULL|NULL|antiprioughtn stable|2000|NULL|NULL|NULL|197853.21|27
NULL|NULL|"amalgamalgamalg #1"|NULL|NULL|NULL|NULL|NULL|188193.62|38
NULL|NULL|"amalgamalgamalg #1"|priantieseablepri|NULL|NULL|NULL|NULL|188193.62|38
NULL|NULL|"amalgamalgamalg #1"|priantieseablepri|2000|NULL|NULL|NULL|188193.62|38
NULL|NULL|"brandmaxi #2"|NULL|NULL|NULL|NULL|NULL|187584.57|41
NULL|NULL|"brandmaxi #2"|oughteingought|NULL|NULL|NULL|NULL|187584.57|41
NULL|NULL|"brandmaxi #2"|oughteingought|2000|NULL|NULL|NULL|187584.57|41
NULL|NULL|"edu packamalg #2"|NULL|NULL|NULL|NULL|NULL|169573.96|90
NULL|NULL|"edu packamalg #2"|oughtn stn stese|NULL|NULL|NULL|NULL|169573.96|90
NULL|NULL|"edu packamalg #2"|oughtn stn stese|2000|NULL|NULL|NULL|169573.96|90
NULL|NULL|"edu packamalgamalg #17"|NULL|NULL|NULL|NULL|NULL|170019.24|87
NULL|NULL|"edu packamalgamalg #17"|NULL|NULL|NULL|NULL|NULL|170019.24|87
NULL|NULL|"edu packamalgamalg #17"|NULL|2000|NULL|NULL|NULL|170019.24|87
NULL|NULL|"edu packbrand #1"|NULL|NULL|NULL|NULL|NULL|207997.51|24
NULL|NULL|"edu packbrand #1"|eingableoughtpripri|NULL|NULL|NULL|NULL|207997.51|24
NULL|NULL|"edu packbrand #1"|eingableoughtpripri|2000|NULL|NULL|NULL|207997.51|24
NULL|NULL|"edu packexporti #1"|NULL|NULL|NULL|NULL|NULL|172661.85|84
NULL|NULL|"edu packexporti #1"|NULL|NULL|NULL|NULL|NULL|172661.85|84
NULL|NULL|"edu packexporti #1"|NULL|2000|NULL|NULL|NULL|172661.85|84
NULL|NULL|"exportiedu pack #2"|NULL|NULL|NULL|NULL|NULL|180684.64|63
NULL|NULL|"exportiedu pack #2"|NULL|NULL|NULL|NULL|NULL|180684.64|63
NULL|NULL|"exportiedu pack #2"|NULL|2000|NULL|NULL|NULL|180684.64|63
NULL|NULL|"importoamalg #2"|NULL|NULL|NULL|NULL|NULL|178933.05|66
NULL|NULL|"importoamalg #2"|n stoughtprieingought|NULL|NULL|NULL|NULL|178933.05|66
NULL|NULL|"importoamalg #2"|n stoughtprieingought|2000|NULL|NULL|NULL|178933.05|66
NULL|NULL|"namelesscorp #1"|NULL|NULL|NULL|NULL|NULL|174989.65|77
NULL|NULL|"namelesscorp #1"|NULL|NULL|NULL|NULL|NULL|174989.65|77
NULL|NULL|"namelesscorp #1"|NULL|2000|NULL|NULL|NULL|174989.65|77
NULL|NULL|"univmaxi #2"|NULL|NULL|NULL|NULL|NULL|183915.20|48
NULL|NULL|"univmaxi #2"|oughtprioughtationable|NULL|NULL|NULL|NULL|183915.20|48
NULL|NULL|"univmaxi #2"|oughtprioughtationable|2000|NULL|NULL|NULL|183915.20|48
NULL|baseball|NULL|NULL|NULL|NULL|NULL|NULL|176946.65|73
NULL|baseball|NULL|NULL|NULL|NULL|NULL|NULL|176946.65|73
NULL|baseball|NULL|NULL|NULL|NULL|NULL|NULL|176946.65|73
NULL|baseball|NULL|NULL|2000|NULL|NULL|NULL|176946.65|73
NULL|dresses|NULL|NULL|NULL|NULL|NULL|NULL|242968.82|11
NULL|dresses|NULL|NULL|NULL|NULL|NULL|NULL|242968.82|11
NULL|dresses|NULL|antieseoughtcally|NULL|NULL|NULL|NULL|242968.82|11
NULL|dresses|NULL|antieseoughtcally|2000|NULL|NULL|NULL|242968.82|11
NULL|flatware|NULL|NULL|NULL|NULL|NULL|NULL|183575.28|51
NULL|flatware|NULL|NULL|NULL|NULL|NULL|NULL|183575.28|51
NULL|flatware|NULL|oughteingationn st|NULL|NULL|NULL|NULL|183575.28|51
NULL|flatware|NULL|oughteingationn st|2000|NULL|NULL|NULL|183575.28|51
NULL|fragrances|NULL|NULL|NULL|NULL|NULL|NULL|361237.60|7
NULL|fragrances|"importoamalg #1"|NULL|NULL|NULL|NULL|NULL|164507.59|95
NULL|fragrances|"importoamalg #1"|barn steseoughtpri|NULL|NULL|NULL|NULL|164507.59|95
NULL|fragrances|"importoamalg #1"|barn steseoughtpri|2000|NULL|NULL|NULL|164507.59|95
NULL|fragrances|"importoamalg #2"|NULL|NULL|NULL|NULL|NULL|196730.01|29
NULL|fragrances|"importoamalg #2"|priantiableeseable|NULL|NULL|NULL|NULL|196730.01|29
NULL|fragrances|"importoamalg #2"|priantiableeseable|2000|NULL|NULL|NULL|196730.01|29
NULL|guns|NULL|NULL|NULL|NULL|NULL|NULL|186019.87|44
NULL|guns|"importomaxi #4"|NULL|NULL|NULL|NULL|NULL|186019.87|44
NULL|guns|"importomaxi #4"|NULL|NULL|NULL|NULL|NULL|186019.87|44
NULL|guns|"importomaxi #4"|NULL|2000|NULL|NULL|NULL|186019.87|44
NULL|mens|NULL|NULL|NULL|NULL|NULL|NULL|233326.39|15
NULL|mens|"importoedu pack #2"|NULL|NULL|NULL|NULL|NULL|233326.39|15
NULL|mens|"importoedu pack #2"|pricallyesen stought|NULL|NULL|NULL|NULL|233326.39|15
NULL|mens|"importoedu pack #2"|pricallyesen stought|2000|NULL|NULL|NULL|233326.39|15
NULL|outdoor|NULL|NULL|NULL|NULL|NULL|NULL|174833.76|80
NULL|outdoor|"namelessnameless #3"|NULL|NULL|NULL|NULL|NULL|174833.76|80
NULL|outdoor|"namelessnameless #3"|NULL|NULL|NULL|NULL|NULL|174833.76|80
NULL|outdoor|"namelessnameless #3"|NULL|2000|NULL|NULL|NULL|174833.76|80
NULL|pants|NULL|NULL|NULL|NULL|NULL|NULL|319504.77|8
NULL|pants|"exportiimporto #2"|NULL|NULL|NULL|NULL|NULL|319504.77|8
NULL|pants|"exportiimporto #2"|antibarableableought|NULL|NULL|NULL|NULL|190813.19|36
NULL|pants|"exportiimporto #2"|antibarableableought|2000|NULL|NULL|NULL|190813.19|36
NULL|scanners|NULL|NULL|NULL|NULL|NULL|NULL|208864.71|20
NULL|scanners|"namelessunivamalg #10"|NULL|NULL|NULL|NULL|NULL|208864.71|20
NULL|scanners|"namelessunivamalg #10"|n stbaresepri|NULL|NULL|NULL|NULL|208864.71|20
NULL|scanners|"namelessunivamalg #10"|n stbaresepri|2000|NULL|NULL|NULL|208864.71|20
NULL|semi-precious|NULL|NULL|NULL|NULL|NULL|NULL|183300.26|55
NULL|semi-precious|"amalgbrand #4"|NULL|NULL|NULL|NULL|NULL|183300.26|55
NULL|semi-precious|"amalgbrand #4"|ationeseoughtanti|NULL|NULL|NULL|NULL|183300.26|55
NULL|semi-precious|"amalgbrand #4"|ationeseoughtanti|2000|NULL|NULL|NULL|183300.26|55
NULL|shirts|NULL|NULL|NULL|NULL|NULL|NULL|161470.90|100
NULL|shirts|NULL|NULL|NULL|NULL|NULL|NULL|161470.90|100
NULL|shirts|NULL|NULL|NULL|NULL|NULL|NULL|161470.90|100
NULL|shirts|NULL|NULL|2000|NULL|NULL|NULL|161470.90|100
NULL|sports-apparel|NULL|NULL|NULL|NULL|NULL|NULL|182713.77|59
NULL|sports-apparel|NULL|NULL|NULL|NULL|NULL|NULL|182713.77|59
NULL|sports-apparel|NULL|NULL|NULL|NULL|NULL|NULL|182713.77|59
NULL|sports-apparel|NULL|NULL|2000|NULL|NULL|NULL|182713.77|59
NULL|swimwear|NULL|NULL|NULL|NULL|NULL|NULL|177343.29|69
NULL|swimwear|"edu packamalg #2"|NULL|NULL|NULL|NULL|NULL|177343.29|69
NULL|swimwear|"edu packamalg #2"|antieingoughtcally|NULL|NULL|NULL|NULL|177343.29|69
NULL|swimwear|"edu packamalg #2"|antieingoughtcally|2000|NULL|NULL|NULL|177343.29|69
NULL|womens|NULL|NULL|NULL|NULL|NULL|NULL|287287.37|10
NULL|womens watch|NULL|NULL|NULL|NULL|NULL|NULL|196137.19|32
