brand_id|brand|i_manufact_id|i_manufact|ext_price
1003001|"exportiamalg #1"|162|ablecallyought|57695.50
5004001|"edu packscholar #1"|499|n stn stese|54732.69
5001002|"amalgscholar #2"|124|eseableought|54351.22
5003002|"exportischolar #2"|50|baranti|54174.06
1001001|"amalgamalg #1"|257|ationantiable|52540.64
4001001|"amalgedu pack #1"|626|callyablecally|50817.40
9012011|"importounivamalg #11"|999|n stn stn st|50631.51
9007011|"brandmaxi #11"|238|eingpriable|50461.88
4002001|"importoedu pack #1"|101|oughtbarought|48520.03
6009001|"maxicorp #1"|609|n stbarcally|48191.68
2002001|"importoimporto #1"|265|anticallyable|48176.94
10012006|"importoamalgamalg #6"|162|ablecallyought|47648.47
2001001|"amalgimporto #1"|435|antipriese|47191.12
1002001|"importoamalg #1"|743|prieseation|46867.03
5002002|"importoscholar #2"|503|pribaranti|46690.88
2004001|"edu packimporto #1"|5|anti|46338.44
1002002|"importoamalg #2"|50|baranti|46312.17
3004002|"edu packexporti #2"|881|oughteingeing|45684.76
5003001|"exportischolar #1"|309|n stbarpri|45295.79
7001002|"amalgbrand #2"|122|ableableought|45240.30
3002001|"importoexporti #1"|462|ablecallyese|44475.85
3001002|"amalgexporti #2"|448|eingeseese|43934.66
3004001|"edu packexporti #1"|272|ableationable|43819.41
6014005|"edu packbrand #5"|291|oughtn stable|43489.50
3004001|"edu packexporti #1"|162|ablecallyought|43378.10
4003002|"exportiedu pack #2"|28|eingable|42921.70
3004001|"edu packexporti #1"|348|eingesepri|42590.54
5003002|"exportischolar #2"|162|ablecallyought|42098.37
9001009|"amalgmaxi #9"|203|pribarable|41839.85
10016004|"corpamalgamalg #4"|104|esebarought|41805.20
10003002|"exportiunivamalg #2"|961|oughtcallyn st|41723.87
9006009|"corpmaxi #9"|887|ationeingeing|41702.44
1002001|"importoamalg #1"|184|eseeingought|41542.43
10015008|"scholaramalgamalg #8"|839|n stprieing|40977.94
7008007|"namelessbrand #7"|133|pripriought|40428.85
4001001|"amalgedu pack #1"|5|anti|40029.94
2002001|"importoimporto #1"|425|antiableese|39732.78
5002001|"importoscholar #1"|902|ablebarn st|39493.49
10004013|"edu packunivamalg #13"|764|esecallyation|39378.13
2003001|"exportiimporto #1"|566|callycallyanti|39315.02
8009007|"maxinameless #7"|600|barbarcally|39272.70
1001001|"amalgamalg #1"|346|callyesepri|39201.44
10010005|"univamalgamalg #5"|684|eseeingcally|38983.64
1002001|"importoamalg #1"|243|prieseable|38930.29
5001001|"amalgscholar #1"|726|callyableation|38927.87
7012003|"importonameless #3"|489|n steingese|38658.57
6011005|"amalgbrand #5"|373|priationpri|38501.57
4004001|"edu packedu pack #1"|286|callyeingable|38207.81
10008005|"namelessunivamalg #5"|813|prioughteing|38204.82
1004002|"edu packamalg #2"|377|ationationpri|38071.02
10006012|"corpunivamalg #12"|166|callycallyought|38038.41
8003006|"exportinameless #6"|399|n stn stpri|38008.72
3001002|"amalgexporti #2"|609|n stbarcally|37856.53
6010003|"univbrand #3"|165|anticallyought|37337.93
2003001|"exportiimporto #1"|653|priantically|37245.37
9006003|"corpmaxi #3"|256|callyantiable|37177.40
2004001|"edu packimporto #1"|584|eseeinganti|37139.61
7001007|"amalgbrand #7"|39|n stpri|36997.07
2004002|"edu packimporto #2"|912|ableoughtn st|36958.01
9009011|"maximaxi #11"|117|ationoughtought|36885.77
10009008|"maxiunivamalg #8"|457|ationantiese|36128.64
9002011|"importomaxi #11"|606|callybarcally|35393.30
1001002|"amalgamalg #2"|74|eseation|35356.14
9015005|"scholarunivamalg #5"|858|eingantieing|34917.17
8016009|"corpmaxi #9"|734|esepriation|34832.62
9004009|"edu packmaxi #9"|328|eingablepri|34759.66
5004002|"edu packscholar #2"|427|ationableese|34749.05
8004009|"edu packnameless #9"|242|ableeseable|34748.25
1003001|"exportiamalg #1"|39|n stpri|34558.72
1003001|"exportiamalg #1"|377|ationationpri|34441.90
1004001|"edu packamalg #1"|507|ationbaranti|34388.41
3002001|"importoexporti #1"|234|esepriable|34380.18
5003001|"exportischolar #1"|550|barantianti|34317.05
1004001|"edu packamalg #1"|594|esen stanti|33975.09
5001001|"amalgscholar #1"|192|ablen stought|33690.17
1001001|"amalgamalg #1"|186|callyeingought|33644.34
2003002|"exportiimporto #2"|625|antiablecally|33644.18
4003002|"exportiedu pack #2"|357|ationantipri|33616.37
6009005|"maxicorp #5"|619|n stoughtcally|33432.50
4004002|"edu packedu pack #2"|884|eseeingeing|33300.61
9010011|"univunivamalg #11"|447|ationeseese|33107.93
5002001|"importoscholar #1"|509|n stbaranti|32789.88
7009009|"maxibrand #9"|10|barought|32553.34
5002001|"importoscholar #1"|202|ablebarable|32398.91
4001001|"amalgedu pack #1"|311|oughtoughtpri|32298.77
6008002|"namelesscorp #2"|458|eingantiese|32247.19
7005004|"scholarbrand #4"|641|oughtesecally|31803.44
1004001|"edu packamalg #1"|675|antiationcally|31769.32
7012007|"importonameless #7"|145|antieseought|31765.20
3002001|"importoexporti #1"|25|antiable|31325.11
3001001|"amalgexporti #1"|41|oughtese|31308.29
4001002|"amalgedu pack #2"|149|n steseought|31018.09
4003002|"exportiedu pack #2"|117|ationoughtought|30933.69
3004001|"edu packexporti #1"|327|ationablepri|30826.41
1002002|"importoamalg #2"|94|esen st|30775.95
9016003|"corpunivamalg #3"|167|ationcallyought|30518.37
2002002|"importoimporto #2"|280|bareingable|30455.54
4002001|"importoedu pack #1"|96|callyn st|30235.11
2001001|"amalgimporto #1"|219|n stoughtable|29892.67
4003001|"exportiedu pack #1"|216|callyoughtable|29886.33
