d_year|brand_id|brand|ext_price
2000|3002002|"importoexporti #2"|230841.50
2000|2001002|"amalgimporto #2"|221200.78
2000|1004002|"edu packamalg #2"|215883.25
2000|2004002|"edu packimporto #2"|201429.68
2000|4004002|"edu packedu pack #2"|177710.51
2000|1003002|"exportiamalg #2"|164064.62
2000|3003002|"exportiexporti #2"|147012.43
2000|2002001|"importoimporto #1"|145933.69
2000|4003001|"exportiedu pack #1"|141289.88
2000|2003001|"exportiimporto #1"|114502.32
2000|1001002|"amalgamalg #2"|111817.10
2000|4001001|"amalgedu pack #1"|109452.70
2000|3004002|"edu packexporti #2"|109236.02
2000|5004002|"edu packscholar #2"|106407.18
2000|1003001|"exportiamalg #1"|105165.93
2000|4004001|"edu packedu pack #1"|102005.38
2000|5003002|"exportischolar #2"|100094.22
2000|5002002|"importoscholar #2"|98104.34
2000|3001002|"amalgexporti #2"|97417.50
2000|1002002|"importoamalg #2"|94719.76
2000|1004001|"edu packamalg #1"|94153.82
2000|3003001|"exportiexporti #1"|92803.31
2000|9011009|"amalgunivamalg #9"|90858.89
2000|5001002|"amalgscholar #2"|88138.62
2000|4002002|"importoedu pack #2"|84777.99
2000|5003001|"exportischolar #1"|83458.92
2000|3004001|"edu packexporti #1"|83295.95
2000|4001002|"amalgedu pack #2"|78058.79
2000|2003002|"exportiimporto #2"|76211.28
2000|9011008|"amalgunivamalg #8"|73416.92
2000|6008005|"namelesscorp #5"|72769.23
2000|5004001|"edu packscholar #1"|71586.23
2000|4002001|"importoedu pack #1"|64258.94
2000|2002002|"importoimporto #2"|63076.64
2000|9010009|"univunivamalg #9"|62357.83
2000|9013009|"exportiunivamalg #9"|62331.91
2000|7016001|"corpnameless #1"|60985.73
2000|8010004|"univmaxi #4"|60223.25
2000|1002001|"importoamalg #1"|59007.08
2000|6003008|"exporticorp #8"|57654.39
2000|6012002|"importobrand #2"|56803.89
2000|3002001|"importoexporti #1"|55709.78
2000|3001001|"amalgexporti #1"|54126.85
2000|1001001|"amalgamalg #1"|52930.48
2000|9015011|"exportiamalg #2"|52334.14
2000|8009009|"maxinameless #9"|51940.07
2000|2004001|"importoexporti #2"|50218.18
2000|10004005|"importounivamalg #6"|50131.31
2000|7010009|"univnameless #9"|47316.12
2000|8005009|"corpnameless #10"|47101.15
2000|2001001|"amalgimporto #1"|46802.57
2000|8004001|"importonameless #2"|46506.27
2000|6008002|"namelesscorp #2"|45991.87
2000|7007004|"brandbrand #4"|45874.41
2000|7006007|"edu packamalg #2"|45699.67
2000|2001001|"importoimporto #2"|44254.68
2000|5001001|"exportinameless #8"|44219.15
2000|7013009|"exportinameless #9"|43527.45
2000|6015006|"scholarbrand #6"|43357.83
2000|6015004|"scholarbrand #4"|43124.63
2000|8007010|"brandnameless #10"|43017.41
2000|9015009|"scholarunivamalg #9"|42746.19
2000|9013002|"exportiunivamalg #2"|42371.26
2000|10003007|"exportiunivamalg #7"|42313.47
2000|1004001|"edu packimporto #2"|41780.62
2000|9007003|"brandmaxi #3"|41721.08
2000|7009005|"amalgscholar #2"|40811.31
2000|6007007|"brandcorp #7"|40329.21
2000|7008009|"namelessbrand #9"|40087.70
2000|10014001|"maxibrand #4"|39977.74
2000|7001005|"amalgbrand #5"|38975.94
2000|3002001|"namelessunivamalg #15"|38844.12
2000|7009009|"exportibrand #10"|38759.41
2000|8003010|"exportinameless #10"|38320.57
2000|7012010|"importonameless #10"|37253.32
2000|7015007|"scholarnameless #7"|37052.65
2000|5001001|"brandunivamalg #11"|36822.09
2000|7015009|"scholarnameless #9"|36618.56
2000|8003007|"edu packnameless #8"|36571.53
2000|10013013|"exportiamalgamalg #13"|36492.60
2000|6002004|"importocorp #4"|36483.77
2000|7011001|"amalgnameless #1"|36314.15
2000|9003003|"exportimaxi #3"|36294.17
2000|4002001|"scholarmaxi #6"|36174.98
2000|7010005|"corpunivamalg #6"|36073.46
2000|7002003|"importobrand #3"|35973.59
2000|6006004|"corpcorp #4"|35603.74
2000|6005001|"scholarcorp #1"|35245.27
2000|6010004|"univbrand #4"|35015.85
2000|10016016|"corpamalgamalg #16"|34811.48
2000|3001001|"maxibrand #8"|34775.26
2000|10007012|"brandunivamalg #12"|34754.77
2000|7016006|"corpnameless #6"|34296.36
2000|7016007|"corpnameless #7"|34293.35
2000|8004003|"edu packnameless #3"|34271.91
2000|7005006|"scholarbrand #6"|34218.98
2000|8016006|"corpmaxi #6"|34205.96
2000|10011014|"amalgamalgamalg #14"|34099.37
2000|2004001|"edu packimporto #1"|33766.76
2000|9012003|"importounivamalg #3"|33323.07
