channel|id|sales|returns_|profit
NULL|NULL|2413623946.15|52730365.35|-384803616.73
catalog channel|NULL|1948223501.76|39698912.96|-215918877.14
catalog channel|NULL|3254460.80|5671273.28|-3057542.62
catalog channel|1|320558032.56|5671273.28|-32617311.74
catalog channel|2|306476963.12|5671273.28|-35848462.86
catalog channel|5|314907668.00|5671273.28|-33421167.58
catalog channel|7|327104947.60|5671273.28|-39230157.42
catalog channel|8|324804696.56|5671273.28|-36945495.90
catalog channel|10|351116733.12|5671273.28|-34798739.02
store channel|NULL|342251323.00|9518794.65|-154036947.73
store channel|1|18775940.65|535062.01|-8230784.98
store channel|2|19505496.58|598814.67|-8592519.46
store channel|4|19763071.41|619014.49|-9285710.81
store channel|7|19961121.96|609042.21|-8676096.81
store channel|8|19882129.79|567635.63|-9156070.58
store channel|10|19689179.87|556883.53|-9141443.06
store channel|13|21095279.83|607989.77|-9925619.96
store channel|14|19010199.05|511651.76|-8545951.25
store channel|16|21391021.09|565846.83|-9576700.92
store channel|19|20158630.45|573394.16|-9006904.77
store channel|20|20506783.51|572222.98|-9003288.38
store channel|22|19402683.69|485836.19|-8939506.79
store channel|25|20846956.49|538266.38|-9358815.93
store channel|26|19865688.57|534741.76|-9204195.75
store channel|28|20244838.97|557437.36|-8663237.42
store channel|31|20873916.78|563346.43|-9326003.67
store channel|32|21278384.31|521608.49|-9404097.19
web channel|NULL|123149121.39|3512657.74|-14847791.86
web channel|1|2586539.15|47751.87|-332820.84
web channel|2|2601012.74|110399.47|-444405.28
web channel|5|2979032.11|47048.67|-307008.51
web channel|7|2908419.65|84009.72|-337900.97
web channel|8|2306351.57|113259.42|-482770.54
web channel|11|2945121.41|70662.29|-223511.70
web channel|13|2583690.10|103913.71|-450546.40
web channel|14|2861589.25|86237.16|-182841.06
web channel|17|2912354.46|59700.49|-287708.20
web channel|19|2505205.45|60383.38|-246485.77
web channel|20|2777649.14|83386.80|-343432.49
web channel|23|2907735.92|24853.49|-316809.33
web channel|25|2600800.59|80932.91|-456353.85
web channel|26|2787772.10|81792.00|-293426.73
web channel|29|2884761.41|42148.57|-385016.55
web channel|31|2666386.26|69423.88|-275974.81
web channel|32|2576131.93|95604.14|-334369.39
web channel|35|2637209.46|71966.28|-316195.28
web channel|37|2694205.23|120113.65|-264794.64
web channel|38|3035181.97|63240.21|-286047.61
web channel|41|2952996.75|45415.78|-256410.36
web channel|43|2698063.04|73126.98|-437214.86
web channel|44|2659262.08|87279.67|-362074.83
web channel|47|2772516.66|35793.99|-377511.03
web channel|49|2616210.18|89825.50|-273778.81
web channel|50|2718503.31|110630.03|-405035.27
web channel|53|2776425.75|56285.97|-231065.25
web channel|55|2784171.26|84097.28|-258192.87
web channel|56|2541267.29|93900.32|-375813.59
web channel|59|2776887.44|46568.26|-265804.26
web channel|61|2735011.74|114779.13|-220533.81
web channel|62|2798129.72|128470.78|-430527.71
web channel|65|2502752.08|51654.72|-303786.12
web channel|67|2723826.57|100242.95|-359508.77
web channel|68|2652706.40|92848.31|-332418.59
web channel|71|2818734.12|45776.74|-335961.40
web channel|73|2883752.82|85133.02|-352754.34
web channel|74|2746297.98|130542.03|-464605.88
web channel|77|2701727.61|56255.69|-314091.84
web channel|79|2942847.14|86481.47|-266365.75
web channel|80|2729799.21|84217.59|-228168.67
web channel|83|2609016.32|47188.47|-335018.31
web channel|85|2862263.64|90527.49|-414371.61
web channel|86|2625582.45|100282.47|-387367.63
web channel|89|2763219.93|58504.99|-290990.35
