product_name|store_name|store_zip|b_street_number|b_street_name|b_city|b_zip|c_street_number|c_street_name|c_city|c_zip|cs1syear|cs1cnt|s11|s21|s31|s12|s22|s32|syear|cnt
ableeseablebarpri|ese|31904|892|Cedar Chestnut|Deerfield|69840|228|Park |Springdale|48883|1999|1|19.20|26.30|0.00|74.73|108.35|0.00|2000|1
ableeseablebarpri|ese|31904|375|College 2nd|Union|68721|778|College Smith|Leland|89452|1999|1|35.77|70.46|0.00|74.73|108.35|0.00|2000|1
ablen stn stbarpri|anti|35709|391|Main |Richville|85945|903|1st Oak|Lebanon|62898|1999|1|9.58|11.01|0.00|73.22|121.54|0.00|2000|1
ablen stn stbarpri|anti|35709|217|Main 4th|Ashland|64244|126|College |Woodlawn|74098|1999|1|15.49|21.99|78.30|73.22|121.54|0.00|2000|1
ablen stn stbarpri|bar|31904|684|South 7th|Florence|73394|735|Cedar Sixth|Leon|90913|1999|1|38.79|74.47|0.00|9.18|16.89|0.00|2000|1
ablen stn stbarpri|bar|31904|684|South 7th|Florence|73394|735|Cedar Sixth|Leon|90913|1999|1|38.79|74.47|0.00|85.22|86.92|0.00|2000|1
ablen stn stbarpri|ese|31904|623|Jefferson |Oak Grove|78370|676|Thirteenth Elm|Glenwood|53511|1999|1|93.67|115.21|0.00|2.99|5.17|116.75|2000|1
antiantiantioughtpri|bar|31904|198|Center |Mount Pleasant|21933|NULL|NULL|NULL|09837|1999|1|53.38|81.67|0.00|38.96|52.98|0.00|2000|1
ationbarcallybarpri|cally|31904|501|Elm Adams|Mount Vernon|58482|765|Chestnut South|Antioch|88605|1999|1|57.45|79.85|0.00|94.77|175.32|0.00|2000|1
ationbarcallybarpri|ese|31904|321|Valley |Liberty|43451|118|Lake |Kingston|05575|1999|1|50.78|65.50|0.00|88.60|153.27|0.00|2000|1
ationcallyoughtablepri|bar|31904|26|Miller |Woodland|64854|986|7th |Whispering Pines|67609|1999|1|68.61|107.71|0.00|43.59|NULL|NULL|2000|1
barableesecallyable|n st|35709|290|Maple |Westgate|32366|NULL|Broadway |Newport|71521|1999|1|61.41|78.60|2372.92|50.55|77.84|0.00|2000|1
barableesecallyable|n st|35709|122|First Third|Mount Vernon|18482|493|Jackson |Shiloh|69275|1999|1|83.67|107.09|0.00|50.55|77.84|0.00|2000|1
baroughtprioughtpri|bar|31904|746|Elm |Spring Hill|76787|687|1st |Sunnyside|71952|1999|1|28.90|50.28|102.82|1.79|2.16|0.00|2000|1
baroughtprioughtpri|bar|31904|746|Elm |Spring Hill|76787|687|1st |Sunnyside|71952|1999|1|28.90|50.28|102.82|77.53|131.02|0.00|2000|1
baroughtprioughtpri|ought|31904|911|Maple |Riverdale|49391|650|7th |Mount Vernon|28482|1999|1|35.01|35.01|0.00|23.50|23.50|0.00|2000|1
baroughtprioughtpri|ought|31904|911|Maple |Riverdale|49391|650|7th |Mount Vernon|28482|1999|1|35.01|35.01|0.00|79.24|154.51|2327.69|2000|1
n stableableantiought|able|35709|872|Sixth 5th|Kingston|84975|892|Spring 9th|Carpenter|21147|1999|1|56.83|77.28|0.00|31.78|57.20|0.00|2000|1
n stableableantiought|eing|31904|939|Forest |Woodlawn|74098|455|College Cherry|Clinton|68222|1999|1|61.04|106.20|0.00|80.39|101.29|1068.30|2000|1
oughtablebaresepri|able|31904|271|Franklin Mill|Springdale|09483|649|Mill Ridge|Bunker Hill|40150|1999|1|85.03|164.95|0.00|61.97|109.68|0.00|2000|1
oughtablebaresepri|bar|31904|458|Spring |White Oak|86668|288|2nd |Glendale|43951|1999|1|18.50|30.34|318.71|21.00|21.42|0.00|2000|1
oughtablebaresepri|bar|31904|458|Spring |White Oak|86668|288|2nd |Glendale|43951|1999|1|18.50|30.34|318.71|31.76|56.85|0.00|2000|1
oughtablebaresepri|bar|31904|458|Spring |White Oak|86668|288|2nd |Glendale|43951|1999|1|18.50|30.34|318.71|82.22|83.86|0.00|2000|1
