prev_year|year_|i_brand_id|i_class_id|i_category_id|i_manufact_id|prev_yr_cnt|curr_yr_cnt|sales_cnt_diff|sales_amt_diff
2001|2002|9004002|4|9|279|17309|13969|-3340|-106637.63
2001|2002|9015002|15|9|495|9872|6781|-3091|-118089.35
2001|2002|9008002|8|9|185|9792|7015|-2777|-146791.21
2001|2002|9004008|4|9|77|8562|5823|-2739|-163938.40
2001|2002|9005009|5|9|231|8672|6002|-2670|-92182.56
2001|2002|9004002|4|9|761|8180|5536|-2644|-85532.91
2001|2002|9005009|7|9|853|9034|6556|-2478|-102002.58
2001|2002|9011008|11|9|631|9066|6675|-2391|-111374.68
2001|2002|9015004|3|9|196|8432|6076|-2356|-26846.91
2001|2002|9012010|12|9|147|9168|6895|-2273|-178055.80
2001|2002|9009008|9|9|82|9140|6975|-2165|-82232.05
2001|2002|9012002|12|9|331|8696|6555|-2141|-95728.27
2001|2002|9001008|1|9|662|8974|6838|-2136|-117569.66
2001|2002|9007008|7|9|502|8920|6801|-2119|19619.98
2001|2002|5002001|2|9|38|8471|6356|-2115|-105408.91
2001|2002|9005008|5|9|285|8720|6646|-2074|-35913.83
2001|2002|9005002|5|9|422|9046|6974|-2072|40383.40
2001|2002|9016010|16|9|114|8393|6326|-2067|-68603.21
2001|2002|9013004|13|9|225|9116|7061|-2055|-54642.28
2001|2002|9016008|16|9|176|9464|7430|-2034|-130635.73
2001|2002|9009008|9|9|354|8819|6812|-2007|-80705.96
2001|2002|9005010|5|9|873|8966|6970|-1996|-94264.86
2001|2002|9004008|4|9|454|8270|6275|-1995|-58308.22
2001|2002|9005008|5|9|422|8804|6822|-1982|-100444.39
2001|2002|10002006|8|9|121|9143|7161|-1982|-88980.76
2001|2002|9001009|16|9|568|7788|5815|-1973|-33704.99
2001|2002|4004001|10|9|105|8192|6253|-1939|-20113.95
2001|2002|9013008|13|9|418|8150|6233|-1917|-70957.38
2001|2002|9011002|11|9|609|8868|6962|-1906|-30203.59
2001|2002|9003008|3|9|72|8582|6693|-1889|-122692.48
2001|2002|9002004|1|9|282|8552|6681|-1871|-135312.28
2001|2002|9016002|16|9|158|8001|6175|-1826|-135374.34
2001|2002|9006008|6|9|617|9626|7805|-1821|-49383.54
2001|2002|9006004|6|9|148|8920|7103|-1817|-55319.45
2001|2002|9004008|4|9|82|7885|6095|-1790|-82034.11
2001|2002|2004001|7|9|539|8980|7200|-1780|-77800.14
2001|2002|9008010|6|9|782|8048|6278|-1770|-98477.06
2001|2002|9010008|10|9|9|8824|7062|-1762|-206917.30
2001|2002|9006002|6|9|8|7972|6231|-1741|-74757.78
2001|2002|9012008|12|9|130|8611|6873|-1738|-131588.16
2001|2002|9001010|1|9|303|8726|6998|-1728|-111343.98
2001|2002|9003008|3|9|143|8094|6398|-1696|-128914.94
2001|2002|9014010|2|9|727|9156|7467|-1689|-42726.09
2001|2002|9015004|15|9|573|8117|6430|-1687|-36362.15
2001|2002|6010007|10|9|163|8064|6383|-1681|-115834.21
2001|2002|9006004|14|9|215|8043|6366|-1677|-68120.65
2001|2002|9015002|15|9|427|8665|6997|-1668|-47435.07
2001|2002|9008010|4|9|312|8370|6708|-1662|-1052.40
2001|2002|9007004|7|9|827|8252|6602|-1650|-120256.28
2001|2002|9014008|14|9|215|8034|6391|-1643|-112049.49
2001|2002|9015004|2|9|982|8087|6459|-1628|43830.30
2001|2002|9011008|11|9|166|9024|7401|-1623|-36600.07
2001|2002|9011008|11|9|644|8761|7139|-1622|-121668.17
2001|2002|9015008|15|9|463|8093|6477|-1616|-63358.32
2001|2002|4003001|8|9|120|8523|6923|-1600|-33932.99
2001|2002|1003001|3|9|111|7732|6134|-1598|-25707.12
2001|2002|9002002|2|9|556|8543|6947|-1596|-11945.94
2001|2002|9005008|5|9|657|8440|6849|-1591|-41285.65
2001|2002|9006002|6|9|47|9658|8072|-1586|-51628.48
2001|2002|9012002|12|9|562|7847|6267|-1580|-94605.67
2001|2002|9007008|7|9|212|8078|6514|-1564|-72744.80
2001|2002|9002008|2|9|498|8959|7400|-1559|-15600.62
2001|2002|9009002|9|9|695|9112|7554|-1558|-29657.95
2001|2002|9007010|7|9|31|8483|6926|-1557|-98946.40
2001|2002|5003001|3|9|26|8151|6601|-1550|-41320.86
2001|2002|9006010|3|9|99|8510|6961|-1549|-68534.02
2001|2002|6001003|1|9|539|8087|6539|-1548|-106127.04
2001|2002|9009002|9|9|63|8292|6748|-1544|-81480.88
2001|2002|7001007|1|9|47|9130|7599|-1531|-109276.45
2001|2002|9012008|12|9|474|8368|6865|-1503|-109890.79
2001|2002|9007008|7|9|90|8697|7195|-1502|-106470.14
2001|2002|10011011|11|9|628|9337|7836|-1501|-36772.68
2001|2002|9016008|16|9|24|9018|7526|-1492|-136914.05
2001|2002|9006008|6|9|156|8441|6955|-1486|-63234.46
2001|2002|4004001|4|9|216|8612|7128|-1484|-33777.89
2001|2002|7013001|13|9|48|8351|6875|-1476|-17467.90
2001|2002|9005008|5|9|826|8282|6809|-1473|-88149.27
2001|2002|9010002|10|9|242|8444|6978|-1466|21237.76
2001|2002|9012002|12|9|552|9173|7711|-1462|-58254.37
2001|2002|9002008|2|9|202|7441|5982|-1459|-113124.12
2001|2002|9013008|13|9|331|7834|6381|-1453|-122507.68
2001|2002|7001001|6|9|496|8070|6619|-1451|-118560.43
2001|2002|9003010|3|9|136|8440|6990|-1450|-153480.73
2001|2002|1002001|4|9|546|8058|6611|-1447|-90823.23
2001|2002|9016008|16|9|324|8357|6911|-1446|-131891.72
2001|2002|9014002|14|9|329|8641|7200|-1441|-96897.87
2001|2002|9001009|1|9|117|8795|7357|-1438|-64305.79
2001|2002|1004001|6|9|536|8935|7498|-1437|-31959.39
2001|2002|9005002|5|9|114|8009|6589|-1420|-79840.66
2001|2002|9010004|14|9|239|8676|7258|-1418|-91408.78
2001|2002|9009008|9|9|324|9199|7807|-1392|-129079.39
2001|2002|9011008|11|9|317|9071|7679|-1392|-112137.44
2001|2002|2004001|14|9|290|7921|6530|-1391|-66245.08
2001|2002|1003001|3|9|193|8860|7475|-1385|-106330.96
2001|2002|9001002|1|9|252|8350|6968|-1382|-69428.60
2001|2002|9015002|15|9|457|8938|7580|-1358|-58641.24
2001|2002|9002002|2|9|162|9551|8195|-1356|-91998.74
2001|2002|9015008|15|9|543|7642|6293|-1349|-1744.39
2001|2002|9008002|8|9|511|8623|7278|-1345|-57508.77
2001|2002|9001008|1|9|335|8654|7315|-1339|-94529.01
