ca_zip|sum(cs_sales_price)
NULL|6308.44
30059|849.37
30069|4750.05
30150|3045.03
30162|1709.76
30169|1934.20
30191|1568.90
30194|464.69
30296|272.26
30330|269.85
30344|815.08
30399|3207.19
30411|2579.54
30418|456.21
30499|2574.76
30519|572.95
30525|639.20
30534|2017.94
30573|670.92
30587|4221.20
30618|769.34
30631|383.05
30635|356.60
30919|43.95
31083|577.19
31087|1414.22
31160|988.18
31206|391.62
31218|489.53
31289|1544.08
31387|1021.19
31421|641.99
31423|444.91
31521|1107.81
31639|709.04
31675|251.81
31711|1589.27
31732|1391.96
31749|491.78
31757|954.53
31838|1092.61
31854|542.11
31904|4221.33
31933|2674.67
31934|174.68
31952|1861.49
32033|571.75
32293|6354.11
32297|1420.78
32366|177.99
32459|119.02
32477|3508.08
32565|647.38
32629|270.65
32686|834.47
32808|3206.72
32812|1959.93
32898|3488.11
33003|2097.23
33027|397.14
33075|430.26
33298|360.95
33301|497.75
33342|206.26
33394|4302.13
33445|274.51
33451|1469.83
33511|3219.83
33595|1239.25
33604|2276.98
33683|115.51
33790|326.41
33868|992.65
33951|1543.12
34027|312.77
34062|383.16
34098|4348.71
34107|3270.98
34120|576.73
34136|2260.50
34190|622.33
34244|2357.21
34289|2070.51
34338|5025.76
34369|509.60
34408|460.19
34466|4429.29
34536|2339.95
34546|196.26
34554|540.92
34593|4205.38
34694|571.40
34752|722.47
34760|280.71
34843|242.03
34854|4208.45
34975|4107.94
35038|2250.53
35124|2545.60
35258|894.05
