i_category|i_brand|s_store_name|s_company_name|d_year|d_moy|avg_monthly_sales|sum_sales|psum|nsum
Women|"amalgamalg #1"|able|Unknown|1999|3|15920.951666666666|7811.55|10365.15|9194.29
Children|"exportiexporti #1"|able|Unknown|1999|4|14668.781666666666|6665.88|9715.50|10189.69
Music|"edu packscholar #1"|able|Unknown|1999|2|16760.91|8879.24|13272.79|10427.49
Men|"importoimporto #1"|able|Unknown|1999|7|15636.0675|7758.26|8374.56|20102.33
Men|"exportiimporto #1"|able|Unknown|1999|7|14277.5025|6463.18|9380.89|19201.70
Shoes|"exportiedu pack #1"|able|Unknown|1999|4|15709.27|7918.75|8247.75|8715.32
Music|"edu packscholar #1"|able|Unknown|1999|7|16760.91|9216.00|10115.38|21209.71
Shoes|"exportiedu pack #1"|able|Unknown|1999|3|15709.27|8247.75|9141.93|7918.75
Shoes|"amalgedu pack #1"|able|Unknown|1999|4|15345.871666666666|8027.57|9015.74|9308.43
Children|"amalgexporti #1"|able|Unknown|1999|4|14099.1375|6794.45|8622.23|8452.76
Music|"edu packscholar #1"|able|Unknown|1999|4|16760.91|9497.58|10427.49|9602.71
Children|"exportiexporti #1"|able|Unknown|1999|2|14668.781666666666|7407.15|11171.90|9715.50
Men|"importoimporto #1"|able|Unknown|1999|6|15636.0675|8374.56|8871.86|7758.26
Music|"amalgscholar #1"|able|Unknown|1999|2|14020.745833333332|6844.69|10303.75|8418.75
Men|"edu packimporto #1"|able|Unknown|1999|3|15235.503333333334|8060.02|8783.09|8117.89
Shoes|"amalgedu pack #1"|able|Unknown|1999|7|15345.871666666666|8183.46|8251.23|20865.87
Music|"edu packscholar #1"|able|Unknown|1999|5|16760.91|9602.71|9497.58|10115.38
Men|"amalgimporto #1"|able|Unknown|1999|7|14975.1775|7833.10|9134.24|19323.22
Men|"edu packimporto #1"|able|Unknown|1999|4|15235.503333333334|8117.89|8060.02|8174.78
Shoes|"amalgedu pack #1"|able|Unknown|1999|6|15345.871666666666|8251.23|9308.43|8183.46
Shoes|"importoedu pack #1"|able|Unknown|1999|7|15304.9375|8238.72|8311.26|18938.52
Men|"edu packimporto #1"|able|Unknown|1999|5|15235.503333333334|8174.78|8117.89|8523.39
Music|"exportischolar #1"|able|Unknown|1999|4|15651.406666666666|8607.19|10073.38|10063.03
Children|"importoexporti #1"|able|Unknown|1999|4|14628.9875|7592.06|8074.81|10166.73
Men|"amalgimporto #1"|able|Unknown|1999|3|14975.1775|7951.09|9550.57|8754.85
Shoes|"exportiedu pack #1"|able|Unknown|1999|5|15709.27|8715.32|7918.75|10221.04
Shoes|"importoedu pack #1"|able|Unknown|1999|6|15304.9375|8311.26|10105.26|8238.72
Men|"importoimporto #1"|able|Unknown|1999|4|15636.0675|8674.24|11668.02|8871.86
Women|"amalgamalg #1"|able|Unknown|1999|5|15920.951666666666|8965.05|9194.29|10685.48
Women|"importoamalg #1"|able|Unknown|1999|6|14874.034166666666|7976.19|8318.56|9182.62
Children|"importoexporti #1"|able|Unknown|1999|2|14628.9875|7733.13|9074.98|8074.81
Women|"importoamalg #1"|ought|Unknown|1999|2|10036.5475|3157.64|8253.60|5877.87
Children|"exportiexporti #1"|able|Unknown|1999|6|14668.781666666666|7829.01|10189.69|8687.65
Men|"importoimporto #1"|able|Unknown|1999|2|15636.0675|8810.24|10542.10|11668.02
Music|"amalgscholar #1"|able|Unknown|1999|4|14020.745833333332|7199.12|8418.75|8482.57
Shoes|"exportiedu pack #1"|able|Unknown|1999|7|15709.27|8893.53|10221.04|20778.30
Men|"importoimporto #1"|able|Unknown|1999|5|15636.0675|8871.86|8674.24|8374.56
Women|"amalgamalg #1"|able|Unknown|1999|4|15920.951666666666|9194.29|7811.55|8965.05
Men|"edu packimporto #1"|able|Unknown|1999|6|15235.503333333334|8523.39|8174.78|10245.50
Men|"exportiimporto #1"|able|Unknown|1999|2|14277.5025|7584.67|11087.19|7831.86
Children|"importoexporti #1"|able|Unknown|1999|6|14628.9875|7942.79|10166.73|8771.91
Women|"importoamalg #1"|able|Unknown|1999|2|14874.034166666666|8198.56|10913.51|8886.54
Music|"edu packscholar #1"|able|Unknown|1999|6|16760.91|10115.38|9602.71|9216.00
Shoes|"importoedu pack #1"|able|Unknown|1999|2|15304.9375|8671.93|11335.31|8916.68
Children|"amalgexporti #1"|able|Unknown|1999|6|14099.1375|7519.56|8452.76|8615.67
Shoes|"exportiedu pack #1"|able|Unknown|1999|2|15709.27|9141.93|12466.23|8247.75
Music|"exportischolar #1"|bar|Unknown|1999|2|10606.096666666666|4039.09|9482.77|6480.48
Women|"importoamalg #1"|able|Unknown|1999|5|14874.034166666666|8318.56|10131.54|7976.19
Children|"importoexporti #1"|able|Unknown|1999|3|14628.9875|8074.81|7733.13|7592.06
Music|"amalgscholar #1"|able|Unknown|1999|6|14020.745833333332|7499.84|8482.57|8261.78
Women|"amalgamalg #1"|able|Unknown|1999|7|15920.951666666666|9422.64|10685.48|20657.67
Men|"edu packimporto #1"|able|Unknown|1999|2|15235.503333333334|8783.09|9935.30|8060.02
Shoes|"edu packedu pack #1"|able|Unknown|1999|6|13739.7775|7287.39|9511.46|8059.68
Men|"exportiimporto #1"|able|Unknown|1999|3|14277.5025|7831.86|7584.67|9326.56
Men|"importoimporto #1"|ese|Unknown|1999|2|10732.735|4290.09|9001.06|6517.12
Children|"amalgexporti #1"|able|Unknown|1999|2|14099.1375|7708.50|9006.28|8622.23
Shoes|"importoedu pack #1"|able|Unknown|1999|3|15304.9375|8916.68|8671.93|9249.99
Music|"exportischolar #1"|able|Unknown|1999|7|15651.406666666666|9300.48|10094.78|20876.30
Music|"edu packscholar #1"|able|Unknown|1999|3|16760.91|10427.49|8879.24|9497.58
Shoes|"amalgedu pack #1"|able|Unknown|1999|3|15345.871666666666|9015.74|10289.10|8027.57
Men|"exportiimporto #1"|able|Unknown|1999|5|14277.5025|7983.01|9326.56|9380.89
Music|"importoscholar #1"|able|Unknown|1999|4|14085.9725|7792.81|8796.45|7870.16
Children|"exportiexporti #1"|eing|Unknown|1999|2|10020.031666666666|3757.14|7331.38|6110.76
Children|"edu packexporti #1"|able|Unknown|1999|4|13561.118333333334|7324.36|7982.08|8295.94
Men|"amalgimporto #1"|able|Unknown|1999|4|14975.1775|8754.85|7951.09|8960.36
