channel|item|return_ratio|return_rank|currency_rank
catalog|19235|0.0|1|49
catalog|12229|0.0|1|52
catalog|511|0.6046511627906976|3|1
catalog|33803|0.6071428571428571|4|2
catalog|17735|0.6082474226804123|5|3
catalog|33611|0.6133333333333333|6|4
catalog|14507|0.6172839506172839|7|5
catalog|25571|0.64|8|6
catalog|8639|0.6486486486486487|9|7
catalog|10223|0.6511627906976745|10|8
catalog|4297|0.6590909090909091|12|9
catalog|1665|0.6907216494845361|13|10
store|6411|0.6494845360824743|1|1
store|10679|0.6666666666666666|2|2
store|28705|0.71875|3|3
store|12817|0.7525773195876289|4|40
store|19447|0.775|5|4
store|11721|0.7888888888888889|6|5
store|5465|0.8|7|6
store|26449|0.8020833333333334|8|7
store|18677|0.8072289156626506|9|8
store|30641|0.8160919540229885|10|9
store|12749|0.8163265306122449|11|10
web|33|0.0|1|35
web|26197|0.5862068965517241|2|1
web|10921|0.59|3|2
web|28659|0.5975609756097561|4|3
web|10571|0.6265060240963856|5|4
web|34377|0.6451612903225806|6|5
web|21623|0.6619718309859155|7|6
web|2151|0.673469387755102|8|52
web|21847|0.6774193548387096|9|7
web|29043|0.6986301369863014|10|8
web|10199|0.7171717171717171|11|9
web|1035|0.71875|12|10
