Atchison County|2000|0.979594|0.323432|7.440304|1.904511
Bacon County|2000|1.090672|0.149881|3.471624|1.220295
Berkshire County|2000|1.841093|1.119937|1.564153|1.396270
Bourbon County|2000|1.940226|0.726188|1.560924|1.166581
Bradley County|2000|2.713177|0.879507|1.376919|0.748197
Buchanan County|2000|0.828926|0.699133|6.950155|2.071207
Cass County|2000|1.286000|1.025345|2.795207|1.328041
Cook County|2000|1.787724|0.895108|2.200098|1.645743
Corson County|2000|1.709337|0.259537|1.693672|1.459739
Edmonson County|2000|0.671752|0.504198|2.575951|0.998793
Ferry County|2000|1.824821|0.293793|1.924438|1.210437
Fillmore County|2000|0.789730|0.216028|1.665477|1.123667
Fremont County|2000|3.219034|0.485094|1.853122|1.509378
Gaston County|2000|1.194604|0.335641|4.564338|1.577133
Gates County|2000|0.912221|0.233768|2.889296|2.270982
Green County|2000|0.774878|0.352885|5.185149|3.420477
Harris County|2000|0.897005|0.239577|3.739830|2.345761
Heard County|2000|3.370087|1.791928|2.383857|0.580483
Houston County|2000|1.390104|1.172744|2.119131|1.537309
Indian River County|2000|1.761617|0.572073|1.298422|1.026655
Lake County|2000|1.283037|0.897405|1.365982|1.200101
Lamar County|2000|0.848381|0.783997|4.520095|2.161145
Marion County|2000|1.203817|0.862638|2.449601|1.928814
McLean County|2000|3.698835|1.863599|2.039503|1.898877
Minidoka County|2000|2.048507|1.069137|1.758455|1.430494
Mitchell County|2000|3.530864|1.034819|2.621799|1.649770
Mora County|2000|2.108264|0.402344|1.442197|0.980648
Natrona County|2000|3.152689|1.716744|1.519906|1.279483
Nicholas County|2000|2.321985|2.233213|3.936818|1.257781
O-Brien County|2000|0.796480|0.372290|1.186990|1.036805
Oceana County|2000|1.082441|0.915665|1.166759|0.971789
Pocahontas County|2000|0.924835|0.701532|1.897392|1.213248
Pottawatomie County|2000|0.436886|0.362541|3.291989|2.716468
Refugio County|2000|0.724023|0.498973|2.715205|1.502421
Roane County|2000|2.098258|0.986628|2.605981|1.783055
Smith County|2000|1.049390|0.470279|3.900881|3.828806
Stanton County|2000|2.394973|0.847346|0.979666|0.925103
Stark County|2000|2.801957|1.690717|2.303575|0.607610
Stone County|2000|0.947343|0.753896|5.935235|1.275185
Tooele County|2000|2.083627|0.509635|1.142742|0.751001
Vernon County|2000|2.262711|1.482322|1.770786|1.207655
Wabash County|2000|1.111361|0.690763|2.180161|1.556477
Wayne County|2000|2.197480|0.659952|2.941538|2.471060
Wheeler County|2000|1.610547|0.560582|0.817801|0.769917
Wilcox County|2000|1.067828|0.905682|1.571272|1.532232
Williamson County|2000|1.614744|0.447427|4.080301|3.723306
York County|2000|0.775385|0.738694|2.405047|2.239994
