1	1	36861	21191	7872	1875	4	728	109.2	2/18/2008 02:36:48
2	4	8117	11498	4337	1983	2	76	11.4	6/6/2008 05:00:16
3	5	1616	17433	8647	1983	2	350	52.5	6/6/2008 08:26:17
4	5	1616	19715	8647	1986	1	175	26.25	6/9/2008 08:38:52
5	6	47402	14115	8240	2069	2	154	23.1	8/31/2008 09:17:02
6	10	24858	24888	3375	2023	2	394	59.1	7/16/2008 11:59:24
7	10	24858	7952	3375	2003	4	788	118.2	6/26/2008 12:56:06
8	10	24858	19715	3375	2017	1	197	29.55	7/10/2008 02:12:36
9	10	24858	29891	3375	2029	3	591	88.65	7/22/2008 02:23:17
10	12	45635	10542	4769	2044	1	65	9.75	8/6/2008 02:51:55
11	12	45635	8435	4769	2042	2	130	19.5	8/4/2008 03:06:36
12	13	30606	9633	2147	1894	2	344	51.6	3/9/2008 03:18:56
13	14	12651	1664	2762	2059	2	244	36.6	8/21/2008 03:39:06
14	15	46833	2912	7910	1950	4	300	45	5/4/2008 05:39:08
