text|number
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
foo|123,000
