total_sum|i_category|i_class|lochierarchy|rank_within_parent
3319235306.40|NULL|NULL|2|1
337903961.45|Children|NULL|1|1
333208741.62|Women|NULL|1|2
333157666.86|Shoes|NULL|1|3
333138224.59|Sports|NULL|1|4
331690835.26|Home|NULL|1|5
331450908.42|Music|NULL|1|6
331450861.55|Men|NULL|1|7
330306674.69|Electronics|NULL|1|8
324566723.86|Jewelry|NULL|1|9
324224622.80|Books|NULL|1|10
8136085.30|NULL|NULL|1|11
3933865.79|NULL|NULL|0|1
331426.04|NULL|swimwear|0|2
219970.08|NULL|fragrances|0|3
207883.31|NULL|athletic|0|4
205161.05|NULL|dresses|0|5
173319.02|NULL|mens|0|6
142732.08|NULL|womens|0|7
135034.36|NULL|loose stones|0|8
123846.07|NULL|sports-apparel|0|9
122944.32|NULL|baseball|0|10
122451.00|NULL|basketball|0|11
118947.82|NULL|shirts|0|12
117974.14|NULL|pants|0|13
102483.99|NULL|classical|0|14
100059.38|NULL|toddlers|0|15
98672.20|NULL|history|0|16
96263.69|NULL|glassware|0|17
96151.89|NULL|womens watch|0|18
93722.09|NULL|maternity|0|19
92805.14|NULL|outdoor|0|20
91890.04|NULL|country|0|21
86291.19|NULL|tennis|0|22
81930.54|NULL|newborn|0|23
80418.81|NULL|musical|0|24
73838.43|NULL|arts|0|25
72031.58|NULL|memory|0|26
69310.65|NULL|lighting|0|27
66667.43|NULL|accessories|0|28
66427.53|NULL|reference|0|29
66158.18|NULL|bracelets|0|30
64526.23|NULL|flatware|0|31
62300.37|NULL|business|0|32
59627.55|NULL|fitness|0|33
59149.15|NULL|scanners|0|34
57711.14|NULL|guns|0|35
57029.08|NULL|camping|0|36
54741.96|NULL|archery|0|37
54658.22|NULL|custom|0|38
50004.03|NULL|semi-precious|0|39
47466.11|NULL|portable|0|40
45579.56|NULL|curtains/drapes|0|41
44733.91|NULL|tables|0|42
37606.53|NULL|rugs|0|43
24995.16|NULL|school-uniforms|0|44
23630.02|NULL|dvd/vcr players|0|45
1648.44|NULL|bedding|0|46
23015050.68|Books|fiction|0|1
22912472.42|Books|history|0|2
20927590.95|Books|romance|0|3
20808930.06|Books|self-help|0|4
20778315.63|Books|home repair|0|5
20713612.93|Books|sports|0|6
20669857.64|Books|reference|0|7
20337300.38|Books|travel|0|8
19917796.99|Books|cooking|0|9
19886853.94|Books|parenting|0|10
19767898.98|Books|computers|0|11
19316012.64|Books|arts|0|12
19152275.56|Books|entertainments|0|13
18888887.34|Books|business|0|14
18688892.48|Books|science|0|15
17940283.68|Books|mystery|0|16
502590.50|Books|NULL|0|17
88000617.14|Children|infants|0|1
84174402.57|Children|school-uniforms|0|2
83739843.80|Children|toddlers|0|3
81465330.42|Children|newborn|0|4
523767.52|Children|NULL|0|5
23316301.70|Electronics|dvd/vcr players|0|1
22304982.09|Electronics|monitors|0|2
21851023.61|Electronics|televisions|0|3
21806529.07|Electronics|scanners|0|4
21477075.24|Electronics|disk drives|0|5
21163933.29|Electronics|memory|0|6
20785733.39|Electronics|camcorders|0|7
20682030.90|Electronics|karoke|0|8
20193464.48|Electronics|audio|0|9
20047174.89|Electronics|personal|0|10
19907331.55|Electronics|portable|0|11
19774448.48|Electronics|wireless|0|12
19471942.18|Electronics|automotive|0|13
19410230.51|Electronics|musical|0|14
19084198.00|Electronics|stereo|0|15
18677338.16|Electronics|cameras|0|16
352937.15|Electronics|NULL|0|17
23042003.72|Home|bedding|0|1
22017103.48|Home|paint|0|2
21535225.31|Home|glassware|0|3
