gross_margin|i_category|i_class|lochierarchy|rank_within_parent
-0.434036293792019|NULL|NULL|2|1
-0.47784858137389263|NULL|NULL|1|1
-0.43954299173232353|Jewelry|NULL|1|2
-0.4366178811686007|Home|NULL|1|3
-0.4351283921814062|Electronics|NULL|1|4
-0.43479136909750327|Men|NULL|1|5
-0.4346967806973987|Shoes|NULL|1|6
-0.43307915092007|Music|NULL|1|7
-0.4325801403897336|Women|NULL|1|8
-0.43222276967232953|Books|NULL|1|9
-0.43163992104984045|Children|NULL|1|10
-0.4291715423819425|Sports|NULL|1|11
-1.2749239624395505|NULL|flatware|0|1
-0.9880165209087821|NULL|parenting|0|2
-0.9402572195617471|NULL|optics|0|3
-0.8543309838115039|NULL|shirts|0|4
-0.7519888466650805|NULL|karoke|0|5
-0.7307944194818464|NULL|musical|0|6
-0.7204969067276757|NULL|fitness|0|7
-0.6969384255206861|NULL|basketball|0|8
-0.6719564114878009|NULL|archery|0|9
-0.6532693959356792|NULL|reference|0|10
-0.6093190260353473|NULL|sports-apparel|0|11
-0.5711184142479663|NULL|loose stones|0|12
-0.5566771873420547|NULL|fragrances|0|13
-0.5447062863603835|NULL|business|0|14
-0.5376415477162438|NULL|camping|0|15
-0.5301641544600865|NULL|accessories|0|16
-0.5281203120421738|NULL|bracelets|0|17
-0.5235439907715559|NULL|scanners|0|18
-0.504970466759373|NULL|toddlers|0|19
-0.5018196446277768|NULL|womens watch|0|20
-0.49440427090798544|NULL|guns|0|21
-0.4919701838018854|NULL|NULL|0|22
-0.48908946961825744|NULL|dvd/vcr players|0|23
-0.4639259157097481|NULL|glassware|0|24
-0.45796256968683635|NULL|curtains/drapes|0|25
-0.4497416753075389|NULL|swimwear|0|26
-0.4343994625292212|NULL|camcorders|0|27
-0.4331570977965871|NULL|athletic|0|28
-0.4260830214830423|NULL|school-uniforms|0|29
-0.41999071258032933|NULL|country|0|30
-0.4162583952440227|NULL|rugs|0|31
-0.4137572109901955|NULL|baseball|0|32
-0.4074117654982625|NULL|kids|0|33
-0.3894931482078202|NULL|classical|0|34
-0.3807017471250523|NULL|mens|0|35
-0.35288144702083096|NULL|lighting|0|36
-0.2735868963293741|NULL|birdal|0|37
-0.25267602109079335|NULL|dresses|0|38
-0.24351958306686977|NULL|semi-precious|0|39
-0.23509204719160703|NULL|pants|0|40
-0.2283194153568329|NULL|newborn|0|41
-0.21144773344213064|NULL|custom|0|42
-0.21022893833662032|NULL|womens|0|43
-0.16320614446864182|NULL|tables|0|44
-0.4522438968681691|Books|entertainments|0|1
-0.44633242841787985|Books|cooking|0|2
-0.44431272801806965|Books|sports|0|3
-0.4440881637881753|Books|parenting|0|4
-0.4414374992725596|Books|travel|0|5
-0.4359087457157776|Books|history|0|6
-0.4337500890985385|Books|romance|0|7
-0.43359947196149334|Books|home repair|0|8
-0.43333115707355213|Books|science|0|9
-0.42974280782505314|Books|mystery|0|10
-0.4285238767417829|Books|arts|0|11
-0.42757429465110386|Books|business|0|12
-0.4208260159556206|Books|fiction|0|13
-0.42009325569840567|Books|self-help|0|14
-0.4159118144348588|Books|computers|0|15
-0.40874736747246226|Books|reference|0|16
-0.3876050887452739|Books|NULL|0|17
-0.4408263607718571|Children|school-uniforms|0|1
-0.43162007144357334|Children|infants|0|2
-0.431117657785991|Children|toddlers|0|3
-0.42348580546565523|Children|newborn|0|4
-0.2662862894280711|Children|NULL|0|5
-0.45237248409205494|Electronics|disk drives|0|1
-0.44578194422682854|Electronics|audio|0|2
-0.44332141158374067|Electronics|automotive|0|3
-0.44188730978340524|Electronics|camcorders|0|4
-0.4408523055962952|Electronics|monitors|0|5
-0.44021272383205134|Electronics|personal|0|6
-0.43505403858650443|Electronics|cameras|0|7
-0.43444289186664786|Electronics|portable|0|8
-0.43404569935154164|Electronics|dvd/vcr players|0|9
-0.43263737159410487|Electronics|televisions|0|10
-0.4321208618679546|Electronics|musical|0|11
-0.42815582427981824|Electronics|scanners|0|12
-0.42770204836134995|Electronics|stereo|0|13
-0.4268317908375458|Electronics|memory|0|14
-0.42613551181737497|Electronics|wireless|0|15
-0.4219468372939342|Electronics|karoke|0|16
-0.29925328047736455|Electronics|NULL|0|17
-0.46420083372633086|Home|NULL|0|1
-0.45215940388807174|Home|rugs|0|2
-0.44923800998418895|Home|bathroom|0|3
-0.44747276268704894|Home|mattresses|0|4
-0.44653176739663386|Home|paint|0|5
